k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.50000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[5.306965873833738, 2.644711116634681, 0.5171929261625736]                      |  9.4079437255859375|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[5.306965873833738, 2.644711116634681, 0.5171929261625736]                      |  9.4079437255859375|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[5.306965873833738, 2.644711116634681, 0.5171929261625736]                      |  9.4079437255859375|      0.25000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[5.306965873833738, 2.644711116634681, 0.5171929261625736]                      |  9.4079437255859375|      0.12500000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[5.277199581994124, 2.6587281314816016, 0.3966006744840342]                     |  6.5695176124572754|      0.25000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[5.277199581994124, 2.6587281314816016, 0.3966006744840342]                     |  6.5695176124572754|      0.12500000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[5.277199581994124, 2.6587281314816016, 0.3966006744840342]                     |  6.5695176124572754|      0.06250000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[5.277199581994124, 2.6587281314816016, 0.3966006744840342]                     |  6.5695176124572754|      0.03125000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[5.277199581994124, 2.6587281314816016, 0.3966006744840342]                     |  6.5695176124572754|      0.01562500|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[5.283094825498778, 2.654480582699569, 0.382767921382605]                       |  6.5519208908081055|      0.03125000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[5.283094825498778, 2.654480582699569, 0.382767921382605]                       |  6.5519208908081055|      0.01562500|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[5.283094825498778, 2.654480582699569, 0.382767921382605]                       |  6.5519208908081055|      0.00781250|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[5.283094825498778, 2.654480582699569, 0.382767921382605]                       |  6.5519208908081055|      0.00390625|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[5.2834296431778744, 2.6540292291913583, 0.3866335346838666]                    |  6.5500955581665039|      0.00781250|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
