k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[1.322936120858931, 0.6012878953015356, 0.646028805718694, 0.6597758813074529, 0.4604252631850468, 2.888576671436372, 4.99208866315003, 7.04864493778167, 2.101710597087214, 4.548123877705626, 5.60479111324066]|  2.5001277572369363|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[1.322936120858931, 0.6012878953015356, 0.646028805718694, 0.6597758813074529, 0.4604252631850468, 2.888576671436372, 4.99208866315003, 7.04864493778167, 2.101710597087214, 4.548123877705626, 5.60479111324066]|  2.5001277572369363|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.322936120858931, 0.6012878953015356, 0.646028805718694, 0.6597758813074529, 0.4604252631850468, 2.888576671436372, 4.99208866315003, 7.04864493778167, 2.101710597087214, 4.548123877705626, 5.60479111324066]|  2.5001277572369363|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.2865364702464916, 0.5258448023927231, 0.6558272065662106, 0.6706390953465183, 0.5451787656554523, 2.8982227212370084, 5.00894374431645, 7.052645572972229, 2.1190714264491675, 4.552175565400149, 5.627157856836829]|  1.9707500676354051|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1.2865364702464916, 0.5258448023927231, 0.6558272065662106, 0.6706390953465183, 0.5451787656554523, 2.8982227212370084, 5.00894374431645, 7.052645572972229, 2.1190714264491675, 4.552175565400149, 5.627157856836829]|  1.9707500676354051|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.2761384531916637, 0.4223753105845207, 0.6791559723483804, 0.6768663430544315, 0.5179692362031709, 2.900645605108304, 5.010249394828489, 7.062512427897896, 2.1532942190510123, 4.578092879754235, 5.666397383514597]|  1.4826844318558832|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[1.2761384531916637, 0.4223753105845207, 0.6791559723483804, 0.6768663430544315, 0.5179692362031709, 2.900645605108304, 5.010249394828489, 7.062512427897896, 2.1532942190510123, 4.578092879754235, 5.666397383514597]|  1.4826844318558832|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[1.2737592686318215, 0.3810823389026972, 0.6738600164478006, 0.7279893637490924, 0.503988546966319, 2.8721013847642998, 4.98378955298808, 7.072674750921782, 2.2455929532808865, 4.608157995833794, 5.672399366962313]|  1.1373883792891886|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1.2737592686318215, 0.3810823389026972, 0.6738600164478006, 0.7279893637490924, 0.503988546966319, 2.8721013847642998, 4.98378955298808, 7.072674750921782, 2.2455929532808865, 4.608157995833794, 5.672399366962313]|  1.1373883792891886|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[1.2737592686318215, 0.3810823389026972, 0.6738600164478006, 0.7279893637490924, 0.503988546966319, 2.8721013847642998, 4.98378955298808, 7.072674750921782, 2.2455929532808865, 4.608157995833794, 5.672399366962313]|  1.1373883792891886|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[1.2814721967642806, 0.3686434954252044, 0.6789151146835074, 0.7432562859100696, 0.4601757926944712, 2.8709514681962838, 4.972485504709752, 7.069414401327677, 2.2749364747862746, 4.627578277280822, 5.660740796537438]|  0.9697096612608738|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[1.2824751002382548, 0.281371444167678, 0.6216290461675564, 0.7165123062841005, 0.4350976430784133, 2.859666395886828, 4.962938545329305, 7.072945934924395, 2.317610210259283, 4.645291411714185, 5.692614982375679]|  0.7128036535109935|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[1.2824751002382548, 0.281371444167678, 0.6216290461675564, 0.7165123062841005, 0.4350976430784133, 2.859666395886828, 4.962938545329305, 7.072945934924395, 2.317610210259283, 4.645291411714185, 5.692614982375679]|  0.7128036535109935|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
