k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.06250000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.03125000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.01562500|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.1, 0.01, 0.02]                                                               |50068.6489144979932462|      0.00781250|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00781250|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00390625|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00195312|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00097656|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00048828|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.1004622644169479, 0.0041061527703314, 0.0148927470503067]                    |2754.9621026625900413|      0.00024414|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.1003847689133678, 0.0042349559720448, 0.0147003702665498]                    |2706.8153324863806120|      0.00048828|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
