k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.55181231724695, 4.542452688741302, -5.523260892759065, -1.562117689721086]  |6930036.5000000000000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.97169028915706, 4.0058053390584885, -6.532228005319709, -1.1180350800699694]|5034635.5000000000000000|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[22.158361376753394, 0.6219389119652359, -7.757420617750127, -2.662977521161333]|3602264.0000000000000000|      8.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[22.158361376753394, 0.6219389119652359, -7.757420617750127, -2.662977521161333]|3602264.0000000000000000|      4.00000000|[27, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[19.082616444676958, -0.0046797442456273, -5.400646060832746, -1.893071124018469]|3150815.0000000000000000|      8.00000000|[33, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[19.082616444676958, -0.0046797442456273, -5.400646060832746, -1.893071124018469]|3150815.0000000000000000|      4.00000000|[41, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[16.958445318823617, 2.2319276182030414, -7.31931286409305, -0.2184958846224472]|2061843.8750000000000000|      8.00000000|[47, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[12.254291823467414, 3.7911880997447778, -2.8647866072632358, -4.645327987836212]|1186687.6250000000000000|     16.00000000|[55, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
       9|[12.254291823467414, 3.7911880997447778, -2.8647866072632358, -4.645327987836212]|1186687.6250000000000000|      8.00000000|[63, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[12.254291823467414, 3.7911880997447778, -2.8647866072632358, -4.645327987836212]|1186687.6250000000000000|      4.00000000|[71, 0, 0, 25]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[12.254291823467414, 3.7911880997447778, -2.8647866072632358, -4.645327987836212]|1186687.6250000000000000|      2.00000000|[79, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[11.766329217158914, 5.69822155853481, -2.5748011367422285, -4.442783403147666] |1029456.3125000000000000|      4.00000000|[87, 0, 0, 31]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
      13|[8.27260320727119, 6.0432017531848565, -0.6579065234529775, -4.462335248990883] |612078.5000000000000000|      8.00000000|[95, 0, 0, 34]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | iterate success | actual_k=0
      14|[2.2921317148797637, 9.443968609988868, -0.0558976612940485, -0.4242254381711046]|327961.8437500000000000|     16.00000000|[101, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[2.2921317148797637, 9.443968609988868, -0.0558976612940485, -0.4242254381711046]|327961.8437500000000000|      8.00000000|[109, 0, 0, 39]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[2.2921317148797637, 9.443968609988868, -0.0558976612940485, -0.4242254381711046]|327961.8437500000000000|      4.00000000|[117, 0, 0, 42]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
