k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00097656|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00048828|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00024414|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00012207|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00006104|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00003052|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00001526|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00000763|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00000381|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      21|[-3.5000716844560396, 0.9999071519157835, -2.71030757686e-05, -0.0004619480607824, 1.7000673311362728, 5.42693138218e-05, -7.2315076129e-06, 5.47506028062e-05]|1146.3472468339871284|      0.00000191|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      22|[-3.5000716820744238, 0.9999071565192175, -2.70973182382e-05, -0.0004620318104471, 1.700067325399101, 5.42615206427e-05, -7.2068458423e-06, 5.66559119508e-05]|1099.7000656724896999|      0.00000381|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      23|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000763|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      24|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000381|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      25|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000191|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      26|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000095|[442, 0, 26, 52]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      27|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000048|[459, 0, 27, 54]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      28|[-3.500071669610608, 0.9999071185368317, -2.71286339462e-05, -0.0004658387757542, 1.7000674745991151, 5.43180062079e-05, -7.250748958e-06, 5.68261263741e-05]|1090.2971081004930056|      0.00000024|[476, 0, 28, 56]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      29|[-3.500071669589556, 0.999907118349942, -2.71328257129e-05, -0.0004659440318628, 1.7000674745895554, 5.4317640031e-05, -7.2592852234e-06, 5.66124116994e-05]|1089.5878782284908084|      0.00000048|[493, 0, 29, 58]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
