k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[46, 3, 1, 4]                                                              |  | used linear model with 49 points | iterate failure | actual_k=1
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[92, 6, 2, 8]                                                              |  | used linear model with 49 points | iterate failure | actual_k=1
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[138, 9, 3, 12]                                                            |  | used linear model with 49 points | iterate failure | actual_k=1
       4|[120.00073599538585, 0.0042125202261185, 0.8782936761231299, 109.98192968296773, 0.1835511983183508, 0.8537858952525463, 100.00446794622363, 0.2707378230065975, 0.7193971868868949, 87.99249384215186, 0.3252069921069731, 0.7037508658194742, 86.003819796839, 0.3650178878094889, 0.6645085073167344, 84.02469953514364, 0.4506674653388025, 0.5094750991393683, 79.99658949048597, 0.6689648764765928, 0.3249240711046809, 76.01314614091099, 0.867607616629581, 0.1261595218833991, 886.3886925434197, 910.0292520443086, 922.5284720878744, 926.4814256678604, 935.5700667754815, 952.8072296618354, 975.7166627764362]|2031.0660591547916738|      0.25000000|[184, 12, 4, 16]                                                           |  | used linear model with 49 points | iterate success | actual_k=1
       5|[120.00073599538585, 0.0042125202261185, 0.8782936761231299, 109.98192968296773, 0.1835511983183508, 0.8537858952525463, 100.00446794622363, 0.2707378230065975, 0.7193971868868949, 87.99249384215186, 0.3252069921069731, 0.7037508658194742, 86.003819796839, 0.3650178878094889, 0.6645085073167344, 84.02469953514364, 0.4506674653388025, 0.5094750991393683, 79.99658949048597, 0.6689648764765928, 0.3249240711046809, 76.01314614091099, 0.867607616629581, 0.1261595218833991, 886.3886925434197, 910.0292520443086, 922.5284720878744, 926.4814256678604, 935.5700667754815, 952.8072296618354, 975.7166627764362]|2031.0660591547916738|      0.12500000|[230, 15, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=1
       6|[120.00073599538585, 0.0042125202261185, 0.8782936761231299, 109.98192968296773, 0.1835511983183508, 0.8537858952525463, 100.00446794622363, 0.2707378230065975, 0.7193971868868949, 87.99249384215186, 0.3252069921069731, 0.7037508658194742, 86.003819796839, 0.3650178878094889, 0.6645085073167344, 84.02469953514364, 0.4506674653388025, 0.5094750991393683, 79.99658949048597, 0.6689648764765928, 0.3249240711046809, 76.01314614091099, 0.867607616629581, 0.1261595218833991, 886.3886925434197, 910.0292520443086, 922.5284720878744, 926.4814256678604, 935.5700667754815, 952.8072296618354, 975.7166627764362]|2031.0660591547916738|      0.06250000|[276, 18, 6, 24]                                                           |  | used linear model with 49 points | iterate failure | actual_k=1
       7|[120.00341488925979, 0.022696663108611, 0.8809187870462419, 109.97726965449975, 0.1340067934380936, 0.8453910233656842, 100.00345147177896, 0.2631595626594685, 0.7210069994424901, 87.99143265745434, 0.331502714845912, 0.7115800413051834, 86.01309876302571, 0.3613666666241286, 0.6680042493051396, 84.0258623262698, 0.4525497496356142, 0.505131131660596, 79.9914318845655, 0.6627300196974343, 0.3278567896300944, 76.01545678214481, 0.8648602901848739, 0.1213001876796336, 886.3761434648363, 910.0158306713271, 922.5226314802011, 926.4722399273157, 935.5767801267219, 952.7977198083731, 975.7149401851252]|1333.6869011038747885|      0.12500000|[322, 21, 7, 28]                                                           |  | used linear model with 49 points | iterate success | actual_k=1
       8|[120.00341488925979, 0.022696663108611, 0.8809187870462419, 109.97726965449975, 0.1340067934380936, 0.8453910233656842, 100.00345147177896, 0.2631595626594685, 0.7210069994424901, 87.99143265745434, 0.331502714845912, 0.7115800413051834, 86.01309876302571, 0.3613666666241286, 0.6680042493051396, 84.0258623262698, 0.4525497496356142, 0.505131131660596, 79.9914318845655, 0.6627300196974343, 0.3278567896300944, 76.01545678214481, 0.8648602901848739, 0.1213001876796336, 886.3761434648363, 910.0158306713271, 922.5226314802011, 926.4722399273157, 935.5767801267219, 952.7977198083731, 975.7149401851252]|1333.6869011038747885|      0.06250000|[368, 24, 8, 32]                                                           |  | used linear model with 49 points | iterate failure | actual_k=1
       9|[120.00487001330268, -0.0206200100452523, 0.8698700138158365, 109.97340754580499, 0.1298465986480505, 0.8458714755886909, 100.00278956260875, 0.2417351837801887, 0.7157723560980503, 87.9962433185931, 0.3539462151029806, 0.7161930940439206, 86.00201391429823, 0.3616846162772314, 0.6719073908148264, 84.02742199651985, 0.4497421368729945, 0.5034419003108285, 79.98981395202898, 0.6558550003078163, 0.3204598159971291, 76.00648006885766, 0.8710207528950306, 0.1116035687794315, 886.3777058489655, 910.0197102052625, 922.5247256074268, 926.4704598545337, 935.5836458131611, 952.7828455037978, 975.7062035113831]|880.7106333721845886|      0.12500000|[414, 27, 9, 36]                                                           |  | used linear model with 49 points | iterate success | actual_k=1
      10|[120.00487001330268, -0.0206200100452523, 0.8698700138158365, 109.97340754580499, 0.1298465986480505, 0.8458714755886909, 100.00278956260875, 0.2417351837801887, 0.7157723560980503, 87.9962433185931, 0.3539462151029806, 0.7161930940439206, 86.00201391429823, 0.3616846162772314, 0.6719073908148264, 84.02742199651985, 0.4497421368729945, 0.5034419003108285, 79.98981395202898, 0.6558550003078163, 0.3204598159971291, 76.00648006885766, 0.8710207528950306, 0.1116035687794315, 886.3777058489655, 910.0197102052625, 922.5247256074268, 926.4704598545337, 935.5836458131611, 952.7828455037978, 975.7062035113831]|880.7106333721845886|      0.06250000|[460, 30, 10, 40]                                                          |  | used linear model with 49 points | iterate failure | actual_k=1
      11|[120.00487001330268, -0.0206200100452523, 0.8698700138158365, 109.97340754580499, 0.1298465986480505, 0.8458714755886909, 100.00278956260875, 0.2417351837801887, 0.7157723560980503, 87.9962433185931, 0.3539462151029806, 0.7161930940439206, 86.00201391429823, 0.3616846162772314, 0.6719073908148264, 84.02742199651985, 0.4497421368729945, 0.5034419003108285, 79.98981395202898, 0.6558550003078163, 0.3204598159971291, 76.00648006885766, 0.8710207528950306, 0.1116035687794315, 886.3777058489655, 910.0197102052625, 922.5247256074268, 926.4704598545337, 935.5836458131611, 952.7828455037978, 975.7062035113831]|880.7106333721845886|      0.03125000|[506, 33, 11, 44]                                                          |  | used linear model with 49 points | iterate failure | actual_k=1
