k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      2.00000000|[14, 0, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=0
       2|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      1.00000000|[28, 0, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=0
       3|[-0.1394105258298981, -0.1093283339407971, -0.3995891904922025, 0.044763370923292, 0.7128332278390725, 0.2646892745051774, -0.01710394233609, 0.2521919982991056, 0.4060194189344277]|77085.0970498764945660|      0.50000000|[42, 0, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=0
       4|[-0.1113940170406185, -0.0313302375838566, -0.5563089678822639, 0.1219049375164275, 0.8926210718675678, -0.0785183262316311, 0.2032606383267393, 0.1686719660715328, 0.3225437217502197]|22656.8678373597431346|      1.00000000|[56, 0, 4, 8]                                                              |  | used linear model with 14 points | iterate success | actual_k=0
       5|[-0.1113940170406185, -0.0313302375838566, -0.5563089678822639, 0.1219049375164275, 0.8926210718675678, -0.0785183262316311, 0.2032606383267393, 0.1686719660715328, 0.3225437217502197]|22656.8678373597431346|      0.50000000|[70, 0, 5, 10]                                                             |  | used linear model with 14 points | iterate failure | actual_k=0
       6|[-0.1113940170406185, -0.0313302375838566, -0.5563089678822639, 0.1219049375164275, 0.8926210718675678, -0.0785183262316311, 0.2032606383267393, 0.1686719660715328, 0.3225437217502197]|22656.8678373597431346|      0.25000000|[84, 0, 6, 12]                                                             |  | used linear model with 14 points | iterate failure | actual_k=0
       7|[-0.1113940170406185, -0.0313302375838566, -0.5563089678822639, 0.1219049375164275, 0.8926210718675678, -0.0785183262316311, 0.2032606383267393, 0.1686719660715328, 0.3225437217502197]|22656.8678373597431346|      0.12500000|[98, 0, 7, 14]                                                             |  | used linear model with 14 points | iterate failure | actual_k=0
       8|[-0.1010961587571715, -0.0269812224643973, -0.5639388459160489, 0.0041716914513554, 0.8877735011445196, -0.047956601009485, 0.2134135040147231, 0.1499655429436776, 0.3355889881733324]|2468.7061450489240997|      0.25000000|[112, 0, 8, 16]                                                            |  | used linear model with 14 points | iterate success | actual_k=0
       9|[-0.1010961587571715, -0.0269812224643973, -0.5639388459160489, 0.0041716914513554, 0.8877735011445196, -0.047956601009485, 0.2134135040147231, 0.1499655429436776, 0.3355889881733324]|2468.7061450489240997|      0.12500000|[126, 0, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=0
      10|[-0.1010961587571715, -0.0269812224643973, -0.5639388459160489, 0.0041716914513554, 0.8877735011445196, -0.047956601009485, 0.2134135040147231, 0.1499655429436776, 0.3355889881733324]|2468.7061450489240997|      0.06250000|[140, 0, 10, 20]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      11|[-0.0970476426064064, -0.0291118338857421, -0.5590649292033707, 0.0201719420616363, 0.9036442373680427, 0.0092886911329045, 0.2052087924513668, 0.1529939399619008, 0.3359948294628619]|350.8530741142467377|      0.12500000|[154, 0, 11, 22]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      12|[-0.0970476426064064, -0.0291118338857421, -0.5590649292033707, 0.0201719420616363, 0.9036442373680427, 0.0092886911329045, 0.2052087924513668, 0.1529939399619008, 0.3359948294628619]|350.8530741142467377|      0.06250000|[168, 0, 12, 24]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      13|[-0.0970476426064064, -0.0291118338857421, -0.5590649292033707, 0.0201719420616363, 0.9036442373680427, 0.0092886911329045, 0.2052087924513668, 0.1529939399619008, 0.3359948294628619]|350.8530741142467377|      0.03125000|[182, 0, 13, 26]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      14|[-0.0970476426064064, -0.0291118338857421, -0.5590649292033707, 0.0201719420616363, 0.9036442373680427, 0.0092886911329045, 0.2052087924513668, 0.1529939399619008, 0.3359948294628619]|350.8530741142467377|      0.01562500|[196, 0, 14, 28]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      15|[-0.0933849579802655, -0.0300101140383057, -0.5629953942498045, 0.0058685920716347, 0.9043223725902667, 0.0076379655610494, 0.2060288703935632, 0.1554488881933432, 0.3359994916175285]|165.1641087155719276|      0.03125000|[210, 0, 15, 30]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      16|[-0.0933849579802655, -0.0300101140383057, -0.5629953942498045, 0.0058685920716347, 0.9043223725902667, 0.0076379655610494, 0.2060288703935632, 0.1554488881933432, 0.3359994916175285]|165.1641087155719276|      0.01562500|[224, 0, 16, 32]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      17|[-0.0933849579802655, -0.0300101140383057, -0.5629953942498045, 0.0058685920716347, 0.9043223725902667, 0.0076379655610494, 0.2060288703935632, 0.1554488881933432, 0.3359994916175285]|165.1641087155719276|      0.00781250|[238, 0, 17, 34]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      18|[-0.0922441476525391, -0.0281364246589445, -0.5639932380815394, 0.011210663278764, 0.9078504366606486, 0.0112561983574148, 0.2066338835459715, 0.1561905756941722, 0.3364838397819346]|136.9137194553971995|      0.01562500|[252, 0, 18, 36]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      19|[-0.0922441476525391, -0.0281364246589445, -0.5639932380815394, 0.011210663278764, 0.9078504366606486, 0.0112561983574148, 0.2066338835459715, 0.1561905756941722, 0.3364838397819346]|136.9137194553971995|      0.00781250|[266, 0, 19, 38]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
