k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.50000000|[29, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[1000.0, 1000.0, 400.0, 40.0, 0.7, 0.3, 0.03]                                   |4528124.6035751951858401|      0.25000000|[57, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[1000.0609640817735, 1000.0031024150259, 399.9844048364828, 40.104231346677096, 0.6195815336630408, 0.4520389234822606, -0.1044745664341265]|2152826.2500000000000000|      0.50000000|[85, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | iterate success | actual_k=2
       4|[1000.0609640817735, 1000.0031024150259, 399.9844048364828, 40.104231346677096, 0.6195815336630408, 0.4520389234822606, -0.1044745664341265]|2152826.2500000000000000|      0.25000000|[113, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[1000.0609640817735, 1000.0031024150259, 399.9844048364828, 40.104231346677096, 0.6195815336630408, 0.4520389234822606, -0.1044745664341265]|2152826.2500000000000000|      0.12500000|[141, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[1000.0049241071275, 999.9506814412647, 400.0031352076937, 40.06717054962668, 0.6721790297160383, 0.3966185565002236, -0.0578449663883119]|1743534.2500000000000000|      0.25000000|[169, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[1000.0049241071275, 999.9506814412647, 400.0031352076937, 40.06717054962668, 0.6721790297160383, 0.3966185565002236, -0.0578449663883119]|1743534.2500000000000000|      0.12500000|[197, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[1000.0049241071275, 999.9506814412647, 400.0031352076937, 40.06717054962668, 0.6721790297160383, 0.3966185565002236, -0.0578449663883119]|1743534.2500000000000000|      0.06250000|[225, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[1000.0092327303381, 999.9555126360013, 399.99935773304276, 40.076179889526756, 0.6769679345238285, 0.3355786528528067, -0.0623287546001204]|1523356.8750000000000000|      0.12500000|[253, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      10|[1000.0092327303381, 999.9555126360013, 399.99935773304276, 40.076179889526756, 0.6769679345238285, 0.3355786528528067, -0.0623287546001204]|1523356.8750000000000000|      0.06250000|[281, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      11|[1000.0092327303381, 999.9555126360013, 399.99935773304276, 40.076179889526756, 0.6769679345238285, 0.3355786528528067, -0.0623287546001204]|1523356.8750000000000000|      0.03125000|[309, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      12|[1000.0057024606823, 999.9569543803319, 400.00142393278, 40.07621646513964, 0.6931566373426795, 0.3263084578787064, -0.0376358419226277]|1445416.3750000000000000|      0.06250000|[337, 48, 0, 24]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      13|[1000.0057024606823, 999.9569543803319, 400.00142393278, 40.07621646513964, 0.6931566373426795, 0.3263084578787064, -0.0376358419226277]|1445416.3750000000000000|      0.03125000|[365, 52, 0, 26]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      14|[1000.0032372543848, 999.9524504886502, 399.9998029659882, 40.076653034648615, 0.6979880772859619, 0.3095454752335838, -0.0629941086667931]|1408828.6250000000000000|      0.06250000|[393, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      15|[1000.0032372543848, 999.9524504886502, 399.9998029659882, 40.076653034648615, 0.6979880772859619, 0.3095454752335838, -0.0629941086667931]|1408828.6250000000000000|      0.03125000|[421, 60, 0, 30]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      16|[1000.0065775589374, 999.9506779537219, 399.9971083170939, 40.08156770171389, 0.7200924727403049, 0.2977507145160005, -0.045583559519481]|1315787.7500000000000000|      0.06250000|[449, 64, 0, 32]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      17|[999.9907087924261, 999.9599069344338, 399.9809571170625, 40.098029761975184, 0.7671734876019105, 0.2911712573021126, -0.073467000058627]|1216614.8750000000000000|      0.12500000|[477, 68, 0, 34]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
      18|[999.9907087924261, 999.9599069344338, 399.9809571170625, 40.098029761975184, 0.7671734876019105, 0.2911712573021126, -0.073467000058627]|1216614.8750000000000000|      0.06250000|[505, 72, 0, 36]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      19|[999.9907087924261, 999.9599069344338, 399.9809571170625, 40.098029761975184, 0.7671734876019105, 0.2911712573021126, -0.073467000058627]|1216614.8750000000000000|      0.03125000|[533, 76, 0, 38]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      20|[999.9829608558787, 999.9701632630498, 399.9702441784819, 40.09140368306562, 0.7908624038927994, 0.2899209737535383, -0.0639833423337738]|1154174.8750000000000000|      0.06250000|[561, 80, 0, 40]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
