k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0560002352512695, -0.0440715388731385, 0.0204810395404844, 0.2411653358983493, 0.8807946524475989, -0.0011941029584848, -0.0846245025979967, -0.3055164524431971, 0.2450290310921071]|59213.1191214356076671|      2.00000000|[56, 3, 1, 5]                                                              |  | used quadratic model with 59 points | iterate success | actual_k=1
       2|[0.0560002352512695, -0.0440715388731385, 0.0204810395404844, 0.2411653358983493, 0.8807946524475989, -0.0011941029584848, -0.0846245025979967, -0.3055164524431971, 0.2450290310921071]|59213.1191214356076671|      1.00000000|[111, 7, 2, 10]                                                            |  | used quadratic model with 59 points | iterate failure | actual_k=1
       3|[0.0560002352512695, -0.0440715388731385, 0.0204810395404844, 0.2411653358983493, 0.8807946524475989, -0.0011941029584848, -0.0846245025979967, -0.3055164524431971, 0.2450290310921071]|59213.1191214356076671|      0.50000000|[167, 10, 3, 15]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       4|[0.3040030892796271, -0.096442611839722, 0.0734500086590429, -0.043742727972851, 1.0385371934348944, 0.1142732513571289, -0.0312799422824874, -0.1622948764702101, 0.4455285509732831]|3001.9964048904248557|      1.00000000|[223, 13, 4, 20]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=1
       5|[0.3040030892796271, -0.096442611839722, 0.0734500086590429, -0.043742727972851, 1.0385371934348944, 0.1142732513571289, -0.0312799422824874, -0.1622948764702101, 0.4455285509732831]|3001.9964048904248557|      0.50000000|[279, 16, 5, 25]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       6|[0.3040030892796271, -0.096442611839722, 0.0734500086590429, -0.043742727972851, 1.0385371934348944, 0.1142732513571289, -0.0312799422824874, -0.1622948764702101, 0.4455285509732831]|3001.9964048904248557|      0.25000000|[334, 20, 6, 30]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       7|[0.3040030892796271, -0.096442611839722, 0.0734500086590429, -0.043742727972851, 1.0385371934348944, 0.1142732513571289, -0.0312799422824874, -0.1622948764702101, 0.4455285509732831]|3001.9964048904248557|      0.12500000|[389, 24, 7, 35]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
       8|[0.3374268088884986, -0.0999487251968422, 0.0635212347738398, 0.0223241509013564, 1.0867291983023657, 0.0308206846163965, -0.0339462411513078, -0.1687523066367198, 0.4719206202141721]|217.5833162882981924|      0.25000000|[445, 27, 8, 40]                                                           |  | used quadratic model with 59 points | iterate success | actual_k=1
       9|[0.3374268088884986, -0.0999487251968422, 0.0635212347738398, 0.0223241509013564, 1.0867291983023657, 0.0308206846163965, -0.0339462411513078, -0.1687523066367198, 0.4719206202141721]|217.5833162882981924|      0.12500000|[501, 30, 9, 45]                                                           |  | used quadratic model with 59 points | iterate failure | actual_k=1
      10|[0.3374268088884986, -0.0999487251968422, 0.0635212347738398, 0.0223241509013564, 1.0867291983023657, 0.0308206846163965, -0.0339462411513078, -0.1687523066367198, 0.4719206202141721]|217.5833162882981924|      0.06250000|[557, 33, 10, 50]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=1
      11|[0.3374268088884986, -0.0999487251968422, 0.0635212347738398, 0.0223241509013564, 1.0867291983023657, 0.0308206846163965, -0.0339462411513078, -0.1687523066367198, 0.4719206202141721]|217.5833162882981924|      0.03125000|[612, 37, 11, 55]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=1
      12|[0.3450179694054626, -0.0963200832267864, 0.0608420192199639, -0.0059523457705593, 1.0870277927266225, 0.0248565784381016, -0.0297177177130585, -0.1622714884515751, 0.470052427642475]| 73.6997865439871873|      0.06250000|[668, 40, 12, 60]                                                          |  | used quadratic model with 59 points | iterate success | actual_k=1
      13|[0.3450179694054626, -0.0963200832267864, 0.0608420192199639, -0.0059523457705593, 1.0870277927266225, 0.0248565784381016, -0.0297177177130585, -0.1622714884515751, 0.470052427642475]| 73.6997865439871873|      0.03125000|[724, 43, 13, 65]                                                          |  | used quadratic model with 59 points | iterate failure | actual_k=1
