k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.919960441795192, -0.907386718375877, 0.1643061319361681, 0.209055342034777, 0.5151505181098057, -0.7182438710997288, 0.3025471547069126]|50933.2845840492591378|      2.00000000|[10, 0, 1, 2]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
       2|[9.919960441795192, -0.907386718375877, 0.1643061319361681, 0.209055342034777, 0.5151505181098057, -0.7182438710997288, 0.3025471547069126]|50933.2845840492591378|      1.00000000|[18, 2, 2, 4]                                                              |  | used linear model with 10 points | iterate failure | actual_k=2
       3|[9.707314160817333, -1.148980916696193, 0.8829951564593229, 0.7479178722448663, 0.2291319291331833, -0.7993333457739722, 0.2687104003314879]|38479.0720750195396249|      2.00000000|[26, 4, 3, 6]                                                              |  | used linear model with 10 points | iterate success | actual_k=2
       4|[9.707314160817333, -1.148980916696193, 0.8829951564593229, 0.7479178722448663, 0.2291319291331833, -0.7993333457739722, 0.2687104003314879]|38479.0720750195396249|      1.00000000|[35, 5, 4, 8]                                                              |  | used linear model with 10 points | iterate failure | actual_k=2
       5|[9.707314160817333, -1.148980916696193, 0.8829951564593229, 0.7479178722448663, 0.2291319291331833, -0.7993333457739722, 0.2687104003314879]|38479.0720750195396249|      0.50000000|[44, 6, 5, 10]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       6|[9.707314160817333, -1.148980916696193, 0.8829951564593229, 0.7479178722448663, 0.2291319291331833, -0.7993333457739722, 0.2687104003314879]|38479.0720750195396249|      0.25000000|[52, 8, 6, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       7|[9.707314160817333, -1.148980916696193, 0.8829951564593229, 0.7479178722448663, 0.2291319291331833, -0.7993333457739722, 0.2687104003314879]|38479.0720750195396249|      0.12500000|[61, 9, 7, 14]                                                             |  | used linear model with 10 points | iterate failure | actual_k=2
       8|[9.677460286023253, -1.1202205372017309, 0.8881495096199686, 0.7924730361980102, 0.2162642420308895, -0.808374769767405, 0.160786667906566]|28004.3983123042853549|      0.25000000|[70, 10, 8, 16]                                                            |  | used linear model with 10 points | iterate success | actual_k=2
       9|[9.677460286023253, -1.1202205372017309, 0.8881495096199686, 0.7924730361980102, 0.2162642420308895, -0.808374769767405, 0.160786667906566]|28004.3983123042853549|      0.12500000|[78, 12, 9, 18]                                                            |  | used linear model with 10 points | iterate failure | actual_k=2
      10|[9.677460286023253, -1.1202205372017309, 0.8881495096199686, 0.7924730361980102, 0.2162642420308895, -0.808374769767405, 0.160786667906566]|28004.3983123042853549|      0.06250000|[87, 13, 10, 20]                                                           |  | used linear model with 10 points | iterate failure | actual_k=2
      11|[9.692088145990244, -1.127173499740964, 0.8609784796858935, 0.825122709570862, 0.2045044659758433, -0.8101089339202343, 0.1195754276011831]|20774.0240467731746321|      0.12500000|[96, 14, 11, 22]                                                           |  | used linear model with 10 points | iterate success | actual_k=2
