k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.1305125255625599, 2.089671324087565, 1.3101337228459404, 0.7925306142356485, 1.2434473323445774, 0.8374193781342499]|  0.3854297781487605|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       3|[1.1305125255625599, 2.089671324087565, 1.3101337228459404, 0.7925306142356485, 1.2434473323445774, 0.8374193781342499]|  0.3854297781487605|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[1.1305125255625599, 2.089671324087565, 1.3101337228459404, 0.7925306142356485, 1.2434473323445774, 0.8374193781342499]|  0.3854297781487605|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.1305125255625599, 2.089671324087565, 1.3101337228459404, 0.7925306142356485, 1.2434473323445774, 0.8374193781342499]|  0.3854297781487605|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[1.192159580117727, 2.0985472997976844, 1.3478086542543013, 0.7347507035154267, 1.2347320355740574, 0.9205577133509589]|  0.3709181231461812|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[1.192159580117727, 2.0985472997976844, 1.3478086542543013, 0.7347507035154267, 1.2347320355740574, 0.9205577133509589]|  0.3709181231461812|      0.12500000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[1.192159580117727, 2.0985472997976844, 1.3478086542543013, 0.7347507035154267, 1.2347320355740574, 0.9205577133509589]|  0.3709181231461812|      0.06250000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.2286750456213582, 2.09374296434957, 1.324690095968854, 0.7530130767412668, 1.2607104963160896, 0.8888256049370464]|  0.3289114171090271|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
      10|[1.2286750456213582, 2.09374296434957, 1.324690095968854, 0.7530130767412668, 1.2607104963160896, 0.8888256049370464]|  0.3289114171090271|      0.06250000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.2782689889383896, 2.097054627455809, 1.3456791016083804, 0.7280095322988219, 1.2730737739958373, 0.8740893419667439]|  0.3120744238295736|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[1.2782689889383896, 2.097054627455809, 1.3456791016083804, 0.7280095322988219, 1.2730737739958373, 0.8740893419667439]|  0.3120744238295736|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[1.2976721084676401, 2.0854732196384353, 1.3565928454822622, 0.7268221151944725, 1.3158575956443015, 0.912098088143503]|  0.3013737432207667|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      14|[1.2976721084676401, 2.0854732196384353, 1.3565928454822622, 0.7268221151944725, 1.3158575956443015, 0.912098088143503]|  0.3013737432207667|      0.06250000|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[1.2976721084676401, 2.0854732196384353, 1.3565928454822622, 0.7268221151944725, 1.3158575956443015, 0.912098088143503]|  0.3013737432207667|      0.03125000|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[1.3221681144944981, 2.086488895854342, 1.349135104710503, 0.714801185841419, 1.3290940299443632, 0.912488930371092]|  0.2965699995000649|      0.06250000|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[1.3221681144944981, 2.086488895854342, 1.349135104710503, 0.714801185841419, 1.3290940299443632, 0.912488930371092]|  0.2965699995000649|      0.03125000|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      18|[1.3440632098710685, 2.080420998530639, 1.3545822431852514, 0.6984979609725985, 1.3391903821966897, 0.904555133484959]|  0.2939700954464646|      0.06250000|[270, 36, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      19|[1.3440632098710685, 2.080420998530639, 1.3545822431852514, 0.6984979609725985, 1.3391903821966897, 0.904555133484959]|  0.2939700954464646|      0.03125000|[285, 38, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      20|[1.3440632098710685, 2.080420998530639, 1.3545822431852514, 0.6984979609725985, 1.3391903821966897, 0.904555133484959]|  0.2939700954464646|      0.01562500|[300, 40, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      21|[1.349305821416377, 2.0845674135816634, 1.3631626205438654, 0.6890501201704593, 1.3383276266594375, 0.9105412819005764]|  0.2922879108301693|      0.03125000|[315, 42, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      22|[1.349305821416377, 2.0845674135816634, 1.3631626205438654, 0.6890501201704593, 1.3383276266594375, 0.9105412819005764]|  0.2922879108301693|      0.01562500|[330, 44, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      23|[1.3630936133958889, 2.0859860401690704, 1.3604724294772166, 0.6903606856213215, 1.3442625511204438, 0.9077400539910185]|  0.2917126073504584|      0.03125000|[345, 46, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
