k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.025747258333929, 0.2226835745503889, 0.4095504969707484, -0.0584081798365126, 0.6879809479767577, 0.000997048458888, -0.3917801853751228, 0.0786385495353626, 0.3815907038473645]|11780.4757145135026803|      2.00000000|[14, 0, 1, 2]                                                              |  | used linear model with 14 points | iterate success | actual_k=0
       2|[-0.025747258333929, 0.2226835745503889, 0.4095504969707484, -0.0584081798365126, 0.6879809479767577, 0.000997048458888, -0.3917801853751228, 0.0786385495353626, 0.3815907038473645]|11780.4757145135026803|      1.00000000|[28, 0, 2, 4]                                                              |  | used linear model with 14 points | iterate failure | actual_k=0
       3|[-0.025747258333929, 0.2226835745503889, 0.4095504969707484, -0.0584081798365126, 0.6879809479767577, 0.000997048458888, -0.3917801853751228, 0.0786385495353626, 0.3815907038473645]|11780.4757145135026803|      0.50000000|[42, 0, 3, 6]                                                              |  | used linear model with 14 points | iterate failure | actual_k=0
       4|[-0.025747258333929, 0.2226835745503889, 0.4095504969707484, -0.0584081798365126, 0.6879809479767577, 0.000997048458888, -0.3917801853751228, 0.0786385495353626, 0.3815907038473645]|11780.4757145135026803|      0.25000000|[56, 0, 4, 8]                                                              |  | used linear model with 14 points | iterate failure | actual_k=0
       5|[-0.025747258333929, 0.2226835745503889, 0.4095504969707484, -0.0584081798365126, 0.6879809479767577, 0.000997048458888, -0.3917801853751228, 0.0786385495353626, 0.3815907038473645]|11780.4757145135026803|      0.12500000|[70, 0, 5, 10]                                                             |  | used linear model with 14 points | iterate failure | actual_k=0
       6|[-0.0876066807788116, 0.2008947088703156, 0.3656783750586239, -0.0175754577407211, 0.748425338885966, 0.0589510959129205, -0.4051562189194798, 0.0638294684858919, 0.3995116343125446]|6058.1685845458523545|      0.25000000|[84, 0, 6, 12]                                                             |  | used linear model with 14 points | iterate success | actual_k=0
       7|[-0.0876066807788116, 0.2008947088703156, 0.3656783750586239, -0.0175754577407211, 0.748425338885966, 0.0589510959129205, -0.4051562189194798, 0.0638294684858919, 0.3995116343125446]|6058.1685845458523545|      0.12500000|[98, 0, 7, 14]                                                             |  | used linear model with 14 points | iterate failure | actual_k=0
       8|[-0.0352443896423868, 0.1446468997536476, 0.3547395052904586, 0.0019876933806046, 0.7951225422068411, 0.0043062075031061, -0.4562097331587118, 0.0664288037758981, 0.3616026881984555]|2629.3780463278139905|      0.25000000|[112, 0, 8, 16]                                                            |  | used linear model with 14 points | iterate success | actual_k=0
       9|[-0.0352443896423868, 0.1446468997536476, 0.3547395052904586, 0.0019876933806046, 0.7951225422068411, 0.0043062075031061, -0.4562097331587118, 0.0664288037758981, 0.3616026881984555]|2629.3780463278139905|      0.12500000|[126, 0, 9, 18]                                                            |  | used linear model with 14 points | iterate failure | actual_k=0
      10|[-0.0352443896423868, 0.1446468997536476, 0.3547395052904586, 0.0019876933806046, 0.7951225422068411, 0.0043062075031061, -0.4562097331587118, 0.0664288037758981, 0.3616026881984555]|2629.3780463278139905|      0.06250000|[140, 0, 10, 20]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      11|[-0.0352443896423868, 0.1446468997536476, 0.3547395052904586, 0.0019876933806046, 0.7951225422068411, 0.0043062075031061, -0.4562097331587118, 0.0664288037758981, 0.3616026881984555]|2629.3780463278139905|      0.03125000|[154, 0, 11, 22]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      12|[-0.0399443490593925, 0.1539452989487803, 0.3502386888748806, -0.0155470964556349, 0.816285931847993, -0.0001892251905206, -0.4553710269808438, 0.0673728582769613, 0.3700047003216743]|1440.6059009862169660|      0.06250000|[168, 0, 12, 24]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      13|[-0.0399443490593925, 0.1539452989487803, 0.3502386888748806, -0.0155470964556349, 0.816285931847993, -0.0001892251905206, -0.4553710269808438, 0.0673728582769613, 0.3700047003216743]|1440.6059009862169660|      0.03125000|[182, 0, 13, 26]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      14|[-0.0306912300755921, 0.1628398089909383, 0.3453398904600752, -0.019320517455189, 0.8409143859821347, 0.0001992208240198, -0.4427211034031474, 0.0668917473429532, 0.3674299438988848]|911.1437486508713164|      0.06250000|[196, 0, 14, 28]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      15|[-0.0306912300755921, 0.1628398089909383, 0.3453398904600752, -0.019320517455189, 0.8409143859821347, 0.0001992208240198, -0.4427211034031474, 0.0668917473429532, 0.3674299438988848]|911.1437486508713164|      0.03125000|[210, 0, 15, 30]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
      16|[-0.0287973739658982, 0.1723598313574061, 0.3529769713597706, -0.0153164464015536, 0.8607127809472798, 0.0187175868169531, -0.4456512946798918, 0.0734537868525453, 0.3628001828015052]|541.8238612164319647|      0.06250000|[224, 0, 16, 32]                                                           |  | used linear model with 14 points | iterate success | actual_k=0
      17|[-0.0287973739658982, 0.1723598313574061, 0.3529769713597706, -0.0153164464015536, 0.8607127809472798, 0.0187175868169531, -0.4456512946798918, 0.0734537868525453, 0.3628001828015052]|541.8238612164319647|      0.03125000|[238, 0, 17, 34]                                                           |  | used linear model with 14 points | iterate failure | actual_k=0
