k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.7878827962220804, 9.7051117729441, 1.5406307732279982]                       |  0.5994099300568724|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.7878827962220804, 9.7051117729441, 1.5406307732279982]                       |  0.5994099300568724|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.7878827962220804, 9.7051117729441, 1.5406307732279982]                       |  0.5994099300568724|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.1058999442705928, 9.938417973659673, 1.2333307402720042]                     |  0.2481656672926480|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.1058999442705928, 9.938417973659673, 1.2333307402720042]                     |  0.2481656672926480|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.1058999442705928, 9.938417973659673, 1.2333307402720042]                     |  0.2481656672926480|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.03125000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.9968778024012735, 9.957269925649099, 1.009146047466241]                      |  0.0002257949563551|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.9929367444689688, 9.956888485572081, 1.002411233282326]                      |  0.0000187396096429|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.9929367444689688, 9.956888485572081, 1.002411233282326]                      |  0.0000187396096429|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
