k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 10.0, 1.0, 1.0]                                                         |3066308.1922855651937425|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.32599677844239, 9.902048603555322, 1.8892134480008513, 1.3056649608217403] |2661389.4641905413009226|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[100.32599677844239, 9.902048603555322, 1.8892134480008513, 1.3056649608217403] |2661389.4641905413009226|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[100.93410687246158, 9.414173645363162, 2.5154237667555646, 1.2992793985064321] |2626697.3807111419737339|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[100.93410687246158, 9.414173645363162, 2.5154237667555646, 1.2992793985064321] |2626697.3807111419737339|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[101.3825943118131, 9.400510742253495, 3.344117810531192, 1.6338515486225855]   |2618342.6489768731407821|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[103.15905156693094, 8.642528809895783, 3.7091668509894147, 1.2645248517552061] |2601146.6954121491871774|      4.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[103.15905156693094, 8.642528809895783, 3.7091668509894147, 1.2645248517552061] |2601146.6954121491871774|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[104.99829529377655, 9.382914885538145, 3.945733682994066, 1.3787487820380555]  |2582950.2854265598580241|      4.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[104.99829529377655, 9.382914885538145, 3.945733682994066, 1.3787487820380555]  |2582950.2854265598580241|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[104.99829529377655, 9.382914885538145, 3.945733682994066, 1.3787487820380555]  |2582950.2854265598580241|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[105.99280389265073, 9.42279583200549, 3.8741911809123724, 1.443893446209955]   |2573047.6225276724435389|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[107.97044040846667, 9.497874869414861, 3.5929037014701013, 1.3791300046547466] |2553221.5311822467483580|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[107.97044040846667, 9.497874869414861, 3.5929037014701013, 1.3791300046547466] |2553221.5311822467483580|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[107.97044040846667, 9.497874869414861, 3.5929037014701013, 1.3791300046547466] |2553221.5311822467483580|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
