k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.815681342401299, -0.6209004044412547, -0.4369753360381001]                   |  4.6895674577312336|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.815681342401299, -0.6209004044412547, -0.4369753360381001]                   |  4.6895674577312336|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.815681342401299, -0.6209004044412547, -0.4369753360381001]                   |  4.6895674577312336|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.2478554283622882, -0.413776642524652, -0.5795421858780886]                   |  0.6813383281779944|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[2.2478554283622882, -0.413776642524652, -0.5795421858780886]                   |  0.6813383281779944|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[2.2478554283622882, -0.413776642524652, -0.5795421858780886]                   |  0.6813383281779944|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[2.2478554283622882, -0.413776642524652, -0.5795421858780886]                   |  0.6813383281779944|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[2.33236110385973, -0.4657908487350198, -0.503526969236771]                     |  0.5742922814829491|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[2.33236110385973, -0.4657908487350198, -0.503526969236771]                     |  0.5742922814829491|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.4565189746130804, -0.4580704639291538, -0.5157833466968359]                  |  0.4226038859690256|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[2.4565189746130804, -0.4580704639291538, -0.5157833466968359]                  |  0.4226038859690256|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[2.4565189746130804, -0.4580704639291538, -0.5157833466968359]                  |  0.4226038859690256|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.4565189746130804, -0.4580704639291538, -0.5157833466968359]                  |  0.4226038859690256|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[2.4533875149004687, -0.4891626272126181, -0.515967309798263]                   |  0.3991240312214879|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[2.4837287772518435, -0.5149268458524101, -0.4677815978412313]                  |  0.3622214044459870|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
