k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[37, 12, 1, 4]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[74, 24, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=4
       3|[119.99541130775182, -0.030780314882005, 0.8286950904118652, 110.0245959326768, 0.1277626077162509, 0.8374437033052191, 99.95436006693733, 0.2403373109331096, 0.6550150767643601, 88.0172324646694, 0.2811183074672232, 0.7093923686072543, 85.94648626384308, 0.3672937643650437, 0.6596852560863073, 84.07643480173233, 0.4351933811194938, 0.5650274627857861, 79.97278080547368, 0.6657071542982197, 0.3918247229451051, 75.91860612242728, 0.855422086636524, 0.1574359757644825, 886.3674245754086, 910.0056800728253, 922.4769673711425, 926.4076394656511, 935.5740123429127, 952.8076507652777, 975.7108678799586]|1728.1748557911416810|      0.50000000|[111, 36, 3, 12]                                                           |  | used linear model with 49 points | iterate success | actual_k=4
       4|[119.99541130775182, -0.030780314882005, 0.8286950904118652, 110.0245959326768, 0.1277626077162509, 0.8374437033052191, 99.95436006693733, 0.2403373109331096, 0.6550150767643601, 88.0172324646694, 0.2811183074672232, 0.7093923686072543, 85.94648626384308, 0.3672937643650437, 0.6596852560863073, 84.07643480173233, 0.4351933811194938, 0.5650274627857861, 79.97278080547368, 0.6657071542982197, 0.3918247229451051, 75.91860612242728, 0.855422086636524, 0.1574359757644825, 886.3674245754086, 910.0056800728253, 922.4769673711425, 926.4076394656511, 935.5740123429127, 952.8076507652777, 975.7108678799586]|1728.1748557911416810|      0.25000000|[148, 48, 4, 16]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       5|[119.99541130775182, -0.030780314882005, 0.8286950904118652, 110.0245959326768, 0.1277626077162509, 0.8374437033052191, 99.95436006693733, 0.2403373109331096, 0.6550150767643601, 88.0172324646694, 0.2811183074672232, 0.7093923686072543, 85.94648626384308, 0.3672937643650437, 0.6596852560863073, 84.07643480173233, 0.4351933811194938, 0.5650274627857861, 79.97278080547368, 0.6657071542982197, 0.3918247229451051, 75.91860612242728, 0.855422086636524, 0.1574359757644825, 886.3674245754086, 910.0056800728253, 922.4769673711425, 926.4076394656511, 935.5740123429127, 952.8076507652777, 975.7108678799586]|1728.1748557911416810|      0.12500000|[185, 60, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       6|[119.99541130775182, -0.030780314882005, 0.8286950904118652, 110.0245959326768, 0.1277626077162509, 0.8374437033052191, 99.95436006693733, 0.2403373109331096, 0.6550150767643601, 88.0172324646694, 0.2811183074672232, 0.7093923686072543, 85.94648626384308, 0.3672937643650437, 0.6596852560863073, 84.07643480173233, 0.4351933811194938, 0.5650274627857861, 79.97278080547368, 0.6657071542982197, 0.3918247229451051, 75.91860612242728, 0.855422086636524, 0.1574359757644825, 886.3674245754086, 910.0056800728253, 922.4769673711425, 926.4076394656511, 935.5740123429127, 952.8076507652777, 975.7108678799586]|1728.1748557911416810|      0.06250000|[222, 72, 6, 24]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       7|[120.00664792559776, -0.0038257427486794, 0.8457177565063738, 110.02992192272964, 0.0910117587848833, 0.8234586428849601, 99.95644491551069, 0.2546123347839587, 0.6706478652176099, 88.01622035763893, 0.2880785633568402, 0.708945473280102, 85.9342468092196, 0.3700200103693863, 0.6667564284610613, 84.0690422527813, 0.4342446644248838, 0.5597187796904443, 79.97526878305749, 0.6679995495003412, 0.3794138960965298, 75.9128174977994, 0.8569274962478112, 0.1612175999281879, 886.3668087974554, 910.0033772568135, 922.4792626906312, 926.3982427685472, 935.5709135570277, 952.8144785612425, 975.7158609081222]|983.0246227183718020|      0.12500000|[259, 84, 7, 28]                                                           |  | used linear model with 49 points | iterate success | actual_k=4
       8|[120.00664792559776, -0.0038257427486794, 0.8457177565063738, 110.02992192272964, 0.0910117587848833, 0.8234586428849601, 99.95644491551069, 0.2546123347839587, 0.6706478652176099, 88.01622035763893, 0.2880785633568402, 0.708945473280102, 85.9342468092196, 0.3700200103693863, 0.6667564284610613, 84.0690422527813, 0.4342446644248838, 0.5597187796904443, 79.97526878305749, 0.6679995495003412, 0.3794138960965298, 75.9128174977994, 0.8569274962478112, 0.1612175999281879, 886.3668087974554, 910.0033772568135, 922.4792626906312, 926.3982427685472, 935.5709135570277, 952.8144785612425, 975.7158609081222]|983.0246227183718020|      0.06250000|[296, 96, 8, 32]                                                           |  | used linear model with 49 points | iterate failure | actual_k=4
       9|[120.00664792559776, -0.0038257427486794, 0.8457177565063738, 110.02992192272964, 0.0910117587848833, 0.8234586428849601, 99.95644491551069, 0.2546123347839587, 0.6706478652176099, 88.01622035763893, 0.2880785633568402, 0.708945473280102, 85.9342468092196, 0.3700200103693863, 0.6667564284610613, 84.0690422527813, 0.4342446644248838, 0.5597187796904443, 79.97526878305749, 0.6679995495003412, 0.3794138960965298, 75.9128174977994, 0.8569274962478112, 0.1612175999281879, 886.3668087974554, 910.0033772568135, 922.4792626906312, 926.3982427685472, 935.5709135570277, 952.8144785612425, 975.7158609081222]|983.0246227183718020|      0.03125000|[333, 108, 9, 36]                                                          |  | used linear model with 49 points | iterate failure | actual_k=4
      10|[120.00733235109195, -0.0183756532733163, 0.8388769268203233, 110.02695874032239, 0.0872164603863597, 0.8216767250074083, 99.95388906241342, 0.2410834497745636, 0.6650441629041001, 88.01629311490213, 0.3024352868372331, 0.712022415583936, 85.93563806151177, 0.3655620302009077, 0.6653615312854281, 84.07166893477235, 0.4401453145785251, 0.5643646938160549, 79.97742170209797, 0.659978266259733, 0.3756592779545131, 75.91532324835644, 0.8572347090201716, 0.1589616479782715, 886.3645699924012, 909.9986713714649, 922.4753607675996, 926.3946690418372, 935.5727668777109, 952.8165524366233, 975.7190549871365]|638.5366282116880257|      0.06250000|[370, 120, 10, 40]                                                         |  | used linear model with 49 points | iterate success | actual_k=4
      11|[120.00733235109195, -0.0183756532733163, 0.8388769268203233, 110.02695874032239, 0.0872164603863597, 0.8216767250074083, 99.95388906241342, 0.2410834497745636, 0.6650441629041001, 88.01629311490213, 0.3024352868372331, 0.712022415583936, 85.93563806151177, 0.3655620302009077, 0.6653615312854281, 84.07166893477235, 0.4401453145785251, 0.5643646938160549, 79.97742170209797, 0.659978266259733, 0.3756592779545131, 75.91532324835644, 0.8572347090201716, 0.1589616479782715, 886.3645699924012, 909.9986713714649, 922.4753607675996, 926.3946690418372, 935.5727668777109, 952.8165524366233, 975.7190549871365]|638.5366282116880257|      0.03125000|[407, 132, 11, 44]                                                         |  | used linear model with 49 points | iterate failure | actual_k=4
