k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[1.198990808623914, -1.1944800207910122, 0.9745643290617645]                    |  0.0001124860064010|      0.01562500|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[1.198990808623914, -1.1944800207910122, 0.9745643290617645]                    |  0.0001124860064010|      0.00781250|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[1.198990808623914, -1.1944800207910122, 0.9745643290617645]                    |  0.0001124860064010|      0.00390625|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[1.198990808623914, -1.1944800207910122, 0.9745643290617645]                    |  0.0001124860064010|      0.00195312|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[1.198990808623914, -1.1944800207910122, 0.9745643290617645]                    |  0.0001124860064010|      0.00097656|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[1.1983353613157524, -1.19512043207826, 0.974901873911815]                      |  0.0001077239139704|      0.00195312|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[1.1983353613157524, -1.19512043207826, 0.974901873911815]                      |  0.0001077239139704|      0.00097656|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[1.198147624267259, -1.1952321064335023, 0.9739500556752748]                    |  0.0001002653661999|      0.00195312|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
