k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3227335903064367, 0.062248548982676, 0.2767356033751801, -0.0554152075776682, 0.1174776286631275, 0.2781941936346051, 0.1218758887096045, -0.1241768205010515, 0.1160724724987837, -0.031507466972235, 0.1747494779000372, 0.1620869470279716, -0.0002523632266793, 0.1216558171755104, 0.1914294869980215, 0.1440597404629181, 0.1418984605480333, 0.1224298486878746, 0.0410498236384135, 0.1674982085462103, 0.0860961262531493, -0.0342338065388359, 0.2463829050460004, 0.0619982239244401, 0.2102178865547441, 0.1130897125014861, 0.1340032559048384, 0.0631144224396768, 0.1374216128344262, 0.0771014013062324, 0.1325803240569181, -0.0382546581546208, 0.1553244219193085, 0.1646138612829483, -0.012407511782939, 0.1498128908452687, 0.0805950626141966, 0.1098421066838434, 0.0642171907193743, 0.0444222349487745, 0.0563321716539971, 0.0325347060142952, -0.057053062352045, -0.0203985414196966, 0.1550229606502085, 0.2156575814967603, 0.294970321462167, -0.0057770923003238, 0.1227621170995449, 0.086897300395583]|1750.4847226995855181|      2.00000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate success | actual_k=16
       2|[0.0176740468838617, 0.5671329133452476, 0.3241658285379487, 0.0857998877258078, 0.3140410411451799, 0.4429300711541531, 0.5291977658401713, 0.0235562906889862, 0.2213833596004676, -0.0111908974490339, 0.1167408248890369, 0.3544661920967224, 0.288536123582661, 0.27411001090251, 0.3497452031879195, 0.5626836132244065, 0.1488114961606935, 0.1621314933693844, 0.2953720886606954, 0.3765234689814361, 0.3513446377511604, 0.144983238927588, 0.5927928590165622, -0.1874743510482143, 0.2972051986565774, 0.592936188027297, -0.0503488041011325, 0.3456910242610542, 0.5173635643670463, 0.4047868797484577, 0.313419128321783, 0.3649120548056479, 0.329812899200183, 0.5191233920758525, 0.3805642019054343, 0.2884346408438234, 0.4343557149233956, 0.111231487574337, 0.3135286909568131, 0.4059166586518693, 0.3575445691285122, 0.1726056978037021, 0.3967094514566621, 0.5657353083003109, 0.3468067773627881, 0.7400519485928236, 0.236157106377355, 0.1909708890538894, 0.1026378307716045, 0.4897149251182089]|1596.7308041137148393|      4.00000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate success | actual_k=16
       3|[0.0077397066164774, 0.9882953401827402, 0.9598328317857985, 0.4223053616676601, 0.7231272250757297, 0.8939020833782951, 1.3736231718616512, 0.780720665414693, 0.5386639164336211, 0.6264482072069615, 0.7286858274846653, 0.9500905284524448, 0.276369234701605, 1.262184165425125, 0.5280729097588317, 1.5844374340547898, 1.1891878616644675, 0.3876385349509677, 0.3142192086781563, 1.2762902943514294, 0.3670238358955961, 0.2657199627670047, 0.6914244060063982, 0.6333175068806338, 0.7862025528556931, 1.0067770037674209, -0.2440228835679376, 0.8073960857898536, 0.7689713238049181, 1.4336454078036311, 0.5133784629240734, 0.4576225715103942, 0.2466375507464088, 1.1407909878288112, 1.050165232696203, 1.338537800572875, 0.7960400624047416, 0.4063918936982648, 0.7713292420437581, 0.5684701387911806, 1.1190398643495423, 0.2032725642710559, -0.2714012799662241, 1.5175019639449605, 0.678361971521499, 1.111945040460344, 0.7026174203834497, 0.9503921886921144, 0.6171798227538174, 0.9874567517171331]|1300.7705453749247226|      8.00000000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       4|[1.1943964459308423, 2.1466915809428992, 2.7043642107601302, -0.2287039878060866, 2.1643431232308368, 2.784734479957897, 1.506530449611346, 1.058025716288526, 2.3280637321712994, 1.641130999459169, 1.26838723331619, 1.219145114804821, 2.4356731798280267, 1.8303854924947984, 0.8897662872150895, 1.926529552806238, 1.0346665809973863, -0.2206119804003805, 1.0728580106369736, 0.5807111349419005, 0.8183585359373204, 0.0695918660633335, 0.3581263224714755, -1.1691278143368857, 1.198072669131851, 1.507374535682076, 0.3882568454518309, 1.5939239228397706, 2.6052096748758977, 2.3729863074722917, -0.3923287884909673, 0.0705563733751816, 2.8919956832634997, 1.1801237946623235, 0.1490023508718387, 1.417756873867165, 0.8173444906567313, -0.4390890046687901, 3.9182284015325184, 2.4478885177970184, 0.7985302434444304, -0.5382125972851379, -0.8753029426690938, 1.9072903394745686, 1.6562400442873058, 1.16373108853335, -1.1013377971965168, 2.5594848782371185, 0.1762460444859503, 1.5832093701721712]|1111.4967635003392843|     16.00000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       5|[1.1943964459308423, 2.1466915809428992, 2.7043642107601302, -0.2287039878060866, 2.1643431232308368, 2.784734479957897, 1.506530449611346, 1.058025716288526, 2.3280637321712994, 1.641130999459169, 1.26838723331619, 1.219145114804821, 2.4356731798280267, 1.8303854924947984, 0.8897662872150895, 1.926529552806238, 1.0346665809973863, -0.2206119804003805, 1.0728580106369736, 0.5807111349419005, 0.8183585359373204, 0.0695918660633335, 0.3581263224714755, -1.1691278143368857, 1.198072669131851, 1.507374535682076, 0.3882568454518309, 1.5939239228397706, 2.6052096748758977, 2.3729863074722917, -0.3923287884909673, 0.0705563733751816, 2.8919956832634997, 1.1801237946623235, 0.1490023508718387, 1.417756873867165, 0.8173444906567313, -0.4390890046687901, 3.9182284015325184, 2.4478885177970184, 0.7985302434444304, -0.5382125972851379, -0.8753029426690938, 1.9072903394745686, 1.6562400442873058, 1.16373108853335, -1.1013377971965168, 2.5594848782371185, 0.1762460444859503, 1.5832093701721712]|1111.4967635003392843|      8.00000000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       6|[1.1943964459308423, 2.1466915809428992, 2.7043642107601302, -0.2287039878060866, 2.1643431232308368, 2.784734479957897, 1.506530449611346, 1.058025716288526, 2.3280637321712994, 1.641130999459169, 1.26838723331619, 1.219145114804821, 2.4356731798280267, 1.8303854924947984, 0.8897662872150895, 1.926529552806238, 1.0346665809973863, -0.2206119804003805, 1.0728580106369736, 0.5807111349419005, 0.8183585359373204, 0.0695918660633335, 0.3581263224714755, -1.1691278143368857, 1.198072669131851, 1.507374535682076, 0.3882568454518309, 1.5939239228397706, 2.6052096748758977, 2.3729863074722917, -0.3923287884909673, 0.0705563733751816, 2.8919956832634997, 1.1801237946623235, 0.1490023508718387, 1.417756873867165, 0.8173444906567313, -0.4390890046687901, 3.9182284015325184, 2.4478885177970184, 0.7985302434444304, -0.5382125972851379, -0.8753029426690938, 1.9072903394745686, 1.6562400442873058, 1.16373108853335, -1.1013377971965168, 2.5594848782371185, 0.1762460444859503, 1.5832093701721712]|1111.4967635003392843|      4.00000000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[1.624194836062882, 2.4779976463434266, 3.1716900724781256, 0.3238308477611108, 2.5090362875919583, 3.1408310119416143, 1.6660817188515338, 1.8601325163239104, 3.1220978348052215, 1.891697547410017, 1.6050343051383282, 0.9175654957001802, 2.604310652258046, 2.7052547631497497, 0.3389235114962795, 2.2809530790302075, 0.9566357693960037, 0.4373372463534493, 0.7301219801098262, 0.6003110444241739, 1.498987378540634, -0.4616295413603977, 0.9811561002037186, -0.2931463255135486, 0.6675051717967104, 2.073895397014679, 0.5646054292763171, 1.7683877123211547, 2.9520959587366202, 2.418574357918242, 0.6354417438249279, 1.1858331234433477, 3.6427064673019256, 1.8843766316084634, 0.226792631894818, 1.8933717933211742, 1.4552957689405872, -0.2086681009556723, 3.618061191879467, 2.189212283895398, 1.64510482269221, -0.0265131539485367, -0.0808501637357917, 2.154246289832244, 2.2707669640376085, 1.8077403672694694, -1.3772129640717898, 2.808651381505857, 1.0124735504903057, 2.7635380277592096]|917.8928387304099488|      8.00000000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       8|[1.624194836062882, 2.4779976463434266, 3.1716900724781256, 0.3238308477611108, 2.5090362875919583, 3.1408310119416143, 1.6660817188515338, 1.8601325163239104, 3.1220978348052215, 1.891697547410017, 1.6050343051383282, 0.9175654957001802, 2.604310652258046, 2.7052547631497497, 0.3389235114962795, 2.2809530790302075, 0.9566357693960037, 0.4373372463534493, 0.7301219801098262, 0.6003110444241739, 1.498987378540634, -0.4616295413603977, 0.9811561002037186, -0.2931463255135486, 0.6675051717967104, 2.073895397014679, 0.5646054292763171, 1.7683877123211547, 2.9520959587366202, 2.418574357918242, 0.6354417438249279, 1.1858331234433477, 3.6427064673019256, 1.8843766316084634, 0.226792631894818, 1.8933717933211742, 1.4552957689405872, -0.2086681009556723, 3.618061191879467, 2.189212283895398, 1.64510482269221, -0.0265131539485367, -0.0808501637357917, 2.154246289832244, 2.2707669640376085, 1.8077403672694694, -1.3772129640717898, 2.808651381505857, 1.0124735504903057, 2.7635380277592096]|917.8928387304099488|      4.00000000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       9|[1.6934405535089812, 2.6305292513245107, 3.3368031979787425, 0.3509885048057735, 2.6882257658438697, 3.4906648207116566, 2.617287617697835, 2.263496942256563, 3.879213666813149, 2.108072663160857, 1.9257215542226698, 1.6376143800743108, 2.4383791448285423, 3.4952874710264705, 1.1576756204021588, 2.3231188197059636, 1.005820768155674, 0.6369863921884638, 1.197413488487936, 1.1910045230650141, 2.142038373676092, -0.1951467156081874, 2.214146096976198, 0.7593942174611069, 2.022532845729992, 2.6308695322640716, 0.5663053355529225, 2.350778451478084, 3.4798714319395927, 2.8482290650497446, 0.7095592236788313, 1.4866765479203776, 3.6916143336850387, 2.467529870016009, 0.7699465327399163, 2.8156369908128207, 1.4853013195439575, -0.260128813688745, 4.562586131521851, 1.7538879879034226, 2.049029957126936, 0.1935013534127943, 0.8212103983464794, 3.405670181388817, 2.399369333765239, 1.5864380491006604, -1.5186118226972762, 2.843255998789809, 1.038258885005821, 3.135017079282749]|760.3259047839987943|      8.00000000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
      10|[1.6934405535089812, 2.6305292513245107, 3.3368031979787425, 0.3509885048057735, 2.6882257658438697, 3.4906648207116566, 2.617287617697835, 2.263496942256563, 3.879213666813149, 2.108072663160857, 1.9257215542226698, 1.6376143800743108, 2.4383791448285423, 3.4952874710264705, 1.1576756204021588, 2.3231188197059636, 1.005820768155674, 0.6369863921884638, 1.197413488487936, 1.1910045230650141, 2.142038373676092, -0.1951467156081874, 2.214146096976198, 0.7593942174611069, 2.022532845729992, 2.6308695322640716, 0.5663053355529225, 2.350778451478084, 3.4798714319395927, 2.8482290650497446, 0.7095592236788313, 1.4866765479203776, 3.6916143336850387, 2.467529870016009, 0.7699465327399163, 2.8156369908128207, 1.4853013195439575, -0.260128813688745, 4.562586131521851, 1.7538879879034226, 2.049029957126936, 0.1935013534127943, 0.8212103983464794, 3.405670181388817, 2.399369333765239, 1.5864380491006604, -1.5186118226972762, 2.843255998789809, 1.038258885005821, 3.135017079282749]|760.3259047839987943|      4.00000000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      11|[1.6934405535089812, 2.6305292513245107, 3.3368031979787425, 0.3509885048057735, 2.6882257658438697, 3.4906648207116566, 2.617287617697835, 2.263496942256563, 3.879213666813149, 2.108072663160857, 1.9257215542226698, 1.6376143800743108, 2.4383791448285423, 3.4952874710264705, 1.1576756204021588, 2.3231188197059636, 1.005820768155674, 0.6369863921884638, 1.197413488487936, 1.1910045230650141, 2.142038373676092, -0.1951467156081874, 2.214146096976198, 0.7593942174611069, 2.022532845729992, 2.6308695322640716, 0.5663053355529225, 2.350778451478084, 3.4798714319395927, 2.8482290650497446, 0.7095592236788313, 1.4866765479203776, 3.6916143336850387, 2.467529870016009, 0.7699465327399163, 2.8156369908128207, 1.4853013195439575, -0.260128813688745, 4.562586131521851, 1.7538879879034226, 2.049029957126936, 0.1935013534127943, 0.8212103983464794, 3.405670181388817, 2.399369333765239, 1.5864380491006604, -1.5186118226972762, 2.843255998789809, 1.038258885005821, 3.135017079282749]|760.3259047839987943|      2.00000000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
