k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[43, 6, 1, 4]                                                              |  | used linear model with 49 points | iterate failure | actual_k=2
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[86, 12, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=2
       3|[100.03510955286224, 0.0278927643688097, 0.2407561184663061, 0.8866863073306951, 99.97649077626284, 0.0333982928538908, 0.19234662085293, 0.7919532584420088, 100.05707468211327, 0.0202964728708829, 0.2854352944470011, 0.7672351561791507, 100.03466746014234, 0.1171287632397399, 0.3242086551806756, 0.561453134354551, 100.02657462183757, 0.1797036889868666, 0.3964118056601892, 0.2197599378008366, 99.98705615574418, 0.6348972665338618, 0.603133681805669, 0.0714941439908738, 299.98204877858956, 300.0072303882345, 300.07342526826943, 300.0431372862611, 300.0372465043966]|429.9208645974535443|      0.50000000|[129, 18, 3, 12]                                                           |  | used linear model with 49 points | iterate success | actual_k=2
       4|[100.03510955286224, 0.0278927643688097, 0.2407561184663061, 0.8866863073306951, 99.97649077626284, 0.0333982928538908, 0.19234662085293, 0.7919532584420088, 100.05707468211327, 0.0202964728708829, 0.2854352944470011, 0.7672351561791507, 100.03466746014234, 0.1171287632397399, 0.3242086551806756, 0.561453134354551, 100.02657462183757, 0.1797036889868666, 0.3964118056601892, 0.2197599378008366, 99.98705615574418, 0.6348972665338618, 0.603133681805669, 0.0714941439908738, 299.98204877858956, 300.0072303882345, 300.07342526826943, 300.0431372862611, 300.0372465043966]|429.9208645974535443|      0.25000000|[172, 24, 4, 16]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       5|[100.03510955286224, 0.0278927643688097, 0.2407561184663061, 0.8866863073306951, 99.97649077626284, 0.0333982928538908, 0.19234662085293, 0.7919532584420088, 100.05707468211327, 0.0202964728708829, 0.2854352944470011, 0.7672351561791507, 100.03466746014234, 0.1171287632397399, 0.3242086551806756, 0.561453134354551, 100.02657462183757, 0.1797036889868666, 0.3964118056601892, 0.2197599378008366, 99.98705615574418, 0.6348972665338618, 0.603133681805669, 0.0714941439908738, 299.98204877858956, 300.0072303882345, 300.07342526826943, 300.0431372862611, 300.0372465043966]|429.9208645974535443|      0.12500000|[215, 30, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       6|[100.03114045914332, 0.0905620117626692, 0.2931423726467194, 0.8936267900892906, 99.97211518387955, 0.0678297937522276, 0.1999559589621464, 0.7915349281464906, 100.03177616323114, 0.0316974124833789, 0.2569724236353912, 0.7532750006385616, 100.00869298253025, 0.0774410719975129, 0.3072482420960999, 0.5676585701768478, 100.02511866809171, 0.2176282070033391, 0.4239170448477393, 0.2105648083869609, 99.99195881618881, 0.6413111391854602, 0.616494850957297, 0.0569627560329969, 299.99074975314886, 300.00852010127505, 300.08412248175085, 300.06080168914104, 300.0431995458235]|238.6097948076371722|      0.25000000|[258, 36, 6, 24]                                                           |  | used linear model with 49 points | iterate success | actual_k=2
       7|[100.03114045914332, 0.0905620117626692, 0.2931423726467194, 0.8936267900892906, 99.97211518387955, 0.0678297937522276, 0.1999559589621464, 0.7915349281464906, 100.03177616323114, 0.0316974124833789, 0.2569724236353912, 0.7532750006385616, 100.00869298253025, 0.0774410719975129, 0.3072482420960999, 0.5676585701768478, 100.02511866809171, 0.2176282070033391, 0.4239170448477393, 0.2105648083869609, 99.99195881618881, 0.6413111391854602, 0.616494850957297, 0.0569627560329969, 299.99074975314886, 300.00852010127505, 300.08412248175085, 300.06080168914104, 300.0431995458235]|238.6097948076371722|      0.12500000|[301, 42, 7, 28]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       8|[100.029134649287, 0.1482410560913227, 0.3323031962462524, 0.9122063755166958, 99.96776220419402, 0.1137131509239823, 0.2139490835123893, 0.8114098644896017, 100.0174180452826, 0.0422768352698662, 0.2618955178619649, 0.7520446438566264, 100.02462749604241, 0.0725490871982955, 0.3037078498278069, 0.5569175765998455, 100.01188824877559, 0.1984819119173304, 0.3807527600287181, 0.1578771201295315, 99.97664985894247, 0.6226105231256054, 0.6133990227006731, 0.0569408388250161, 299.97336189315575, 300.01964753899904, 300.1017694690007, 300.07385499083017, 300.0595797531785]|150.7588190342968346|      0.25000000|[344, 48, 8, 32]                                                           |  | used linear model with 49 points | iterate success | actual_k=2
       9|[100.029134649287, 0.1482410560913227, 0.3323031962462524, 0.9122063755166958, 99.96776220419402, 0.1137131509239823, 0.2139490835123893, 0.8114098644896017, 100.0174180452826, 0.0422768352698662, 0.2618955178619649, 0.7520446438566264, 100.02462749604241, 0.0725490871982955, 0.3037078498278069, 0.5569175765998455, 100.01188824877559, 0.1984819119173304, 0.3807527600287181, 0.1578771201295315, 99.97664985894247, 0.6226105231256054, 0.6133990227006731, 0.0569408388250161, 299.97336189315575, 300.01964753899904, 300.1017694690007, 300.07385499083017, 300.0595797531785]|150.7588190342968346|      0.12500000|[387, 54, 9, 36]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
      10|[100.029134649287, 0.1482410560913227, 0.3323031962462524, 0.9122063755166958, 99.96776220419402, 0.1137131509239823, 0.2139490835123893, 0.8114098644896017, 100.0174180452826, 0.0422768352698662, 0.2618955178619649, 0.7520446438566264, 100.02462749604241, 0.0725490871982955, 0.3037078498278069, 0.5569175765998455, 100.01188824877559, 0.1984819119173304, 0.3807527600287181, 0.1578771201295315, 99.97664985894247, 0.6226105231256054, 0.6133990227006731, 0.0569408388250161, 299.97336189315575, 300.01964753899904, 300.1017694690007, 300.07385499083017, 300.0595797531785]|150.7588190342968346|      0.06250000|[430, 60, 10, 40]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
      11|[100.03245863049469, 0.1626367638012585, 0.3459368942112974, 0.9088995828118686, 99.9693409715891, 0.1360594800885394, 0.2245778945377578, 0.8197301645415893, 100.01551048433517, 0.0480728415743131, 0.266475797023887, 0.7440192262572877, 100.02758938749783, 0.0357907410531065, 0.2907498152751328, 0.552612138109431, 100.00751445516595, 0.2213667950129385, 0.3849810397147367, 0.1711628679524141, 99.97146764628963, 0.6149437357636703, 0.6147676472490436, 0.0592846440719544, 299.9571526832269, 300.02342976068496, 300.09845384631694, 300.07790403462155, 300.05773138465014]|135.4402415038123308|      0.12500000|[473, 66, 11, 44]                                                          |  | used linear model with 49 points | iterate success | actual_k=2
      12|[100.03732702477157, 0.1745431654763003, 0.3682119322589398, 0.9544488818293675, 99.96315969163416, 0.1628613789448127, 0.2615023044317984, 0.80181592761876, 100.02476262400349, 0.0955909471364576, 0.3049921482183668, 0.7480777108445602, 100.02635953975921, 0.0607374732848842, 0.3168060290546301, 0.5593422538397788, 100.03209880266665, 0.200317920949235, 0.3555699528632146, 0.189741979230699, 99.94446427113188, 0.6472671511515289, 0.6412368580171764, 0.0707785740236107, 299.96025010408766, 300.01148273274686, 300.08612412281576, 300.0715983674864, 300.0508286297831]| 98.6258730431594586|      0.25000000|[516, 72, 12, 48]                                                          |  | used linear model with 49 points | iterate success | actual_k=2
      13|[100.03732702477157, 0.1745431654763003, 0.3682119322589398, 0.9544488818293675, 99.96315969163416, 0.1628613789448127, 0.2615023044317984, 0.80181592761876, 100.02476262400349, 0.0955909471364576, 0.3049921482183668, 0.7480777108445602, 100.02635953975921, 0.0607374732848842, 0.3168060290546301, 0.5593422538397788, 100.03209880266665, 0.200317920949235, 0.3555699528632146, 0.189741979230699, 99.94446427113188, 0.6472671511515289, 0.6412368580171764, 0.0707785740236107, 299.96025010408766, 300.01148273274686, 300.08612412281576, 300.0715983674864, 300.0508286297831]| 98.6258730431594586|      0.12500000|[559, 78, 13, 52]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
      14|[100.03732702477157, 0.1745431654763003, 0.3682119322589398, 0.9544488818293675, 99.96315969163416, 0.1628613789448127, 0.2615023044317984, 0.80181592761876, 100.02476262400349, 0.0955909471364576, 0.3049921482183668, 0.7480777108445602, 100.02635953975921, 0.0607374732848842, 0.3168060290546301, 0.5593422538397788, 100.03209880266665, 0.200317920949235, 0.3555699528632146, 0.189741979230699, 99.94446427113188, 0.6472671511515289, 0.6412368580171764, 0.0707785740236107, 299.96025010408766, 300.01148273274686, 300.08612412281576, 300.0715983674864, 300.0508286297831]| 98.6258730431594586|      0.06250000|[602, 84, 14, 56]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
      15|[100.03981560429511, 0.1894321580098245, 0.3853673294442516, 0.9719100438997985, 99.97832497111851, 0.1793460243921358, 0.2721182180240549, 0.7944964874552473, 100.01573514576002, 0.071416609683415, 0.3033882350470615, 0.7530863517824513, 100.02883305677379, 0.0682864614522852, 0.3158676676746425, 0.5633014347527845, 100.03865210782483, 0.2215097847982652, 0.3567566024540396, 0.1682046836958922, 99.92821582248199, 0.6600734812550041, 0.6509560826581361, 0.06370173769463, 299.9566874580686, 300.00200214562057, 300.0844837646408, 300.07184348860767, 300.0491637677522]| 83.0813137618108186|      0.12500000|[645, 90, 15, 60]                                                          |  | used linear model with 49 points | iterate success | actual_k=2
