k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[98.0, 36.0, 270.0]                                                             |235144.3534117177186999|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[98.68774950525783, 36.15739443793055, 269.29131981195593]                      |231811.1023910790099762|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[100.0509910941241, 36.46456218763935, 267.8605087329087]                       |225215.5121117588423658|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[102.82040907429304, 37.10648253207423, 265.04656802235394]                     |212307.7254043630673550|      8.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[108.36753683518172, 38.2029402639028, 259.3873141804865]                       |187629.8844757121987641|     16.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[119.05909121268908, 41.099412181522, 247.84170395740836]                       |142846.2282096929557156|     32.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[140.96336200035364, 44.576553437440325, 224.7741421021308]                     |71574.0138881097664125|     64.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[174.77525842875622, 48.91169524846517, 170.60808072239524]                     |2856.1660541439514418|    128.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[174.77525842875622, 48.91169524846517, 170.60808072239524]                     |2856.1660541439514418|     64.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[174.77525842875622, 48.91169524846517, 170.60808072239524]                     |2856.1660541439514418|     32.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[174.77525842875622, 48.91169524846517, 170.60808072239524]                     |2856.1660541439514418|     16.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[185.489406949983, 52.528288547090575, 159.28874883498102]                      |226.1754938238612738|     32.00000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[185.489406949983, 52.528288547090575, 159.28874883498102]                      |226.1754938238612738|     16.00000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[185.489406949983, 52.528288547090575, 159.28874883498102]                      |226.1754938238612738|      8.00000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[185.489406949983, 52.528288547090575, 159.28874883498102]                      |226.1754938238612738|      4.00000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[185.489406949983, 52.528288547090575, 159.28874883498102]                      |226.1754938238612738|      2.00000000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
