k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[0.179157598968766, -0.1304671806017477, 0.0995740904992308, -0.1003137165368058, 0.2745529724972336, -0.1104535834682531, 0.076824073853883, 0.2911708177587229, -0.0513937354895205]|296272.0260945968911983|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       3|[0.179157598968766, -0.1304671806017477, 0.0995740904992308, -0.1003137165368058, 0.2745529724972336, -0.1104535834682531, 0.076824073853883, 0.2911708177587229, -0.0513937354895205]|296272.0260945968911983|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[0.179157598968766, -0.1304671806017477, 0.0995740904992308, -0.1003137165368058, 0.2745529724972336, -0.1104535834682531, 0.076824073853883, 0.2911708177587229, -0.0513937354895205]|296272.0260945968911983|      0.25000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       5|[0.1714869366299309, -0.2329068174379604, 0.0226576722790294, -0.0175640614674611, 0.3388260575788683, 0.0279633044136765, 0.0988617058734452, 0.2602434004296846, 0.0688194678357555]|193534.6354957960138563|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       6|[0.1714869366299309, -0.2329068174379604, 0.0226576722790294, -0.0175640614674611, 0.3388260575788683, 0.0279633044136765, 0.0988617058734452, 0.2602434004296846, 0.0688194678357555]|193534.6354957960138563|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.1714869366299309, -0.2329068174379604, 0.0226576722790294, -0.0175640614674611, 0.3388260575788683, 0.0279633044136765, 0.0988617058734452, 0.2602434004296846, 0.0688194678357555]|193534.6354957960138563|      0.12500000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       8|[0.1493383851963871, -0.2602406777228588, 0.0468746820735777, -0.0195056800893195, 0.4428472226894111, -0.0196954116636191, 0.091833805159067, 0.235862837614355, 0.0766622393053863]|94772.4382646266021766|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       9|[0.2071139655209754, -0.4191966306432268, 0.0310931213216769, 0.0197154497342339, 0.5959265789031201, -0.0625313472605528, 0.062120595544191, 0.1738057886688579, 0.1225476818577168]|28204.6798778185329866|      0.50000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[0.2071139655209754, -0.4191966306432268, 0.0310931213216769, 0.0197154497342339, 0.5959265789031201, -0.0625313472605528, 0.062120595544191, 0.1738057886688579, 0.1225476818577168]|28204.6798778185329866|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[0.2071139655209754, -0.4191966306432268, 0.0310931213216769, 0.0197154497342339, 0.5959265789031201, -0.0625313472605528, 0.062120595544191, 0.1738057886688579, 0.1225476818577168]|28204.6798778185329866|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[0.2071139655209754, -0.4191966306432268, 0.0310931213216769, 0.0197154497342339, 0.5959265789031201, -0.0625313472605528, 0.062120595544191, 0.1738057886688579, 0.1225476818577168]|28204.6798778185329866|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[0.2071139655209754, -0.4191966306432268, 0.0310931213216769, 0.0197154497342339, 0.5959265789031201, -0.0625313472605528, 0.062120595544191, 0.1738057886688579, 0.1225476818577168]|28204.6798778185329866|      0.03125000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      14|[0.212218329552342, -0.4146229925159589, 0.0267128224854415, 0.033584399614137, 0.6150513907336304, -0.0506414381986889, 0.0553955226242156, 0.1839772361888974, 0.1304370226392004]|21886.6468864699454571|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      15|[0.2102113609152443, -0.4180816726534221, 0.0241237322682335, 0.0265798714627083, 0.6740313855547901, -0.032692701599438, 0.0498976010232725, 0.1854129341116703, 0.1316234040072777]|11050.4140878027137660|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      16|[0.2102113609152443, -0.4180816726534221, 0.0241237322682335, 0.0265798714627083, 0.6740313855547901, -0.032692701599438, 0.0498976010232725, 0.1854129341116703, 0.1316234040072777]|11050.4140878027137660|      0.06250000|[160, 48, 16, 64]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      17|[0.2204339947212804, -0.408226180155584, 0.0200240331276084, 0.023028804131389, 0.7095488868680238, -0.0103740554163437, 0.0235767570852416, 0.1514881990693275, 0.123143423277789]|6530.1214648602126545|      0.12500000|[170, 51, 17, 68]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      18|[0.2204339947212804, -0.408226180155584, 0.0200240331276084, 0.023028804131389, 0.7095488868680238, -0.0103740554163437, 0.0235767570852416, 0.1514881990693275, 0.123143423277789]|6530.1214648602126545|      0.06250000|[180, 54, 18, 72]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
