k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, 0.3, 5.6, 5.5, 6.5, 7.6]                                                  |269.7504728856305292|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.4198537152332833, 0.5156365862619999, 5.226229754397129, 5.651950328714242, 6.106161419787364, 7.76422761908905]|168.1757150871441127|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[-1.2673473459097304, 0.0983694402420919, 5.270889355652955, 5.379585662783133, 5.282456454688372, 8.238119850898629]| 95.1283978653810465|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[-1.2673473459097304, 0.0983694402420919, 5.270889355652955, 5.379585662783133, 5.282456454688372, 8.238119850898629]| 95.1283978653810465|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-1.2673473459097304, 0.0983694402420919, 5.270889355652955, 5.379585662783133, 5.282456454688372, 8.238119850898629]| 95.1283978653810465|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-1.433782736784881, 0.0916657008589236, 4.867541034127829, 5.2859386790362395, 4.465573646530513, 7.872747202446914]| 74.6922697195110743|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-1.433782736784881, 0.0916657008589236, 4.867541034127829, 5.2859386790362395, 4.465573646530513, 7.872747202446914]| 74.6922697195110743|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-1.1911650373795546, 0.6223299032112033, 4.338633057569977, 4.940877447030244, 4.180047634974585, 7.4494315383119405]| 46.3471255644454700|      2.00000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[-1.1911650373795546, 0.6223299032112033, 4.338633057569977, 4.940877447030244, 4.180047634974585, 7.4494315383119405]| 46.3471255644454700|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-1.413334649624659, 1.220199553192185, 3.78837338820101, 5.018103319830129, 3.6484179561736982, 7.492009589944152]| 24.8866401433626336|      2.00000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[-1.413334649624659, 1.220199553192185, 3.78837338820101, 5.018103319830129, 3.6484179561736982, 7.492009589944152]| 24.8866401433626336|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-1.3494695361043156, 1.7591373670337684, 3.1624731784938445, 5.077987122175291, 3.140456541218524, 7.720275528508445]| 12.3894380934984678|      2.00000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[-1.6524094615004914, 3.2746884655086124, 2.216845147076369, 4.793874598763208, 2.833096394492647, 6.984116775279748]|  3.1602120682813037|      4.00000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[-1.6524094615004914, 3.2746884655086124, 2.216845147076369, 4.793874598763208, 2.833096394492647, 6.984116775279748]|  3.1602120682813037|      2.00000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[-1.6524094615004914, 3.2746884655086124, 2.216845147076369, 4.793874598763208, 2.833096394492647, 6.984116775279748]|  3.1602120682813037|      1.00000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-1.6524094615004914, 3.2746884655086124, 2.216845147076369, 4.793874598763208, 2.833096394492647, 6.984116775279748]|  3.1602120682813037|      0.50000000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-1.6524094615004914, 3.2746884655086124, 2.216845147076369, 4.793874598763208, 2.833096394492647, 6.984116775279748]|  3.1602120682813037|      0.25000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-1.6007847743852717, 3.443852065627548, 2.139927230800174, 4.648391173768527, 2.784450387965659, 6.942041350961293]|  2.5720100623431481|      0.50000000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      18|[-1.6007847743852717, 3.443852065627548, 2.139927230800174, 4.648391173768527, 2.784450387965659, 6.942041350961293]|  2.5720100623431481|      0.25000000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[-1.487338220660547, 3.5705598006796047, 2.0060959174209834, 4.630503804939961, 2.735134634535142, 6.828409456736418]|  2.1791115661085509|      0.50000000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[-1.2914301508758046, 3.799863563375415, 2.076730006326449, 4.400304490465985, 2.445635122903802, 6.69707421214388]|  1.4260658422599022|      1.00000000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
