k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[8, 2, 1, 4]                                                               |  | used linear model with 10 points | iterate failure | actual_k=1
       2|[-0.0900770469165742, 0.11638086607294, -0.145711505857245, -0.109026849907118, 0.4284493944999564, -0.0355253264698558, -0.0665860444537308, -0.0625611386790625, 0.0452149625020555]|125591.6606018265301827|      1.00000000|[16, 4, 2, 8]                                                              |  | used linear model with 10 points | iterate success | actual_k=1
       3|[-0.0900770469165742, 0.11638086607294, -0.145711505857245, -0.109026849907118, 0.4284493944999564, -0.0355253264698558, -0.0665860444537308, -0.0625611386790625, 0.0452149625020555]|125591.6606018265301827|      0.50000000|[23, 7, 3, 12]                                                             |  | used linear model with 10 points | iterate failure | actual_k=1
       4|[0.3056476335258746, 0.2293643533294552, -0.2942125208428059, 0.0434641509337148, 0.5153245434640742, -0.1217274000458508, -0.1035688343550138, 0.021595135688882, -0.0638838818831345]|83446.4120440220431192|      1.00000000|[31, 9, 4, 16]                                                             |  | used linear model with 10 points | iterate success | actual_k=1
       5|[0.3056476335258746, 0.2293643533294552, -0.2942125208428059, 0.0434641509337148, 0.5153245434640742, -0.1217274000458508, -0.1035688343550138, 0.021595135688882, -0.0638838818831345]|83446.4120440220431192|      0.50000000|[39, 11, 5, 20]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       6|[0.4783137499648057, 0.4788899775179299, -0.2491806899007607, 0.1181814927026442, 0.6836449554538158, 0.0226271328018109, 0.1859854717597476, 0.1444769671536447, -0.1108007787161883]|34756.0109380486392183|      1.00000000|[47, 13, 6, 24]                                                            |  | used linear model with 10 points | iterate success | actual_k=1
       7|[0.4783137499648057, 0.4788899775179299, -0.2491806899007607, 0.1181814927026442, 0.6836449554538158, 0.0226271328018109, 0.1859854717597476, 0.1444769671536447, -0.1108007787161883]|34756.0109380486392183|      0.50000000|[55, 15, 7, 28]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       8|[0.4783137499648057, 0.4788899775179299, -0.2491806899007607, 0.1181814927026442, 0.6836449554538158, 0.0226271328018109, 0.1859854717597476, 0.1444769671536447, -0.1108007787161883]|34756.0109380486392183|      0.25000000|[63, 17, 8, 32]                                                            |  | used linear model with 10 points | iterate failure | actual_k=1
       9|[0.4923652359042346, 0.3838381645586023, -0.202583799816232, -0.0173462608392318, 0.8043969798743638, 0.0350534810560071, 0.2525094223248069, 0.2508504484860807, -0.158260734344298]|4750.8977977779741195|      0.50000000|[71, 19, 9, 36]                                                            |  | used linear model with 10 points | iterate success | actual_k=1
      10|[0.4923652359042346, 0.3838381645586023, -0.202583799816232, -0.0173462608392318, 0.8043969798743638, 0.0350534810560071, 0.2525094223248069, 0.2508504484860807, -0.158260734344298]|4750.8977977779741195|      0.25000000|[78, 22, 10, 40]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
      11|[0.4923652359042346, 0.3838381645586023, -0.202583799816232, -0.0173462608392318, 0.8043969798743638, 0.0350534810560071, 0.2525094223248069, 0.2508504484860807, -0.158260734344298]|4750.8977977779741195|      0.12500000|[85, 25, 11, 44]                                                           |  | used linear model with 10 points | iterate failure | actual_k=1
