k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, 10.0, 10.0]                                                              |83210000.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.797621128489636, 9.938691074003382, 9.022613685404112]                       |33884520.0000000000000000|      2.00000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[9.208285475461036, 10.276540957979845, 7.141512692908908]                      |3875929.5000000000000000|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[9.208285475461036, 10.276540957979845, 7.141512692908908]                      |3875929.5000000000000000|      2.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[9.491438846257672, 11.242720517677187, 5.413415118398269]                      |1767121.3750000000000000|      4.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[9.491438846257672, 11.242720517677187, 5.413415118398269]                      |1767121.3750000000000000|      2.00000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[9.010830502796143, 9.310702398690259, 5.222832831442281]                       |793573.1875000000000000|      4.00000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       7|[9.010830502796143, 9.310702398690259, 5.222832831442281]                       |793573.1875000000000000|      2.00000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[9.010830502796143, 9.310702398690259, 5.222832831442281]                       |793573.1875000000000000|      1.00000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[8.621438954093263, 8.45699623366364, 4.877058330366339]                        |522764.5312500000000000|      2.00000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[8.621438954093263, 8.45699623366364, 4.877058330366339]                        |522764.5312500000000000|      1.00000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[8.269176157879546, 7.521607505119784, 4.908023616039195]                       |383149.3750000000000000|      2.00000000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[8.269176157879546, 7.521607505119784, 4.908023616039195]                       |383149.3750000000000000|      1.00000000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[8.03322131713029, 7.586161671123766, 3.9384061281716733]                       |302376.1562500000000000|      2.00000000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[7.2723407000223235, 6.776446960299332, 2.275450093399887]                      |168778.7187500000000000|      4.00000000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      15|[6.5817235234335865, 2.916087083951046, 3.063275924710874]                      |15231.9873046875000000|      8.00000000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
