k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[49, 16, 1, 2]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[98, 32, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=16
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[147, 48, 3, 6]                                                            |  | used linear model with 65 points | iterate failure | actual_k=16
       4|[99.98669923606239, 0.0616081469786519, 0.2270051771592464, 0.8907031829918015, 100.01013470227097, 0.0046711509962008, 0.1709634991389491, 0.7989017259392047, 100.00566265018027, 0.0004681913980166, 0.2747151249345117, 0.7799183649145599, 100.00655128625849, 0.1295691667191186, 0.3287364496766172, 0.6254185614959608, 99.96889430726088, 0.280532354032987, 0.4598615037986966, 0.3002566805894227, 100.01411230635728, 0.606756024752312, 0.6148853586100674, -0.0038004278130769, 299.99159291517617, 299.98547940515016, 299.98574090668154, 299.9961685776982, 300.0035623059267]|445.9444203523407282|      0.25000000|[196, 64, 4, 8]                                                            |  | used linear model with 65 points | iterate success | actual_k=16
       5|[99.96641098242192, 0.1148207112702439, 0.2576764273565076, 0.8682798507543192, 99.9911013441313, 0.095026276361742, 0.1623007668083287, 0.8376487623899501, 99.97139114158637, 0.0020381533960156, 0.3171976484669534, 0.726399358274488, 100.02973473697098, 0.1253542890833672, 0.265303306692861, 0.6282084197469363, 99.9824320430627, 0.14039678093916, 0.4159746197593868, 0.3056748915495997, 99.99369789408, 0.6052054553777652, 0.6700337963067625, -0.0530117962006736, 299.96392211552524, 300.00655858400347, 300.06919949627314, 299.9584932811894, 299.9986576718964]|273.9103349643343677|      0.50000000|[245, 80, 5, 10]                                                           |  | used linear model with 65 points | iterate success | actual_k=16
       6|[99.96641098242192, 0.1148207112702439, 0.2576764273565076, 0.8682798507543192, 99.9911013441313, 0.095026276361742, 0.1623007668083287, 0.8376487623899501, 99.97139114158637, 0.0020381533960156, 0.3171976484669534, 0.726399358274488, 100.02973473697098, 0.1253542890833672, 0.265303306692861, 0.6282084197469363, 99.9824320430627, 0.14039678093916, 0.4159746197593868, 0.3056748915495997, 99.99369789408, 0.6052054553777652, 0.6700337963067625, -0.0530117962006736, 299.96392211552524, 300.00655858400347, 300.06919949627314, 299.9584932811894, 299.9986576718964]|273.9103349643343677|      0.25000000|[294, 96, 6, 12]                                                           |  | used linear model with 65 points | iterate failure | actual_k=16
       7|[99.96641098242192, 0.1148207112702439, 0.2576764273565076, 0.8682798507543192, 99.9911013441313, 0.095026276361742, 0.1623007668083287, 0.8376487623899501, 99.97139114158637, 0.0020381533960156, 0.3171976484669534, 0.726399358274488, 100.02973473697098, 0.1253542890833672, 0.265303306692861, 0.6282084197469363, 99.9824320430627, 0.14039678093916, 0.4159746197593868, 0.3056748915495997, 99.99369789408, 0.6052054553777652, 0.6700337963067625, -0.0530117962006736, 299.96392211552524, 300.00655858400347, 300.06919949627314, 299.9584932811894, 299.9986576718964]|273.9103349643343677|      0.12500000|[343, 112, 7, 14]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
       8|[99.96525941092835, 0.1957379008186422, 0.2988157257421198, 0.8813797317331998, 99.99065652371193, 0.0934841156256124, 0.1650039713442284, 0.8107933273504799, 99.96415765260889, 0.0316896575497023, 0.3224962540448485, 0.7348416303249706, 100.04400444305558, 0.0733976523525836, 0.2388030105987506, 0.6136212362225071, 99.98859638199204, 0.1683115959455053, 0.4339245472283519, 0.3177374718070883, 99.99999295313259, 0.6055009611804101, 0.6697967763940101, -0.0476876049600105, 299.9763395694347, 300.0008458631178, 300.0697235557355, 299.9556726137756, 300.00781005568365]|221.0720164885563008|      0.25000000|[392, 128, 8, 16]                                                          |  | used linear model with 65 points | iterate success | actual_k=16
       9|[99.96525941092835, 0.1957379008186422, 0.2988157257421198, 0.8813797317331998, 99.99065652371193, 0.0934841156256124, 0.1650039713442284, 0.8107933273504799, 99.96415765260889, 0.0316896575497023, 0.3224962540448485, 0.7348416303249706, 100.04400444305558, 0.0733976523525836, 0.2388030105987506, 0.6136212362225071, 99.98859638199204, 0.1683115959455053, 0.4339245472283519, 0.3177374718070883, 99.99999295313259, 0.6055009611804101, 0.6697967763940101, -0.0476876049600105, 299.9763395694347, 300.0008458631178, 300.0697235557355, 299.9556726137756, 300.00781005568365]|221.0720164885563008|      0.12500000|[441, 144, 9, 18]                                                          |  | used linear model with 65 points | iterate failure | actual_k=16
      10|[99.96525941092835, 0.1957379008186422, 0.2988157257421198, 0.8813797317331998, 99.99065652371193, 0.0934841156256124, 0.1650039713442284, 0.8107933273504799, 99.96415765260889, 0.0316896575497023, 0.3224962540448485, 0.7348416303249706, 100.04400444305558, 0.0733976523525836, 0.2388030105987506, 0.6136212362225071, 99.98859638199204, 0.1683115959455053, 0.4339245472283519, 0.3177374718070883, 99.99999295313259, 0.6055009611804101, 0.6697967763940101, -0.0476876049600105, 299.9763395694347, 300.0008458631178, 300.0697235557355, 299.9556726137756, 300.00781005568365]|221.0720164885563008|      0.06250000|[490, 160, 10, 20]                                                         |  | used linear model with 65 points | iterate failure | actual_k=16
      11|[99.96519624831832, 0.1909616871691948, 0.2966500490542311, 0.8840286431132669, 99.99045297576662, 0.1316074801005719, 0.1865877168975054, 0.8193883889067457, 99.9615060486416, 0.0128820742732317, 0.3048614474502738, 0.7228647157616728, 100.04622574607144, 0.0938506315778045, 0.2517433746485253, 0.6193490435436498, 99.98811846241246, 0.1567909247786649, 0.4243981864709796, 0.3060364156932243, 99.99920811066781, 0.6100639611721826, 0.6745966152679873, -0.0446419304741289, 299.9738262426908, 300.00136203333057, 300.0661318655508, 299.95367394683666, 300.00922524438437]|149.0859622095901216|      0.12500000|[539, 176, 11, 22]                                                         |  | used linear model with 65 points | iterate success | actual_k=16
