k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[9.741031842377417, -0.8975032192513734, -0.1769655801231743, 0.1069268197902053, 0.22437222280068, -0.1573215001889999, 0.0955774035206666]|48300.6389086673443671|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[9.741031842377417, -0.8975032192513734, -0.1769655801231743, 0.1069268197902053, 0.22437222280068, -0.1573215001889999, 0.0955774035206666]|48300.6389086673443671|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[9.741031842377417, -0.8975032192513734, -0.1769655801231743, 0.1069268197902053, 0.22437222280068, -0.1573215001889999, 0.0955774035206666]|48300.6389086673443671|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[9.741031842377417, -0.8975032192513734, -0.1769655801231743, 0.1069268197902053, 0.22437222280068, -0.1573215001889999, 0.0955774035206666]|48300.6389086673443671|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[9.741031842377417, -0.8975032192513734, -0.1769655801231743, 0.1069268197902053, 0.22437222280068, -0.1573215001889999, 0.0955774035206666]|48300.6389086673443671|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[9.741092405316415, -0.8987636720742824, -0.1769750497373732, 0.1520278245485499, 0.2236130793084731, -0.1583255435945853, 0.0523457892907565]|37927.9843274121885770|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[9.741092405316415, -0.8987636720742824, -0.1769750497373732, 0.1520278245485499, 0.2236130793084731, -0.1583255435945853, 0.0523457892907565]|37927.9843274121885770|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[9.741092405316415, -0.8987636720742824, -0.1769750497373732, 0.1520278245485499, 0.2236130793084731, -0.1583255435945853, 0.0523457892907565]|37927.9843274121885770|      0.03125000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[9.739370588989244, -0.8998526735746861, -0.1736931895090579, 0.1612190315467963, 0.2250876517480561, -0.1566377436080017, 0.0228137727840818]|20030.2597974320669891|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[9.739370588989244, -0.8998526735746861, -0.1736931895090579, 0.1612190315467963, 0.2250876517480561, -0.1566377436080017, 0.0228137727840818]|20030.2597974320669891|      0.03125000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[9.739370588989244, -0.8998526735746861, -0.1736931895090579, 0.1612190315467963, 0.2250876517480561, -0.1566377436080017, 0.0228137727840818]|20030.2597974320669891|      0.01562500|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[9.739370588989244, -0.8998526735746861, -0.1736931895090579, 0.1612190315467963, 0.2250876517480561, -0.1566377436080017, 0.0228137727840818]|20030.2597974320669891|      0.00781250|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.01562500|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      15|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00781250|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00390625|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00195312|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00097656|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00048828|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[9.739444494537853, -0.8999880915338277, -0.1735879118217276, 0.1622163435851273, 0.2250493784575425, -0.1566705441236224, 0.0150676059394815]|13785.4357192479437799|      0.00024414|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[9.73945779835215, -0.8999745003033085, -0.1736078389304532, 0.1623366635523956, 0.2250459980807544, -0.1564823476270773, 0.0149730564851794]|13771.9264239933963836|      0.00048828|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[9.73923816443385, -0.8998510897594719, -0.1735077924145969, 0.1624732244623363, 0.2253100257672075, -0.1562964926208055, 0.0151780893329734]|13753.3572330039078224|      0.00097656|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[9.73899996623591, -0.8997541883110843, -0.1731524339883199, 0.1633157706803224, 0.2253030903380634, -0.1560747956783249, 0.0152248297774918]|13702.0567141854317015|      0.00195312|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[9.73899996623591, -0.8997541883110843, -0.1731524339883199, 0.1633157706803224, 0.2253030903380634, -0.1560747956783249, 0.0152248297774918]|13702.0567141854317015|      0.00097656|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[9.73899996623591, -0.8997541883110843, -0.1731524339883199, 0.1633157706803224, 0.2253030903380634, -0.1560747956783249, 0.0152248297774918]|13702.0567141854317015|      0.00048828|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
