k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[42, 3, 0, 3]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[83, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[100.06513327005874, 0.0710038079036968, 0.1954643383299596, 0.9762753146811426, 100.0395083640913, 0.0455511240876276, 0.2430981687752881, 0.8196984078813279, 100.01951243653637, -5.37769455165e-05, 0.2590228581854822, 0.8039745504195259, 99.886445696016, 0.1554757227200656, 0.3708121534091974, 0.5607074760016826, 100.02586368024518, 0.2682256290831553, 0.4849307346982376, 0.3191248374490369, 100.00205305774318, 0.6172565233554876, 0.6533203245536235, 0.0389552899492323, 299.98163833289294, 299.96523073106187, 300.0196103359675, 300.067720821268, 300.03056472313494]|428.8799438476562500|      0.50000000|[111, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[100.06513327005874, 0.0710038079036968, 0.1954643383299596, 0.9762753146811426, 100.0395083640913, 0.0455511240876276, 0.2430981687752881, 0.8196984078813279, 100.01951243653637, -5.37769455165e-05, 0.2590228581854822, 0.8039745504195259, 99.886445696016, 0.1554757227200656, 0.3708121534091974, 0.5607074760016826, 100.02586368024518, 0.2682256290831553, 0.4849307346982376, 0.3191248374490369, 100.00205305774318, 0.6172565233554876, 0.6533203245536235, 0.0389552899492323, 299.98163833289294, 299.96523073106187, 300.0196103359675, 300.067720821268, 300.03056472313494]|428.8799438476562500|      0.25000000|[152, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[100.06660060401605, 0.1846969211244916, 0.2764168164810609, 0.9955313588501051, 100.04734953032089, 0.1067145295882923, 0.2613097904053848, 0.788076269407024, 99.95324344300468, 0.0716846574544698, 0.3171953842338926, 0.8714766021868762, 99.8654114503847, 0.0806102370946262, 0.4227256925622519, 0.5499567972583053, 99.96790733566492, 0.2753774838078639, 0.4625339629612859, 0.2734977505736009, 100.00549728487889, 0.6135305966612352, 0.6640896886257431, 0.0385497000996877, 300.00068718232274, 300.00396404875426, 300.07360155808885, 300.0839497490861, 300.03017899384434]|223.6901550292968750|      0.50000000|[180, 13, 0, 13]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[100.06660060401605, 0.1846969211244916, 0.2764168164810609, 0.9955313588501051, 100.04734953032089, 0.1067145295882923, 0.2613097904053848, 0.788076269407024, 99.95324344300468, 0.0716846574544698, 0.3171953842338926, 0.8714766021868762, 99.8654114503847, 0.0806102370946262, 0.4227256925622519, 0.5499567972583053, 99.96790733566492, 0.2753774838078639, 0.4625339629612859, 0.2734977505736009, 100.00549728487889, 0.6135305966612352, 0.6640896886257431, 0.0385497000996877, 300.00068718232274, 300.00396404875426, 300.07360155808885, 300.0839497490861, 300.03017899384434]|223.6901550292968750|      0.25000000|[221, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[100.06660060401605, 0.1846969211244916, 0.2764168164810609, 0.9955313588501051, 100.04734953032089, 0.1067145295882923, 0.2613097904053848, 0.788076269407024, 99.95324344300468, 0.0716846574544698, 0.3171953842338926, 0.8714766021868762, 99.8654114503847, 0.0806102370946262, 0.4227256925622519, 0.5499567972583053, 99.96790733566492, 0.2753774838078639, 0.4625339629612859, 0.2734977505736009, 100.00549728487889, 0.6135305966612352, 0.6640896886257431, 0.0385497000996877, 300.00068718232274, 300.00396404875426, 300.07360155808885, 300.0839497490861, 300.03017899384434]|223.6901550292968750|      0.12500000|[262, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[100.0578003476881, 0.2123230662863158, 0.2902074653599557, 1.0056616471913271, 100.03814725700333, 0.1093330855479371, 0.3012489422362016, 0.7997574086195645, 99.94630538894054, 0.0210247540096905, 0.2966973250304383, 0.8670720381910755, 99.82796423731125, 0.1005870460282162, 0.4183918023211708, 0.5833723624656374, 99.97007672944451, 0.2236029001145675, 0.4245261936279133, 0.2803715805138017, 100.01857795574557, 0.6172605282598985, 0.683716139019451, 0.0627419995977345, 300.0043031393205, 300.0127037853034, 300.09250943705604, 300.11376631013377, 300.03316438948394]|174.6374511718750000|      0.25000000|[290, 21, 0, 21]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[100.0578003476881, 0.2123230662863158, 0.2902074653599557, 1.0056616471913271, 100.03814725700333, 0.1093330855479371, 0.3012489422362016, 0.7997574086195645, 99.94630538894054, 0.0210247540096905, 0.2966973250304383, 0.8670720381910755, 99.82796423731125, 0.1005870460282162, 0.4183918023211708, 0.5833723624656374, 99.97007672944451, 0.2236029001145675, 0.4245261936279133, 0.2803715805138017, 100.01857795574557, 0.6172605282598985, 0.683716139019451, 0.0627419995977345, 300.0043031393205, 300.0127037853034, 300.09250943705604, 300.11376631013377, 300.03316438948394]|174.6374511718750000|      0.12500000|[331, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[100.04651532480229, 0.2024502256879147, 0.26897964449128, 0.9854419368421339, 100.04849487970635, 0.1504794004113287, 0.3066538701626393, 0.8061595207172231, 99.9220705325572, 0.0414836095609578, 0.3182557742207877, 0.8515742388816666, 99.82253782700052, 0.0404593250873509, 0.3993417547429519, 0.5682783160890856, 99.97194536034199, 0.2317030959574242, 0.4695574589925475, 0.2662275421526586, 100.00341393982407, 0.660803717331974, 0.6998668777517169, 0.0321310839035389, 300.02753802548546, 300.00828443192614, 300.0733583228667, 300.1248041326045, 300.0405985257605]|145.1501007080078125|      0.25000000|[359, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
