k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6476063624302035, 1.009776061587734, -0.1386889229766281, 0.8656366891072141, 0.9666780571999375, 1.4673076946177783, 1.3078672442177997, 0.5215094171187393]|147.0670335151667700|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[0.6476063624302035, 1.009776061587734, -0.1386889229766281, 0.8656366891072141, 0.9666780571999375, 1.4673076946177783, 1.3078672442177997, 0.5215094171187393]|147.0670335151667700|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.6476063624302035, 1.009776061587734, -0.1386889229766281, 0.8656366891072141, 0.9666780571999375, 1.4673076946177783, 1.3078672442177997, 0.5215094171187393]|147.0670335151667700|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.7450080144989341, 0.6522079592408005, -0.2975732684405753, 0.8457798779133331, 0.9024606765356612, 1.4554374966982622, 1.4569367071734105, 0.7675438939915857]| 90.4943807177401283|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[0.8540693103088591, 0.4438754208784071, -0.095689969154794, 1.1820661432732944, 1.3385074463652085, 0.7516711069754463, 1.7577109415627352, 0.645196799376609]| 73.4133024707304287|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[0.8540693103088591, 0.4438754208784071, -0.095689969154794, 1.1820661432732944, 1.3385074463652085, 0.7516711069754463, 1.7577109415627352, 0.645196799376609]| 73.4133024707304287|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[0.8540693103088591, 0.4438754208784071, -0.095689969154794, 1.1820661432732944, 1.3385074463652085, 0.7516711069754463, 1.7577109415627352, 0.645196799376609]| 73.4133024707304287|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.9831585922876702, 0.3457456651708153, 0.1384371902291832, 1.0281139743124956, 1.7171856090291762, 0.7875256219756073, 1.7373933282282208, 0.6354906828538863]| 52.4218594121826840|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[0.9831585922876702, 0.3457456651708153, 0.1384371902291832, 1.0281139743124956, 1.7171856090291762, 0.7875256219756073, 1.7373933282282208, 0.6354906828538863]| 52.4218594121826840|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[0.9831585922876702, 0.3457456651708153, 0.1384371902291832, 1.0281139743124956, 1.7171856090291762, 0.7875256219756073, 1.7373933282282208, 0.6354906828538863]| 52.4218594121826840|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[0.9831585922876702, 0.3457456651708153, 0.1384371902291832, 1.0281139743124956, 1.7171856090291762, 0.7875256219756073, 1.7373933282282208, 0.6354906828538863]| 52.4218594121826840|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
