k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0073377968183675, 1.0617639374650762, 0.3196312114738989, 1.1568927136240723, 0.9130516833364627, 1.8588302619052728, 0.890842052277987, 1.335092601745072]| 93.1020202636718750|      2.00000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.0073377968183675, 1.0617639374650762, 0.3196312114738989, 1.1568927136240723, 0.9130516833364627, 1.8588302619052728, 0.890842052277987, 1.335092601745072]| 93.1020202636718750|      1.00000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.0073377968183675, 1.0617639374650762, 0.3196312114738989, 1.1568927136240723, 0.9130516833364627, 1.8588302619052728, 0.890842052277987, 1.335092601745072]| 93.1020202636718750|      0.50000000|[86, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0073377968183675, 1.0617639374650762, 0.3196312114738989, 1.1568927136240723, 0.9130516833364627, 1.8588302619052728, 0.890842052277987, 1.335092601745072]| 93.1020202636718750|      0.25000000|[114, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[-0.022405773970278, 1.0172617577701237, 0.2993656500688902, 1.037423510334868, 0.8961439823282584, 1.7725047315530322, 0.8908288141555638, 1.142185046770428]| 50.1990966796875000|      0.50000000|[142, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       6|[-0.022405773970278, 1.0172617577701237, 0.2993656500688902, 1.037423510334868, 0.8961439823282584, 1.7725047315530322, 0.8908288141555638, 1.142185046770428]| 50.1990966796875000|      0.25000000|[170, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.022405773970278, 1.0172617577701237, 0.2993656500688902, 1.037423510334868, 0.8961439823282584, 1.7725047315530322, 0.8908288141555638, 1.142185046770428]| 50.1990966796875000|      0.12500000|[198, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[-0.0874253922042976, 0.96826518823476, 0.2695315917073734, 0.9848115412024762, 0.8835946401083878, 1.8432507941460452, 0.8985134440351181, 1.1313614528566294]| 46.6191406250000000|      0.25000000|[226, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       9|[-0.0874253922042976, 0.96826518823476, 0.2695315917073734, 0.9848115412024762, 0.8835946401083878, 1.8432507941460452, 0.8985134440351181, 1.1313614528566294]| 46.6191406250000000|      0.12500000|[254, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.1378913459241075, 0.882366218294533, 0.2610909091267243, 0.9878296001747545, 0.8797267182248241, 1.831061381850927, 0.9013209260610541, 1.2051705046649737]| 45.2498130798339844|      0.25000000|[282, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      11|[-0.1378913459241075, 0.882366218294533, 0.2610909091267243, 0.9878296001747545, 0.8797267182248241, 1.831061381850927, 0.9013209260610541, 1.2051705046649737]| 45.2498130798339844|      0.12500000|[310, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.1627105605597241, 0.8941487755996095, 0.2406945382012502, 0.9323162350405303, 0.8804810593582866, 1.9132822235702944, 0.9002611917487565, 1.1372700378597376]| 43.0099678039550781|      0.25000000|[338, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      13|[-0.1627105605597241, 0.8941487755996095, 0.2406945382012502, 0.9323162350405303, 0.8804810593582866, 1.9132822235702944, 0.9002611917487565, 1.1372700378597376]| 43.0099678039550781|      0.12500000|[366, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[-0.136537240051268, 0.8033467153315392, 0.23068810903425, 0.919495541390554, 0.8768239982050161, 1.9342087883214447, 0.9113147034104186, 1.2138008748189484]| 39.6594810485839844|      0.25000000|[394, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      15|[-0.136537240051268, 0.8033467153315392, 0.23068810903425, 0.919495541390554, 0.8768239982050161, 1.9342087883214447, 0.9113147034104186, 1.2138008748189484]| 39.6594810485839844|      0.12500000|[423, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[-0.136537240051268, 0.8033467153315392, 0.23068810903425, 0.919495541390554, 0.8768239982050161, 1.9342087883214447, 0.9113147034104186, 1.2138008748189484]| 39.6594810485839844|      0.06250000|[451, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[-0.163348176970489, 0.7879972754131945, 0.2148914848000082, 0.8840807917794319, 0.8711004368551505, 1.9601739010905082, 0.9141380143532145, 1.1867238881296065]| 38.0426177978515625|      0.12500000|[479, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      18|[-0.2249281339117688, 0.7042335388035155, 0.1973154133658545, 0.8904106934407728, 0.8688694610934323, 1.9884210708605419, 0.9169172260075845, 1.2471966548920712]| 36.2564926147460938|      0.25000000|[507, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      19|[-0.2249281339117688, 0.7042335388035155, 0.1973154133658545, 0.8904106934407728, 0.8688694610934323, 1.9884210708605419, 0.9169172260075845, 1.2471966548920712]| 36.2564926147460938|      0.12500000|[536, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[-0.2492847504977539, 0.7110756241120795, 0.1704207678588038, 0.8273025664403071, 0.8546290880348724, 2.056081839399881, 0.9164194117791691, 1.1730483723531626]| 35.0316200256347656|      0.25000000|[565, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
