k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.03125000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.01562500|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[1.2, -1.2, 0.98]                                                               |  0.0009441980441600|      0.00781250|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.01562500|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.00781250|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.00390625|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.00195312|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.00097656|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.1978214500002435, -1.1985953153761293, 0.972630065315349]                    |  0.0000792447492332|      0.00048828|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[1.19744777195027, -1.1988700357726405, 0.9724773826450479]                     |  0.0000759693272195|      0.00097656|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[1.19744777195027, -1.1988700357726405, 0.9724773826450479]                     |  0.0000759693272195|      0.00048828|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
