k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[49, 0, 1, 4]                                                              |  | used linear model with 49 points | iterate failure | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[98, 0, 2, 8]                                                              |  | used linear model with 49 points | iterate failure | actual_k=0
       3|[100.00675446777652, 0.0861688794912762, 0.2805949963166204, 0.9256120925614053, 100.0407877620917, 0.0587924739397502, 0.2151193122504895, 0.806220288396361, 99.99166073703005, 0.0209842641034565, 0.2175411968586446, 0.7476158701273746, 99.9936785167614, 0.2002884279892594, 0.3740857932663122, 0.6513199317401657, 100.00130858127042, 0.2052087219244241, 0.4543257099561323, 0.2645011919292198, 99.97994495772666, 0.6066367425373904, 0.6174403684065025, -0.0040188917307193, 299.99415059084794, 299.99132855513056, 300.0225592369073, 300.0077010597307, 299.9938762798501]|563.6244401912741750|      0.50000000|[147, 0, 3, 12]                                                            |  | used linear model with 49 points | iterate success | actual_k=0
       4|[100.00675446777652, 0.0861688794912762, 0.2805949963166204, 0.9256120925614053, 100.0407877620917, 0.0587924739397502, 0.2151193122504895, 0.806220288396361, 99.99166073703005, 0.0209842641034565, 0.2175411968586446, 0.7476158701273746, 99.9936785167614, 0.2002884279892594, 0.3740857932663122, 0.6513199317401657, 100.00130858127042, 0.2052087219244241, 0.4543257099561323, 0.2645011919292198, 99.97994495772666, 0.6066367425373904, 0.6174403684065025, -0.0040188917307193, 299.99415059084794, 299.99132855513056, 300.0225592369073, 300.0077010597307, 299.9938762798501]|563.6244401912741750|      0.25000000|[196, 0, 4, 16]                                                            |  | used linear model with 49 points | iterate failure | actual_k=0
       5|[100.00675446777652, 0.0861688794912762, 0.2805949963166204, 0.9256120925614053, 100.0407877620917, 0.0587924739397502, 0.2151193122504895, 0.806220288396361, 99.99166073703005, 0.0209842641034565, 0.2175411968586446, 0.7476158701273746, 99.9936785167614, 0.2002884279892594, 0.3740857932663122, 0.6513199317401657, 100.00130858127042, 0.2052087219244241, 0.4543257099561323, 0.2645011919292198, 99.97994495772666, 0.6066367425373904, 0.6174403684065025, -0.0040188917307193, 299.99415059084794, 299.99132855513056, 300.0225592369073, 300.0077010597307, 299.9938762798501]|563.6244401912741750|      0.12500000|[245, 0, 5, 20]                                                            |  | used linear model with 49 points | iterate failure | actual_k=0
       6|[100.01408811517784, 0.0928043531947222, 0.2826883530159969, 0.9585264048761409, 100.05461409071377, 0.0403654271248455, 0.2113736275030162, 0.7912217527172277, 100.02129609164808, 0.0412442113797026, 0.2411755807476391, 0.7407783310975025, 99.97914789875936, 0.112360461753083, 0.3585040036237102, 0.6401020014634834, 99.99315179680084, 0.2253393469322302, 0.4823276236826096, 0.3018193498593399, 99.9975453593508, 0.6095646386187454, 0.6179599794368582, -0.000370810792924, 299.99513797029755, 299.99311111310504, 300.0378186630552, 300.02340866865234, 299.9945122057942]|289.3520167415804849|      0.25000000|[294, 0, 6, 24]                                                            |  | used linear model with 49 points | iterate success | actual_k=0
       7|[100.01408811517784, 0.0928043531947222, 0.2826883530159969, 0.9585264048761409, 100.05461409071377, 0.0403654271248455, 0.2113736275030162, 0.7912217527172277, 100.02129609164808, 0.0412442113797026, 0.2411755807476391, 0.7407783310975025, 99.97914789875936, 0.112360461753083, 0.3585040036237102, 0.6401020014634834, 99.99315179680084, 0.2253393469322302, 0.4823276236826096, 0.3018193498593399, 99.9975453593508, 0.6095646386187454, 0.6179599794368582, -0.000370810792924, 299.99513797029755, 299.99311111310504, 300.0378186630552, 300.02340866865234, 299.9945122057942]|289.3520167415804849|      0.12500000|[343, 0, 7, 28]                                                            |  | used linear model with 49 points | iterate failure | actual_k=0
       8|[100.03056936862448, 0.1552649447223093, 0.3113027040359529, 0.9694631398289167, 100.0577524168445, 0.0867275055781647, 0.2144896187258139, 0.7895747903176887, 100.0201221988226, 0.1039630262687067, 0.2569050063943488, 0.7288881654463059, 99.97796515525432, 0.0727677944926225, 0.3222650445790004, 0.6321737027529565, 99.98529731081847, 0.201650898574726, 0.4710651768789866, 0.3058451488723664, 100.0041221484816, 0.6108960672854272, 0.6294645699985614, -0.0050658118447611, 300.00032591024916, 299.9933550911358, 300.04658527243276, 300.0239365895328, 299.9926142693018]|198.2575252937959931|      0.25000000|[392, 0, 8, 32]                                                            |  | used linear model with 49 points | iterate success | actual_k=0
       9|[100.03056936862448, 0.1552649447223093, 0.3113027040359529, 0.9694631398289167, 100.0577524168445, 0.0867275055781647, 0.2144896187258139, 0.7895747903176887, 100.0201221988226, 0.1039630262687067, 0.2569050063943488, 0.7288881654463059, 99.97796515525432, 0.0727677944926225, 0.3222650445790004, 0.6321737027529565, 99.98529731081847, 0.201650898574726, 0.4710651768789866, 0.3058451488723664, 100.0041221484816, 0.6108960672854272, 0.6294645699985614, -0.0050658118447611, 300.00032591024916, 299.9933550911358, 300.04658527243276, 300.0239365895328, 299.9926142693018]|198.2575252937959931|      0.12500000|[441, 0, 9, 36]                                                            |  | used linear model with 49 points | iterate failure | actual_k=0
      10|[100.03056936862448, 0.1552649447223093, 0.3113027040359529, 0.9694631398289167, 100.0577524168445, 0.0867275055781647, 0.2144896187258139, 0.7895747903176887, 100.0201221988226, 0.1039630262687067, 0.2569050063943488, 0.7288881654463059, 99.97796515525432, 0.0727677944926225, 0.3222650445790004, 0.6321737027529565, 99.98529731081847, 0.201650898574726, 0.4710651768789866, 0.3058451488723664, 100.0041221484816, 0.6108960672854272, 0.6294645699985614, -0.0050658118447611, 300.00032591024916, 299.9933550911358, 300.04658527243276, 300.0239365895328, 299.9926142693018]|198.2575252937959931|      0.06250000|[490, 0, 10, 40]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      11|[100.0295078318117, 0.1569946218710722, 0.3101375662149187, 0.967536649937863, 100.05881156130717, 0.1263285357475586, 0.2319818605373744, 0.7945299285065553, 100.01976095831748, 0.0832582315652234, 0.2397157997717836, 0.7171363649933615, 99.97490888482926, 0.0893884203621486, 0.3308514411173871, 0.6371533913574489, 99.98118288366032, 0.1798914982853496, 0.4588934476042453, 0.2994473242985739, 100.0056729952518, 0.6137584463729248, 0.6314405471617056, -0.0023918713841274, 300.00400097512363, 299.9933571462108, 300.04124995588217, 300.021540353631, 299.99126690346054]|142.2764050004958563|      0.12500000|[539, 0, 11, 44]                                                           |  | used linear model with 49 points | iterate success | actual_k=0
      12|[100.0295078318117, 0.1569946218710722, 0.3101375662149187, 0.967536649937863, 100.05881156130717, 0.1263285357475586, 0.2319818605373744, 0.7945299285065553, 100.01976095831748, 0.0832582315652234, 0.2397157997717836, 0.7171363649933615, 99.97490888482926, 0.0893884203621486, 0.3308514411173871, 0.6371533913574489, 99.98118288366032, 0.1798914982853496, 0.4588934476042453, 0.2994473242985739, 100.0056729952518, 0.6137584463729248, 0.6314405471617056, -0.0023918713841274, 300.00400097512363, 299.9933571462108, 300.04124995588217, 300.021540353631, 299.99126690346054]|142.2764050004958563|      0.06250000|[588, 0, 12, 48]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      13|[100.02520395504793, 0.1834216342723372, 0.3330749000009711, 0.9669203591850513, 100.05325659395315, 0.1213440548542223, 0.2310641919475359, 0.784037135639856, 100.01348184263682, 0.1186950852218808, 0.2546909428272047, 0.7148860106144602, 99.9698967258447, 0.0896838752761157, 0.3193662100966949, 0.629365782259258, 99.98029326819935, 0.1672172449132379, 0.4621197612158233, 0.2960366436268311, 100.00298146756182, 0.6085587211322412, 0.6487090817834399, -0.0003205872268216, 300.0107654400177, 299.98979206688415, 300.031837892255, 300.0229629612739, 300.0004641457106]|123.5649234970022690|      0.12500000|[637, 0, 13, 52]                                                           |  | used linear model with 49 points | iterate success | actual_k=0
      14|[100.02520395504793, 0.1834216342723372, 0.3330749000009711, 0.9669203591850513, 100.05325659395315, 0.1213440548542223, 0.2310641919475359, 0.784037135639856, 100.01348184263682, 0.1186950852218808, 0.2546909428272047, 0.7148860106144602, 99.9698967258447, 0.0896838752761157, 0.3193662100966949, 0.629365782259258, 99.98029326819935, 0.1672172449132379, 0.4621197612158233, 0.2960366436268311, 100.00298146756182, 0.6085587211322412, 0.6487090817834399, -0.0003205872268216, 300.0107654400177, 299.98979206688415, 300.031837892255, 300.0229629612739, 300.0004641457106]|123.5649234970022690|      0.06250000|[686, 0, 14, 56]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      15|[100.02520395504793, 0.1834216342723372, 0.3330749000009711, 0.9669203591850513, 100.05325659395315, 0.1213440548542223, 0.2310641919475359, 0.784037135639856, 100.01348184263682, 0.1186950852218808, 0.2546909428272047, 0.7148860106144602, 99.9698967258447, 0.0896838752761157, 0.3193662100966949, 0.629365782259258, 99.98029326819935, 0.1672172449132379, 0.4621197612158233, 0.2960366436268311, 100.00298146756182, 0.6085587211322412, 0.6487090817834399, -0.0003205872268216, 300.0107654400177, 299.98979206688415, 300.031837892255, 300.0229629612739, 300.0004641457106]|123.5649234970022690|      0.03125000|[735, 0, 15, 60]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      16|[100.02856570805638, 0.1793488259182457, 0.3343942862213873, 0.9648476567432259, 100.05544026186476, 0.143943237420794, 0.2378050114568236, 0.7908776369244889, 100.01328976731132, 0.1148561334166846, 0.2449751002040327, 0.7100566849205348, 99.97215428187656, 0.0967312986918464, 0.3203179680477949, 0.6323347139375033, 99.98151045148794, 0.1605616920812618, 0.4633234689113331, 0.2952452153727642, 100.00151124991471, 0.6112458224710071, 0.645051004134318, 0.0007922862035525, 300.008727034491, 299.98841888722586, 300.03030167135523, 300.02019734459054, 299.99339083287134]|102.9308865779013047|      0.06250000|[784, 0, 16, 64]                                                           |  | used linear model with 49 points | iterate success | actual_k=0
      17|[100.0296088567868, 0.2079482945384859, 0.3477602311211833, 0.9730273900229374, 100.05940497122972, 0.1755311478051332, 0.2507258597145668, 0.7900100323758351, 100.01420700459505, 0.1416713527595142, 0.256345494671533, 0.7104470209093483, 99.97035492447098, 0.079987659841362, 0.3075658415571006, 0.6192100553547789, 99.98021123610386, 0.1589510584259521, 0.4667094453634037, 0.295476730628954, 100.00443357125098, 0.6142035890966813, 0.647506200899188, 0.0045587367516557, 300.0132719535294, 299.98433039628804, 300.0309271071149, 300.02866675202847, 299.9988558567049]| 83.4290449689657976|      0.12500000|[833, 0, 17, 68]                                                           |  | used linear model with 49 points | iterate success | actual_k=0
      18|[100.0296088567868, 0.2079482945384859, 0.3477602311211833, 0.9730273900229374, 100.05940497122972, 0.1755311478051332, 0.2507258597145668, 0.7900100323758351, 100.01420700459505, 0.1416713527595142, 0.256345494671533, 0.7104470209093483, 99.97035492447098, 0.079987659841362, 0.3075658415571006, 0.6192100553547789, 99.98021123610386, 0.1589510584259521, 0.4667094453634037, 0.295476730628954, 100.00443357125098, 0.6142035890966813, 0.647506200899188, 0.0045587367516557, 300.0132719535294, 299.98433039628804, 300.0309271071149, 300.02866675202847, 299.9988558567049]| 83.4290449689657976|      0.06250000|[882, 0, 18, 72]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      19|[100.0296088567868, 0.2079482945384859, 0.3477602311211833, 0.9730273900229374, 100.05940497122972, 0.1755311478051332, 0.2507258597145668, 0.7900100323758351, 100.01420700459505, 0.1416713527595142, 0.256345494671533, 0.7104470209093483, 99.97035492447098, 0.079987659841362, 0.3075658415571006, 0.6192100553547789, 99.98021123610386, 0.1589510584259521, 0.4667094453634037, 0.295476730628954, 100.00443357125098, 0.6142035890966813, 0.647506200899188, 0.0045587367516557, 300.0132719535294, 299.98433039628804, 300.0309271071149, 300.02866675202847, 299.9988558567049]| 83.4290449689657976|      0.03125000|[931, 0, 19, 76]                                                           |  | used linear model with 49 points | iterate failure | actual_k=0
      20|[100.02470006608826, 0.2039544322237338, 0.3487557707864652, 0.9725797848848625, 100.05849103157063, 0.1860166858941032, 0.2572990194923959, 0.7915106213799935, 100.01502840046648, 0.1363011716679994, 0.2530749310374037, 0.7059107756057076, 99.9740967196393, 0.0975773221901277, 0.3155055367921741, 0.6257958547154403, 99.97824616887428, 0.1488998067840732, 0.4601732605553137, 0.2935552546378193, 100.00114334354375, 0.6145108082193065, 0.6502728798356804, 0.009772670496889, 300.01853133833407, 299.98864211843164, 300.0291090588765, 300.02601506729013, 299.99295364114647]| 74.8745070532540069|      0.06250000|[980, 0, 20, 80]                                                           |  | used linear model with 49 points | iterate success | actual_k=0
      21|[100.02470006608826, 0.2039544322237338, 0.3487557707864652, 0.9725797848848625, 100.05849103157063, 0.1860166858941032, 0.2572990194923959, 0.7915106213799935, 100.01502840046648, 0.1363011716679994, 0.2530749310374037, 0.7059107756057076, 99.9740967196393, 0.0975773221901277, 0.3155055367921741, 0.6257958547154403, 99.97824616887428, 0.1488998067840732, 0.4601732605553137, 0.2935552546378193, 100.00114334354375, 0.6145108082193065, 0.6502728798356804, 0.009772670496889, 300.01853133833407, 299.98864211843164, 300.0291090588765, 300.02601506729013, 299.99295364114647]| 74.8745070532540069|      0.03125000|[1029, 0, 21, 84]                                                          |  | used linear model with 49 points | iterate failure | actual_k=0
      22|[100.02626168114418, 0.2172154581696686, 0.3586002465752333, 0.9805592719867425, 100.05936535727642, 0.1888617481870426, 0.2518494165019866, 0.787980721268507, 100.01280416063668, 0.1536031522263708, 0.2593077541487098, 0.7151034365238164, 99.97614402948608, 0.0999199852439652, 0.3124118839894879, 0.6194737411265909, 99.9804487429632, 0.1509912590126727, 0.4583293075399409, 0.2918969687580374, 100.00232686359819, 0.6114764656438234, 0.6477271075912063, 0.0120973836429748, 300.0131016555597, 299.98457131752986, 300.02858303672684, 300.02843763585406, 299.99607141530925]| 69.8817618427096363|      0.06250000|[1078, 0, 22, 88]                                                          |  | used linear model with 49 points | iterate success | actual_k=0
      23|[100.02626168114418, 0.2172154581696686, 0.3586002465752333, 0.9805592719867425, 100.05936535727642, 0.1888617481870426, 0.2518494165019866, 0.787980721268507, 100.01280416063668, 0.1536031522263708, 0.2593077541487098, 0.7151034365238164, 99.97614402948608, 0.0999199852439652, 0.3124118839894879, 0.6194737411265909, 99.9804487429632, 0.1509912590126727, 0.4583293075399409, 0.2918969687580374, 100.00232686359819, 0.6114764656438234, 0.6477271075912063, 0.0120973836429748, 300.0131016555597, 299.98457131752986, 300.02858303672684, 300.02843763585406, 299.99607141530925]| 69.8817618427096363|      0.03125000|[1127, 0, 23, 92]                                                          |  | used linear model with 49 points | iterate failure | actual_k=0
      24|[100.02626168114418, 0.2172154581696686, 0.3586002465752333, 0.9805592719867425, 100.05936535727642, 0.1888617481870426, 0.2518494165019866, 0.787980721268507, 100.01280416063668, 0.1536031522263708, 0.2593077541487098, 0.7151034365238164, 99.97614402948608, 0.0999199852439652, 0.3124118839894879, 0.6194737411265909, 99.9804487429632, 0.1509912590126727, 0.4583293075399409, 0.2918969687580374, 100.00232686359819, 0.6114764656438234, 0.6477271075912063, 0.0120973836429748, 300.0131016555597, 299.98457131752986, 300.02858303672684, 300.02843763585406, 299.99607141530925]| 69.8817618427096363|      0.01562500|[1176, 0, 24, 96]                                                          |  | used linear model with 49 points | iterate failure | actual_k=0
      25|[100.0255083033384, 0.2168573249068158, 0.3591649206378933, 0.9799376978032909, 100.06003770165773, 0.2017739385920057, 0.2565728483786229, 0.7903844265602914, 100.01241638080725, 0.1502430126620845, 0.2562352037966018, 0.7136124731001515, 99.97503441383556, 0.1025043895573272, 0.3143933271068334, 0.6185785962290133, 99.97960239529128, 0.1511206037816055, 0.4590923313450626, 0.291482592414219, 100.00039940541373, 0.6129474430222449, 0.646438565542689, 0.012050849177896, 300.0138461178074, 299.98523297880007, 300.02810830632734, 300.0296558022695, 299.9960226633671]| 63.9033868346591447|      0.03125000|[1225, 0, 25, 100]                                                         |  | used linear model with 49 points | iterate success | actual_k=0
      26|[100.02583571327565, 0.2325450983243749, 0.367309584639966, 0.9845773928142988, 100.0594449883418, 0.2161813001240065, 0.2637503519127343, 0.7902176982778779, 100.01683237416776, 0.1653180933759568, 0.2617271576366352, 0.7133849847905344, 99.97610974244584, 0.1012782637063152, 0.3127542930999031, 0.6164661481207033, 99.97889487093177, 0.1586095852364779, 0.4605562197042899, 0.2927199011223522, 99.99788306395283, 0.6108460036624546, 0.6447992807631222, 0.0081597335166603, 300.014136329374, 299.98382057636485, 300.030045549924, 300.03015960425427, 299.9948751267372]| 57.6209332803003065|      0.06250000|[1274, 0, 26, 104]                                                         |  | used linear model with 49 points | iterate success | actual_k=0
      27|[100.02583571327565, 0.2325450983243749, 0.367309584639966, 0.9845773928142988, 100.0594449883418, 0.2161813001240065, 0.2637503519127343, 0.7902176982778779, 100.01683237416776, 0.1653180933759568, 0.2617271576366352, 0.7133849847905344, 99.97610974244584, 0.1012782637063152, 0.3127542930999031, 0.6164661481207033, 99.97889487093177, 0.1586095852364779, 0.4605562197042899, 0.2927199011223522, 99.99788306395283, 0.6108460036624546, 0.6447992807631222, 0.0081597335166603, 300.014136329374, 299.98382057636485, 300.030045549924, 300.03015960425427, 299.9948751267372]| 57.6209332803003065|      0.03125000|[1323, 0, 27, 108]                                                         |  | used linear model with 49 points | iterate failure | actual_k=0
      28|[100.02583571327565, 0.2325450983243749, 0.367309584639966, 0.9845773928142988, 100.0594449883418, 0.2161813001240065, 0.2637503519127343, 0.7902176982778779, 100.01683237416776, 0.1653180933759568, 0.2617271576366352, 0.7133849847905344, 99.97610974244584, 0.1012782637063152, 0.3127542930999031, 0.6164661481207033, 99.97889487093177, 0.1586095852364779, 0.4605562197042899, 0.2927199011223522, 99.99788306395283, 0.6108460036624546, 0.6447992807631222, 0.0081597335166603, 300.014136329374, 299.98382057636485, 300.030045549924, 300.03015960425427, 299.9948751267372]| 57.6209332803003065|      0.01562500|[1372, 0, 28, 112]                                                         |  | used linear model with 49 points | iterate failure | actual_k=0
