k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.50000000|[81, 0, 1, 6]                                                              |  | used linear model with 81 points | iterate failure | actual_k=0
       2|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.25000000|[162, 0, 2, 12]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       3|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.12500000|[243, 0, 3, 18]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       4|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.06250000|[324, 0, 4, 24]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       5|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.03125000|[405, 0, 5, 30]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       6|[0.6879964309383266, 0.0225260910540882, 0.6623073511124797, 0.0171883941470846, 0.6200757689613436, 0.0159513142678983, 1.3226026276543028, 0.0204269881187774, 0.0011210987328421, 0.0212455601341192, 1.2474327668345893, 0.0250375942146058, 0.2272109810200964, 0.0228313461667939, 1.2251392059611288, 0.0205223587422546, 4.594406442280589, 0.035243308167512, 4.450343336063214, 0.0357199052786285, 0.0873585879477609, 0.0148081430762876, 0.2432157905510079, 0.022821717671298, 0.7164058482681149, 0.0187347540711318, 0.2072751347672163, 0.021326027278423, -0.0657387349861226, 0.017757666518463, 1.3967213296137366, 0.0221682925086599, 0.243104008286723, 0.0242902095431556, 0.0599209615188197, 0.0185555395960919, 0.0263957384930003, 0.0176898720559534, 0.4223022526513321, 0.0157424652962312, 0.2585848866713953, 0.0256214971565051, 0.8377475890984931, 0.0195762966820684, 1.0273363698783202, 0.0212880795384729, 0.7989048983494975, 0.0190508064476079, 0.2458867507423321, 0.0222935176385392, 0.5050993861392118, 0.0203128682730063, 0.2745253932507364, 0.0188952160888754, 0.3851372438978801, 0.0234198916191561, 0.1623400015639047, 0.0173600906516192, 0.2938831142804725, 0.0200804057612449, 0.1875409726273465, 0.0228732658592497, 0.0074261715894298, 0.0197833236894126, 0.15970257933359, 0.0215174966514863]|355388.9698523172992282|      0.06250000|[486, 0, 6, 36]                                                            |  | used linear model with 81 points | iterate success | actual_k=0
       7|[0.6879964309383266, 0.0225260910540882, 0.6623073511124797, 0.0171883941470846, 0.6200757689613436, 0.0159513142678983, 1.3226026276543028, 0.0204269881187774, 0.0011210987328421, 0.0212455601341192, 1.2474327668345893, 0.0250375942146058, 0.2272109810200964, 0.0228313461667939, 1.2251392059611288, 0.0205223587422546, 4.594406442280589, 0.035243308167512, 4.450343336063214, 0.0357199052786285, 0.0873585879477609, 0.0148081430762876, 0.2432157905510079, 0.022821717671298, 0.7164058482681149, 0.0187347540711318, 0.2072751347672163, 0.021326027278423, -0.0657387349861226, 0.017757666518463, 1.3967213296137366, 0.0221682925086599, 0.243104008286723, 0.0242902095431556, 0.0599209615188197, 0.0185555395960919, 0.0263957384930003, 0.0176898720559534, 0.4223022526513321, 0.0157424652962312, 0.2585848866713953, 0.0256214971565051, 0.8377475890984931, 0.0195762966820684, 1.0273363698783202, 0.0212880795384729, 0.7989048983494975, 0.0190508064476079, 0.2458867507423321, 0.0222935176385392, 0.5050993861392118, 0.0203128682730063, 0.2745253932507364, 0.0188952160888754, 0.3851372438978801, 0.0234198916191561, 0.1623400015639047, 0.0173600906516192, 0.2938831142804725, 0.0200804057612449, 0.1875409726273465, 0.0228732658592497, 0.0074261715894298, 0.0197833236894126, 0.15970257933359, 0.0215174966514863]|355388.9698523172992282|      0.03125000|[567, 0, 7, 42]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
       8|[0.6904164262690115, 0.0266836154896633, 0.6602893006451732, 0.0152782900317486, 0.6220370364544646, 0.0131689026678097, 1.3252940573533059, 0.0246730073094452, 0.0005223870134059, 0.0210265838063092, 1.246107059469091, 0.0235532627077492, 0.2329838598184132, 0.0200569766392722, 1.2258838158376293, 0.0269501157287389, 4.598153473362688, 0.0491426262725495, 4.449284862332029, 0.0444534148038555, 0.0850794168314566, 0.0146969208893834, 0.2453718296579648, 0.0188759271384067, 0.7154633368528167, 0.025359692614437, 0.2037366527164974, 0.0173437108281239, -0.0684130563026662, 0.0131819469903096, 1.3968632141557726, 0.0268337275593357, 0.2451211128410026, 0.0274856537003992, 0.063716695029837, 0.0205245259340519, 0.0270018096647696, 0.0181661532052762, 0.4219991257533856, 0.0168773601661109, 0.2561722254913164, 0.0314123872260835, 0.8400771786759251, 0.0210523927908541, 1.0334521008679862, 0.0234847830615739, 0.8021147008251898, 0.0205116912553992, 0.2528576375527226, 0.0202354362545997, 0.4975156209260488, 0.0165024929804129, 0.2696831944735278, 0.0176341853404191, 0.3887269079619384, 0.0221057844720644, 0.1572234219807024, 0.0158405967786158, 0.2917023917249747, 0.0201713680869154, 0.1910771585702636, 0.0206378251550996, 0.0028989055042513, 0.0210818323986656, 0.1624145724998294, 0.0187737477079581]|313913.4896824019961059|      0.06250000|[648, 0, 8, 48]                                                            |  | used linear model with 81 points | iterate success | actual_k=0
       9|[0.6904164262690115, 0.0266836154896633, 0.6602893006451732, 0.0152782900317486, 0.6220370364544646, 0.0131689026678097, 1.3252940573533059, 0.0246730073094452, 0.0005223870134059, 0.0210265838063092, 1.246107059469091, 0.0235532627077492, 0.2329838598184132, 0.0200569766392722, 1.2258838158376293, 0.0269501157287389, 4.598153473362688, 0.0491426262725495, 4.449284862332029, 0.0444534148038555, 0.0850794168314566, 0.0146969208893834, 0.2453718296579648, 0.0188759271384067, 0.7154633368528167, 0.025359692614437, 0.2037366527164974, 0.0173437108281239, -0.0684130563026662, 0.0131819469903096, 1.3968632141557726, 0.0268337275593357, 0.2451211128410026, 0.0274856537003992, 0.063716695029837, 0.0205245259340519, 0.0270018096647696, 0.0181661532052762, 0.4219991257533856, 0.0168773601661109, 0.2561722254913164, 0.0314123872260835, 0.8400771786759251, 0.0210523927908541, 1.0334521008679862, 0.0234847830615739, 0.8021147008251898, 0.0205116912553992, 0.2528576375527226, 0.0202354362545997, 0.4975156209260488, 0.0165024929804129, 0.2696831944735278, 0.0176341853404191, 0.3887269079619384, 0.0221057844720644, 0.1572234219807024, 0.0158405967786158, 0.2917023917249747, 0.0201713680869154, 0.1910771585702636, 0.0206378251550996, 0.0028989055042513, 0.0210818323986656, 0.1624145724998294, 0.0187737477079581]|313913.4896824019961059|      0.03125000|[729, 0, 9, 54]                                                            |  | used linear model with 81 points | iterate failure | actual_k=0
      10|[0.6941445411169023, 0.0246079762203659, 0.6585180247391862, 0.0214390493292349, 0.6232123779344712, 0.0097937645541315, 1.3254578603512626, 0.0291870531920125, -0.0055497274403706, 0.0252471318585821, 1.242846826638601, 0.0285772905094827, 0.2331694382387469, 0.0267777244267455, 1.2231200877525272, 0.0302433260852158, 4.599565135827153, 0.0584127753726684, 4.449547047296219, 0.058104640531058, 0.0817809164493793, 0.012483925609392, 0.2514690943553266, 0.0127721348953371, 0.718559761699585, 0.0286257115420075, 0.2014596171293779, 0.0121834910487703, -0.071357675505084, 0.0152951577652204, 1.402335493577179, 0.0346112706024185, 0.2452472767027658, 0.0293650885416724, 0.0630906370400712, 0.0206251552877523, 0.0267380285940086, 0.0216166443570285, 0.4237889486008346, 0.0168264998762584, 0.2534420702498217, 0.028509902029331, 0.8413030634485856, 0.0231654269564904, 1.0358189390799648, 0.0222699212429775, 0.8022388378080634, 0.0173535038116601, 0.2530466507049874, 0.0245029595297361, 0.4978919041491731, 0.0154283417271927, 0.272862364665152, 0.0183708846183885, 0.3922432544369786, 0.0234676022312377, 0.1564312369993068, 0.0198596160242456, 0.2919543961436964, 0.0141763103283793, 0.1921682434338732, 0.0176584100975859, -0.000411625326381, 0.0191258926034298, 0.1673667681164547, 0.0165320992955129]|290778.9704842338687740|      0.06250000|[810, 0, 10, 60]                                                           |  | used linear model with 81 points | iterate success | actual_k=0
      11|[0.6941445411169023, 0.0246079762203659, 0.6585180247391862, 0.0214390493292349, 0.6232123779344712, 0.0097937645541315, 1.3254578603512626, 0.0291870531920125, -0.0055497274403706, 0.0252471318585821, 1.242846826638601, 0.0285772905094827, 0.2331694382387469, 0.0267777244267455, 1.2231200877525272, 0.0302433260852158, 4.599565135827153, 0.0584127753726684, 4.449547047296219, 0.058104640531058, 0.0817809164493793, 0.012483925609392, 0.2514690943553266, 0.0127721348953371, 0.718559761699585, 0.0286257115420075, 0.2014596171293779, 0.0121834910487703, -0.071357675505084, 0.0152951577652204, 1.402335493577179, 0.0346112706024185, 0.2452472767027658, 0.0293650885416724, 0.0630906370400712, 0.0206251552877523, 0.0267380285940086, 0.0216166443570285, 0.4237889486008346, 0.0168264998762584, 0.2534420702498217, 0.028509902029331, 0.8413030634485856, 0.0231654269564904, 1.0358189390799648, 0.0222699212429775, 0.8022388378080634, 0.0173535038116601, 0.2530466507049874, 0.0245029595297361, 0.4978919041491731, 0.0154283417271927, 0.272862364665152, 0.0183708846183885, 0.3922432544369786, 0.0234676022312377, 0.1564312369993068, 0.0198596160242456, 0.2919543961436964, 0.0141763103283793, 0.1921682434338732, 0.0176584100975859, -0.000411625326381, 0.0191258926034298, 0.1673667681164547, 0.0165320992955129]|290778.9704842338687740|      0.03125000|[891, 0, 11, 66]                                                           |  | used linear model with 81 points | iterate failure | actual_k=0
