k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]                       |  3.1657058167640839|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.171738511873016, 0.4771082886430013, 0.4901259656639417, 0.8517245396601532, 0.5278346685072448, 2.9759006349044164, 4.996524134172391, 7.1217517076051475, 2.238716234096769, 4.552556208245075, 5.773323314328643]|  1.8337007208911136|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[1.171738511873016, 0.4771082886430013, 0.4901259656639417, 0.8517245396601532, 0.5278346685072448, 2.9759006349044164, 4.996524134172391, 7.1217517076051475, 2.238716234096769, 4.552556208245075, 5.773323314328643]|  1.8337007208911136|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1.171738511873016, 0.4771082886430013, 0.4901259656639417, 0.8517245396601532, 0.5278346685072448, 2.9759006349044164, 4.996524134172391, 7.1217517076051475, 2.238716234096769, 4.552556208245075, 5.773323314328643]|  1.8337007208911136|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.171738511873016, 0.4771082886430013, 0.4901259656639417, 0.8517245396601532, 0.5278346685072448, 2.9759006349044164, 4.996524134172391, 7.1217517076051475, 2.238716234096769, 4.552556208245075, 5.773323314328643]|  1.8337007208911136|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.2048722588823024, 0.4743904633424347, 0.5149615587960549, 0.8506443615560887, 0.4278148544101, 2.9541692962152113, 5.015187967337811, 7.099162039053525, 2.2435245111111497, 4.590214568764451, 5.739772203587054]|  1.3159919025723998|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[1.2048722588823024, 0.4743904633424347, 0.5149615587960549, 0.8506443615560887, 0.4278148544101, 2.9541692962152113, 5.015187967337811, 7.099162039053525, 2.2435245111111497, 4.590214568764451, 5.739772203587054]|  1.3159919025723998|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[1.2048722588823024, 0.4743904633424347, 0.5149615587960549, 0.8506443615560887, 0.4278148544101, 2.9541692962152113, 5.015187967337811, 7.099162039053525, 2.2435245111111497, 4.590214568764451, 5.739772203587054]|  1.3159919025723998|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[1.1965777393533268, 0.4264550278385197, 0.5341427488868098, 0.8458759421646956, 0.4236281320205377, 2.937103017939817, 5.010142273516656, 7.1036963391995975, 2.2608639206837386, 4.612429294328335, 5.739958035088562]|  1.0975714765537219|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.1515778248693544, 0.3915931504014556, 0.5536191237686982, 0.8158027076813551, 0.3763871974922169, 2.9209697807008967, 5.053419773846013, 7.098203308228239, 2.324485575115612, 4.634358667947257, 5.78661865643328]|  0.9096948320546805|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1.1515778248693544, 0.3915931504014556, 0.5536191237686982, 0.8158027076813551, 0.3763871974922169, 2.9209697807008967, 5.053419773846013, 7.098203308228239, 2.324485575115612, 4.634358667947257, 5.78661865643328]|  0.9096948320546805|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
