k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[0.25, 0.39, 0.415, 0.39]                                                       |  0.0053136153581918|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[0.2189273615186199, 0.3901333148093364, 0.4171203633122489, 0.3874426724122361]|  0.0038342906447522|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[0.2189273615186199, 0.3901333148093364, 0.4171203633122489, 0.3874426724122361]|  0.0038342906447522|      0.03125000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.2189273615186199, 0.3901333148093364, 0.4171203633122489, 0.3874426724122361]|  0.0038342906447522|      0.01562500|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[0.2308968897166269, 0.3964851348583631, 0.4151735599723184, 0.37991038467626]  |  0.0034985618799094|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[0.2308968897166269, 0.3964851348583631, 0.4151735599723184, 0.37991038467626]  |  0.0034985618799094|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[0.2179048705775073, 0.4012075527677512, 0.4150494091018034, 0.3726281172176182]|  0.0032470485011720|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[0.2179048705775073, 0.4012075527677512, 0.4150494091018034, 0.3726281172176182]|  0.0032470485011720|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[0.229171476541904, 0.4078786607614058, 0.4130269382566868, 0.3643449931173362] |  0.0030098473256641|      0.03125000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[0.229171476541904, 0.4078786607614058, 0.4130269382566868, 0.3643449931173362] |  0.0030098473256641|      0.01562500|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
