k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]                     |  7.1860500120595514|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[1.0791078941372738, -1.0514419593796658, -1.1553685525713677, -1.1129124347145425, -1.0722866818652654, -1.0810254950916596, -1.3030286441742756, -1.1037694114064378, -0.9828241773531929, -1.2992108066427206]|  0.3990390839900514|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[1.0791078941372738, -1.0514419593796658, -1.1553685525713677, -1.1129124347145425, -1.0722866818652654, -1.0810254950916596, -1.3030286441742756, -1.1037694114064378, -0.9828241773531929, -1.2992108066427206]|  0.3990390839900514|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[1.0791078941372738, -1.0514419593796658, -1.1553685525713677, -1.1129124347145425, -1.0722866818652654, -1.0810254950916596, -1.3030286441742756, -1.1037694114064378, -0.9828241773531929, -1.2992108066427206]|  0.3990390839900514|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[1.0791078941372738, -1.0514419593796658, -1.1553685525713677, -1.1129124347145425, -1.0722866818652654, -1.0810254950916596, -1.3030286441742756, -1.1037694114064378, -0.9828241773531929, -1.2992108066427206]|  0.3990390839900514|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[1.0791078941372738, -1.0514419593796658, -1.1553685525713677, -1.1129124347145425, -1.0722866818652654, -1.0810254950916596, -1.3030286441742756, -1.1037694114064378, -0.9828241773531929, -1.2992108066427206]|  0.3990390839900514|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[1.095848314632461, -1.072866102232178, -1.1704821688672284, -1.1043779930326316, -1.0833236198382112, -1.0864756871574544, -1.2578420519487274, -1.122559315794837, -0.9960107012381688, -1.311271681523679]|  0.1691464077611952|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[1.095848314632461, -1.072866102232178, -1.1704821688672284, -1.1043779930326316, -1.0833236198382112, -1.0864756871574544, -1.2578420519487274, -1.122559315794837, -0.9960107012381688, -1.311271681523679]|  0.1691464077611952|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[1.0991455931267864, -1.0909252267471974, -1.1768979436558957, -1.111927801372754, -1.0770367521846935, -1.0830928708794256, -1.237493804113792, -1.1074050647810922, -1.037496407252392, -1.2787855346904735]|  0.0984927362105352|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[1.0991455931267864, -1.0909252267471974, -1.1768979436558957, -1.111927801372754, -1.0770367521846935, -1.0830928708794256, -1.237493804113792, -1.1074050647810922, -1.037496407252392, -1.2787855346904735]|  0.0984927362105352|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[1.1029287346856678, -1.115084359188451, -1.185742478123458, -1.125143070731652, -1.0904953604508612, -1.0951294229031767, -1.2237033845905978, -1.1511798733422307, -1.0298432825012618, -1.2550281684491094]|  0.0439568477912906|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[1.1029287346856678, -1.115084359188451, -1.185742478123458, -1.125143070731652, -1.0904953604508612, -1.0951294229031767, -1.2237033845905978, -1.1511798733422307, -1.0298432825012618, -1.2550281684491094]|  0.0439568477912906|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[1.0982830675644217, -1.1076269415814302, -1.179145319120901, -1.1567273650183916, -1.130006965880454, -1.1083062942493693, -1.2031656129406145, -1.133630593763153, -1.0368357561171857, -1.2384602573050372]|  0.0276033542606899|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[1.0982830675644217, -1.1076269415814302, -1.179145319120901, -1.1567273650183916, -1.130006965880454, -1.1083062942493693, -1.2031656129406145, -1.133630593763153, -1.0368357561171857, -1.2384602573050372]|  0.0276033542606899|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[1.0982830675644217, -1.1076269415814302, -1.179145319120901, -1.1567273650183916, -1.130006965880454, -1.1083062942493693, -1.2031656129406145, -1.133630593763153, -1.0368357561171857, -1.2384602573050372]|  0.0276033542606899|      0.03125000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[1.1092557529033462, -1.1174372460145385, -1.1787858256722676, -1.1534101879799439, -1.1243439130409838, -1.1014405672252077, -1.2012925575516185, -1.1386482021010471, -1.0620246181454527, -1.2359273086075886]|  0.0120967295302722|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[1.1092557529033462, -1.1174372460145385, -1.1787858256722676, -1.1534101879799439, -1.1243439130409838, -1.1014405672252077, -1.2012925575516185, -1.1386482021010471, -1.0620246181454527, -1.2359273086075886]|  0.0120967295302722|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
