k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      0.50000000|[10, 3, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=1
       2|[-0.12509056956643, 0.1223798235515528, -0.1071369059613668, -0.09047013717814, 0.4338690056917804, 0.0021813153925455, -0.0544776693352111, -0.0855215696504218, 0.0344025912475537]|107892.2265224109723931|      1.00000000|[20, 6, 2, 8]                                                              |  | used linear model with 13 points | iterate success | actual_k=1
       3|[-0.12509056956643, 0.1223798235515528, -0.1071369059613668, -0.09047013717814, 0.4338690056917804, 0.0021813153925455, -0.0544776693352111, -0.0855215696504218, 0.0344025912475537]|107892.2265224109723931|      0.50000000|[30, 9, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=1
       4|[0.236312824174907, 0.0003714506026384, -0.1474004854235373, -0.1258952140073444, 0.6966796446807888, -0.0599135897977398, -0.174144693958742, -0.0537581336197707, 0.1500361943048732]|33957.3968862322653877|      1.00000000|[40, 12, 4, 16]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       5|[0.236312824174907, 0.0003714506026384, -0.1474004854235373, -0.1258952140073444, 0.6966796446807888, -0.0599135897977398, -0.174144693958742, -0.0537581336197707, 0.1500361943048732]|33957.3968862322653877|      0.50000000|[50, 15, 5, 20]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       6|[0.236312824174907, 0.0003714506026384, -0.1474004854235373, -0.1258952140073444, 0.6966796446807888, -0.0599135897977398, -0.174144693958742, -0.0537581336197707, 0.1500361943048732]|33957.3968862322653877|      0.25000000|[60, 18, 6, 24]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       7|[0.3475591824690626, 0.0709599417881659, -0.072502595722348, 0.0377340087410323, 0.7084611665735074, 0.0342428699555998, -0.1910262568276845, -0.0604345856668672, 0.2085467994229504]|10191.8874078240387462|      0.50000000|[70, 21, 7, 28]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
       8|[0.3475591824690626, 0.0709599417881659, -0.072502595722348, 0.0377340087410323, 0.7084611665735074, 0.0342428699555998, -0.1910262568276845, -0.0604345856668672, 0.2085467994229504]|10191.8874078240387462|      0.25000000|[80, 24, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=1
       9|[0.3228634273331948, 0.0741107882475414, -0.0697408982998231, -0.0152824662067383, 0.8922177469497742, 0.0712672697834355, -0.137273912663833, 0.083157022585141, 0.1881343821574872]|3412.9008304656299515|      0.50000000|[90, 27, 9, 36]                                                            |  | used linear model with 13 points | iterate success | actual_k=1
      10|[0.3228634273331948, 0.0741107882475414, -0.0697408982998231, -0.0152824662067383, 0.8922177469497742, 0.0712672697834355, -0.137273912663833, 0.083157022585141, 0.1881343821574872]|3412.9008304656299515|      0.25000000|[100, 30, 10, 40]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      11|[0.3228634273331948, 0.0741107882475414, -0.0697408982998231, -0.0152824662067383, 0.8922177469497742, 0.0712672697834355, -0.137273912663833, 0.083157022585141, 0.1881343821574872]|3412.9008304656299515|      0.12500000|[110, 33, 11, 44]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      12|[0.3228634273331948, 0.0741107882475414, -0.0697408982998231, -0.0152824662067383, 0.8922177469497742, 0.0712672697834355, -0.137273912663833, 0.083157022585141, 0.1881343821574872]|3412.9008304656299515|      0.06250000|[120, 36, 12, 48]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      13|[0.3280488080427795, 0.0711103809603891, -0.078156565168687, -0.0325875618525684, 0.8881704867591751, 0.0142368756932158, -0.1347234938331261, 0.0789608799002686, 0.1737430241927629]|614.2350221445343550|      0.12500000|[130, 39, 13, 52]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
      14|[0.3280488080427795, 0.0711103809603891, -0.078156565168687, -0.0325875618525684, 0.8881704867591751, 0.0142368756932158, -0.1347234938331261, 0.0789608799002686, 0.1737430241927629]|614.2350221445343550|      0.06250000|[140, 42, 14, 56]                                                          |  | used linear model with 13 points | iterate failure | actual_k=1
      15|[0.3149405031323356, 0.0877416534423152, -0.0746730743401668, -0.0170200805144493, 0.932721367022406, 0.020356991986579, -0.1053292251264543, 0.0893454232027755, 0.1882082724231596]|210.3211422776828385|      0.12500000|[150, 45, 15, 60]                                                          |  | used linear model with 13 points | iterate success | actual_k=1
