k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[-3.5000129142048384, 0.9997832393810158, -0.0002583538281255, -0.0008465787225076, 1.6998107616715088, -5.98034107179e-05, -0.0002833773055672, 5.82224153858e-05]|5024.5546903274162105|      0.00195312|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[-3.5000129142048384, 0.9997832393810158, -0.0002583538281255, -0.0008465787225076, 1.6998107616715088, -5.98034107179e-05, -0.0002833773055672, 5.82224153858e-05]|5024.5546903274162105|      0.00097656|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[-3.5000129142048384, 0.9997832393810158, -0.0002583538281255, -0.0008465787225076, 1.6998107616715088, -5.98034107179e-05, -0.0002833773055672, 5.82224153858e-05]|5024.5546903274162105|      0.00048828|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[-3.5002608612964003, 0.9998058365510222, -0.0003373899948356, -0.0004882305363587, 1.6996954568868234, -8.50094943145e-05, -0.0003670941290496, -8.61070759708e-05]|1775.2659081471410900|      0.00097656|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[-3.5002608612964003, 0.9998058365510222, -0.0003373899948356, -0.0004882305363587, 1.6996954568868234, -8.50094943145e-05, -0.0003670941290496, -8.61070759708e-05]|1775.2659081471410900|      0.00048828|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[-3.5002608612964003, 0.9998058365510222, -0.0003373899948356, -0.0004882305363587, 1.6996954568868234, -8.50094943145e-05, -0.0003670941290496, -8.61070759708e-05]|1775.2659081471410900|      0.00024414|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      17|[-3.5002608612964003, 0.9998058365510222, -0.0003373899948356, -0.0004882305363587, 1.6996954568868234, -8.50094943145e-05, -0.0003670941290496, -8.61070759708e-05]|1775.2659081471410900|      0.00012207|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[-3.5002329440909365, 0.9998835404331442, -0.0003355691657642, -0.000523267428587, 1.6996398728118352, -0.0001439022966715, -0.0003808648475133, -9.6374210518e-05]|1274.2090358567393196|      0.00024414|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[-3.5002329440909365, 0.9998835404331442, -0.0003355691657642, -0.000523267428587, 1.6996398728118352, -0.0001439022966715, -0.0003808648475133, -9.6374210518e-05]|1274.2090358567393196|      0.00012207|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
