k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-4.022803990198184, 0.0090492492538168, 3.981658639270355, 0.0699067633522617, -2.044271432935455, -0.0966427557863892]|  3.9320448670436807|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[-4.022803990198184, 0.0090492492538168, 3.981658639270355, 0.0699067633522617, -2.044271432935455, -0.0966427557863892]|  3.9320448670436807|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-4.05833452832616, -0.0498669762901708, 4.063977243565718, 0.0506293542154089, -2.099325301920074, -0.1233365682088325]|  0.9756020614195466|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       7|[-4.05833452832616, -0.0498669762901708, 4.063977243565718, 0.0506293542154089, -2.099325301920074, -0.1233365682088325]|  0.9756020614195466|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-4.05833452832616, -0.0498669762901708, 4.063977243565718, 0.0506293542154089, -2.099325301920074, -0.1233365682088325]|  0.9756020614195466|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-4.05833452832616, -0.0498669762901708, 4.063977243565718, 0.0506293542154089, -2.099325301920074, -0.1233365682088325]|  0.9756020614195466|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-4.056336568676155, -0.0400373302835436, 4.07217644969375, 0.0222930123343784, -2.10136324327809, -0.1220636741385935]|  0.7145467312307007|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[-4.056336568676155, -0.0400373302835436, 4.07217644969375, 0.0222930123343784, -2.10136324327809, -0.1220636741385935]|  0.7145467312307007|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-4.056336568676155, -0.0400373302835436, 4.07217644969375, 0.0222930123343784, -2.10136324327809, -0.1220636741385935]|  0.7145467312307007|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-4.05361444917645, -0.0524762984339658, 4.072948378828063, 0.0291316997597654, -2.101951010907717, -0.1279197624836514]|  0.4766162636756859|      0.03125000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-4.05361444917645, -0.0524762984339658, 4.072948378828063, 0.0291316997597654, -2.101951010907717, -0.1279197624836514]|  0.4766162636756859|      0.01562500|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-4.05361444917645, -0.0524762984339658, 4.072948378828063, 0.0291316997597654, -2.101951010907717, -0.1279197624836514]|  0.4766162636756859|      0.00781250|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-4.053308583496637, -0.0496713143157279, 4.077397922952626, 0.0235359548422211, -2.1031846280852995, -0.1272556457071215]|  0.4324642564189173|      0.01562500|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[-4.053308583496637, -0.0496713143157279, 4.077397922952626, 0.0235359548422211, -2.1031846280852995, -0.1272556457071215]|  0.4324642564189173|      0.00781250|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-4.053308583496637, -0.0496713143157279, 4.077397922952626, 0.0235359548422211, -2.1031846280852995, -0.1272556457071215]|  0.4324642564189173|      0.00390625|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[-4.053428764309497, -0.0531513492117026, 4.07698263906, 0.0225449281735976, -2.1044615989697295, -0.1278459452484045]|  0.4148719141428849|      0.00781250|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[-4.053428764309497, -0.0531513492117026, 4.07698263906, 0.0225449281735976, -2.1044615989697295, -0.1278459452484045]|  0.4148719141428849|      0.00390625|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
