k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[23, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      1.00000000|[45, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.50000000|[67, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.25000000|[89, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[20.005306120918394, 2.0353163710162434, 2.011339690943129, 1.9997930291662094, 0.6985939907293617]|4986.9877929687500000|      0.12500000|[112, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[19.99583286475798, 2.027491528113629, 2.0043953422623506, 2.0050404869190857, 0.5745042270105113]|4065.8715820312500000|      0.25000000|[134, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.50000000|[156, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       8|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.25000000|[179, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[20.035189711998395, 2.204510138912117, 2.093692364447371, 2.1100317565685813, 0.4714589693198106]|3851.4260253906250000|      0.12500000|[202, 72, 0, 18]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6022949218750000|      0.25000000|[225, 80, 0, 20]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      11|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6022949218750000|      0.12500000|[248, 88, 0, 22]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      12|[20.018435377188556, 2.2272088995869472, 2.087986975553107, 2.071801452276066, 0.5869360272151931]|3662.6022949218750000|      0.06250000|[272, 96, 0, 24]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.12500000|[294, 104, 0, 26]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.06250000|[317, 112, 0, 28]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      15|[20.023486497778354, 2.2365199097433446, 2.0950821666522152, 2.073023510929927, 0.5257624536186764]|3489.0979003906250000|      0.03125000|[340, 120, 0, 30]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[20.027195183430386, 2.264599539668791, 2.0982599248138585, 2.078352972832181, 0.5374175479075666]|3422.2890625000000000|      0.06250000|[364, 128, 0, 32]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      17|[20.036281056844654, 2.324835189328475, 2.086510659881237, 2.0858768291518315, 0.536575067047236]|3319.3718261718750000|      0.12500000|[387, 136, 0, 34]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      18|[20.036281056844654, 2.324835189328475, 2.086510659881237, 2.0858768291518315, 0.536575067047236]|3319.3718261718750000|      0.06250000|[410, 144, 0, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
