k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      0.12500000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.02, 4000.0, 250.0]                                                           |1693607809.4361455440521240|      0.06250000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.0820135212228194, 4000.0033615369157, 250.00701949108634]                    |622038313.8950030803680420|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.0820135212228194, 4000.0033615369157, 250.00701949108634]                    |622038313.8950030803680420|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.0820135212228194, 4000.0033615369157, 250.00701949108634]                    |622038313.8950030803680420|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.0687292589809819, 4000.03164535474, 250.00667813204853]                      |121392961.3161605000495911|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.0687292589809819, 4000.03164535474, 250.00667813204853]                      |121392961.3161605000495911|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.061272030199757, 4000.0028900522734, 250.01637786498142]                     |14478626.1333604883402586|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[0.061272030199757, 4000.0028900522734, 250.01637786498142]                     |14478626.1333604883402586|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.061272030199757, 4000.0028900522734, 250.01637786498142]                     |14478626.1333604883402586|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.061272030199757, 4000.0028900522734, 250.01637786498142]                     |14478626.1333604883402586|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.061272030199757, 4000.0028900522734, 250.01637786498142]                     |14478626.1333604883402586|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.0580096965266893, 4000.0008507250873, 250.01570176388248]                    |7481044.1909665260463953|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
