k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]                                                  |  0.7790700756449387|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[1.0448217486411346, 2.0144046043395867, 1.137240353416444, 0.8540423885831244, 1.0268756767765235, 1.139365265701267]|  0.6447192030421616|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       4|[1.0448217486411346, 2.0144046043395867, 1.137240353416444, 0.8540423885831244, 1.0268756767765235, 1.139365265701267]|  0.6447192030421616|      0.25000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[1.0448217486411346, 2.0144046043395867, 1.137240353416444, 0.8540423885831244, 1.0268756767765235, 1.139365265701267]|  0.6447192030421616|      0.12500000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[1.1080811425957555, 1.9953352963230093, 1.077536611966272, 0.8770041195169922, 1.0881526598356213, 1.080944686409294]|  0.4672473225160628|      0.25000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       7|[1.1637707264453843, 1.9322709800198643, 1.061109613205762, 0.7920635855777779, 1.3070970888248925, 1.0805463394782941]|  0.3977462157573089|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       8|[1.1637707264453843, 1.9322709800198643, 1.061109613205762, 0.7920635855777779, 1.3070970888248925, 1.0805463394782941]|  0.3977462157573089|      0.25000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[1.1637707264453843, 1.9322709800198643, 1.061109613205762, 0.7920635855777779, 1.3070970888248925, 1.0805463394782941]|  0.3977462157573089|      0.12500000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[1.154447118560012, 1.9467109980655737, 1.1389187391420068, 0.7328774394837032, 1.2967812970452843, 1.155818383999269]|  0.3501586771697242|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      11|[1.154447118560012, 1.9467109980655737, 1.1389187391420068, 0.7328774394837032, 1.2967812970452843, 1.155818383999269]|  0.3501586771697242|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      12|[1.154447118560012, 1.9467109980655737, 1.1389187391420068, 0.7328774394837032, 1.2967812970452843, 1.155818383999269]|  0.3501586771697242|      0.06250000|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[1.185240746704082, 1.9383679717434015, 1.107313392261566, 0.7497865741632062, 1.3246332111246488, 1.1270459931951415]|  0.3227549570648284|      0.12500000|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
