k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3066979508879548, 0.08722837590104, 0.2470545079339777, -0.0680725421963018, 0.1128784900707192, 0.2861891520238163, 0.142093181671488, -0.1469099866326431, 0.1441095899481403, -0.047779944469448, 0.1825786362675468, 0.1577991850683242, 0.0352482706547686, 0.1296581849995362, 0.2053921283026732, 0.1395188017049132, 0.1570886621139732, 0.0953173475238649, 0.0403084983861596, 0.1626623252097258, 0.0983893949094667, -0.0389426180110261, 0.2251036149647243, 0.0647433342684061, 0.2047560602385042, 0.1201666998298557, 0.13584530742504, 0.0615592040582297, 0.1084258831646828, 0.0757444625311126, 0.1242504964964458, -0.0489466919170698, 0.1579139197521306, 0.1774853039710738, -0.0087096797418326, 0.1275492011504715, 0.0648094859355804, 0.1046053432126669, 0.0600050634317285, 0.0314632703920563, 0.0543182046288704, 0.0380926290678526, -0.0343193379513457, -0.0126906061684855, 0.1326615563192368, 0.2289849284146001, 0.3115909241006463, 0.0030267642105505, 0.1400885114501753, 0.0916160580861536]|1750.6114956497490311|      2.00000000|[49, 16, 1, 5]                                                             |  | used linear model with 65 points | iterate success | actual_k=4
       2|[0.45265542053481, 0.3743486955582859, 0.5457776702801622, 0.1798279893406105, 0.4045794805899971, 0.3269861489957268, 0.3297628319462514, 0.0414871104984603, 0.3217299431880556, 0.3576426508043941, 0.2149874164913598, 0.4657307716183724, 0.3512220022359852, 0.0490955686394239, 0.3336298029147774, 0.2612530117331606, 0.7429920102257631, 0.0539192716864397, 0.0451774615749116, 0.1293017696528901, 0.465231142951083, 0.2419153691574952, 0.5742003422207073, 0.1679679606938901, 0.2882916258079722, 0.4866775271275982, 0.2559868556884843, 0.3661789699048023, 0.4717281537163769, 0.643311198185598, 0.4316591671231718, -0.0076419881538111, 0.3715462752652134, 0.4401808131081624, 0.2063878653911772, 0.2780143979607983, -0.2033969187340895, -0.0219762956891931, 0.4449084883936778, 0.1517708482664892, 0.7221904746036669, 0.2209653682245274, 0.1902350756061134, 0.1239615498162291, 0.6255296512319679, 0.5821844230555016, 0.3047387808969423, 0.5035209205856293, 0.0202616089302408, 0.3206257719720298]|1585.9402462678519896|      4.00000000|[98, 32, 2, 10]                                                            |  | used linear model with 65 points | iterate success | actual_k=4
       3|[0.4775244547482372, 1.528564661780992, 1.1123026216618497, 0.5760197887684557, 0.8653852226317171, -0.1803607062751496, 0.3298497027677114, 0.7590381378774765, 0.3862059125268146, 0.798022503244846, 0.7494913487372461, 1.221572707213869, 0.9237908197486473, 0.5055463556653574, 0.5191015813618723, 0.669086321100556, 1.243393583778579, -0.0534775514856871, -0.1803335511840889, 0.8141096215189504, 1.092810309639359, 0.4046263125001499, 1.423112401288015, 1.037490836061139, 1.0979765248741589, 1.0745482190255449, 0.8155198530959125, 1.7390449832624202, 1.0840159964622758, 0.989205544101337, 0.5777335175264297, 0.1895317558549541, 0.3562196529895129, 1.0093244735772964, 0.3784979008818113, 0.9053279870100472, 0.4322435646492548, 0.4941772363505526, 1.076273449807014, 0.1533787709542357, 1.4279700405019922, 0.3948739633151683, 0.5722969636017208, 0.4819756614063584, 0.7540186666957771, 1.32332652721737, 1.2691306876270096, 1.0839583698651674, 0.2144861236598553, 1.021107446545356]|1289.8469921875448563|      8.00000000|[147, 48, 3, 15]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
       4|[1.7644006697367012, 2.8183119228521596, 3.178607139534799, 0.2934302944264218, 2.1215907820472166, 0.8532880027449152, 1.0687664384370719, 2.4989223367832887, 0.7173975656191286, 0.8705223483331282, 2.174695794816609, 3.1702334877309353, 0.8962083888132818, 1.3302738973115378, -1.3542697977547276, 1.3059602736304647, 0.2545236026711482, -0.2385579807724836, 0.3890109197534101, 2.2309378082836786, 2.0852480708983503, 0.8567663441344245, 1.2990946842257534, -0.7815931320207141, 0.5959307515461116, -0.5692440364293088, 2.040049552244036, 2.8945793389554524, 1.1591849844407887, 3.3497592472293714, 0.9262340440762545, -0.872681052029388, 2.1307970617874377, 2.4332064262897606, 2.821630822771989, 0.4645395357829313, 0.2506249852139272, 0.8311734848563128, 1.9307623939939642, 0.9447541054827542, 2.787798138963085, -0.7805478341015109, 0.6661104942340689, 1.0591447034529218, 0.8844379863976901, 2.41218990595729, 0.8077529086677624, 1.198958043710141, 0.0924987216910181, -0.0919547812440287]|1076.0893326239515773|     16.00000000|[196, 64, 4, 20]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
       5|[1.7644006697367012, 2.8183119228521596, 3.178607139534799, 0.2934302944264218, 2.1215907820472166, 0.8532880027449152, 1.0687664384370719, 2.4989223367832887, 0.7173975656191286, 0.8705223483331282, 2.174695794816609, 3.1702334877309353, 0.8962083888132818, 1.3302738973115378, -1.3542697977547276, 1.3059602736304647, 0.2545236026711482, -0.2385579807724836, 0.3890109197534101, 2.2309378082836786, 2.0852480708983503, 0.8567663441344245, 1.2990946842257534, -0.7815931320207141, 0.5959307515461116, -0.5692440364293088, 2.040049552244036, 2.8945793389554524, 1.1591849844407887, 3.3497592472293714, 0.9262340440762545, -0.872681052029388, 2.1307970617874377, 2.4332064262897606, 2.821630822771989, 0.4645395357829313, 0.2506249852139272, 0.8311734848563128, 1.9307623939939642, 0.9447541054827542, 2.787798138963085, -0.7805478341015109, 0.6661104942340689, 1.0591447034529218, 0.8844379863976901, 2.41218990595729, 0.8077529086677624, 1.198958043710141, 0.0924987216910181, -0.0919547812440287]|1076.0893326239515773|      8.00000000|[245, 80, 5, 25]                                                           |  | used linear model with 65 points | iterate failure | actual_k=4
       6|[0.0876585923601028, 2.3813326783758515, 4.607511126938187, 1.3143266538436291, 2.610622253138918, 0.5069699537554937, 2.89769985104771, 2.8986226775844313, 1.2119784321753813, 2.983680329772191, 3.9442456047380174, 2.678495646806046, 1.1019170097097342, 2.5909130713967623, -0.1606338457550034, 2.211717429062962, 1.3962982554322683, -1.5068591791183714, 1.371999241135416, -0.9160579809939775, 2.0976452149741722, 1.3461800665008004, 2.286723861305313, -0.9734049158274454, 1.5763067968079114, 0.034689979555964, 2.7049134813777873, 3.0877175656224582, 1.9336955937951585, 2.5193643459206507, 1.8547967724919763, -0.8247474102812165, 2.3445029342383563, 2.768861386652076, 4.204102259916965, 0.4704678445944823, 0.378204713032714, -0.0578362140834521, 3.3131932701662556, 1.8651796133966996, 2.953322785430568, 0.4325748022754583, 2.091392692976941, 2.6226661552588966, 2.6253587645992287, 3.285857013023032, 3.4664283631371857, 1.3186259498371493, 0.6243842077170096, -0.6640352920842064]|856.6325994766627900|     16.00000000|[294, 96, 6, 30]                                                           |  | used linear model with 65 points | iterate success | actual_k=4
       7|[0.0876585923601028, 2.3813326783758515, 4.607511126938187, 1.3143266538436291, 2.610622253138918, 0.5069699537554937, 2.89769985104771, 2.8986226775844313, 1.2119784321753813, 2.983680329772191, 3.9442456047380174, 2.678495646806046, 1.1019170097097342, 2.5909130713967623, -0.1606338457550034, 2.211717429062962, 1.3962982554322683, -1.5068591791183714, 1.371999241135416, -0.9160579809939775, 2.0976452149741722, 1.3461800665008004, 2.286723861305313, -0.9734049158274454, 1.5763067968079114, 0.034689979555964, 2.7049134813777873, 3.0877175656224582, 1.9336955937951585, 2.5193643459206507, 1.8547967724919763, -0.8247474102812165, 2.3445029342383563, 2.768861386652076, 4.204102259916965, 0.4704678445944823, 0.378204713032714, -0.0578362140834521, 3.3131932701662556, 1.8651796133966996, 2.953322785430568, 0.4325748022754583, 2.091392692976941, 2.6226661552588966, 2.6253587645992287, 3.285857013023032, 3.4664283631371857, 1.3186259498371493, 0.6243842077170096, -0.6640352920842064]|856.6325994766627900|      8.00000000|[343, 112, 7, 35]                                                          |  | used linear model with 65 points | iterate failure | actual_k=4
       8|[0.0876585923601028, 2.3813326783758515, 4.607511126938187, 1.3143266538436291, 2.610622253138918, 0.5069699537554937, 2.89769985104771, 2.8986226775844313, 1.2119784321753813, 2.983680329772191, 3.9442456047380174, 2.678495646806046, 1.1019170097097342, 2.5909130713967623, -0.1606338457550034, 2.211717429062962, 1.3962982554322683, -1.5068591791183714, 1.371999241135416, -0.9160579809939775, 2.0976452149741722, 1.3461800665008004, 2.286723861305313, -0.9734049158274454, 1.5763067968079114, 0.034689979555964, 2.7049134813777873, 3.0877175656224582, 1.9336955937951585, 2.5193643459206507, 1.8547967724919763, -0.8247474102812165, 2.3445029342383563, 2.768861386652076, 4.204102259916965, 0.4704678445944823, 0.378204713032714, -0.0578362140834521, 3.3131932701662556, 1.8651796133966996, 2.953322785430568, 0.4325748022754583, 2.091392692976941, 2.6226661552588966, 2.6253587645992287, 3.285857013023032, 3.4664283631371857, 1.3186259498371493, 0.6243842077170096, -0.6640352920842064]|856.6325994766627900|      4.00000000|[392, 128, 8, 40]                                                          |  | used linear model with 65 points | iterate failure | actual_k=4
       9|[0.0876585923601028, 2.3813326783758515, 4.607511126938187, 1.3143266538436291, 2.610622253138918, 0.5069699537554937, 2.89769985104771, 2.8986226775844313, 1.2119784321753813, 2.983680329772191, 3.9442456047380174, 2.678495646806046, 1.1019170097097342, 2.5909130713967623, -0.1606338457550034, 2.211717429062962, 1.3962982554322683, -1.5068591791183714, 1.371999241135416, -0.9160579809939775, 2.0976452149741722, 1.3461800665008004, 2.286723861305313, -0.9734049158274454, 1.5763067968079114, 0.034689979555964, 2.7049134813777873, 3.0877175656224582, 1.9336955937951585, 2.5193643459206507, 1.8547967724919763, -0.8247474102812165, 2.3445029342383563, 2.768861386652076, 4.204102259916965, 0.4704678445944823, 0.378204713032714, -0.0578362140834521, 3.3131932701662556, 1.8651796133966996, 2.953322785430568, 0.4325748022754583, 2.091392692976941, 2.6226661552588966, 2.6253587645992287, 3.285857013023032, 3.4664283631371857, 1.3186259498371493, 0.6243842077170096, -0.6640352920842064]|856.6325994766627900|      2.00000000|[441, 144, 9, 45]                                                          |  | used linear model with 65 points | iterate failure | actual_k=4
      10|[0.2410643596217875, 2.266125463114076, 5.001498764253705, 1.370752653136835, 3.1222530160160265, 0.5583986444127127, 3.119199060303939, 2.9675973476617843, 1.2771944178870536, 2.7420379394529215, 3.8347118960259916, 2.511634045779173, 1.206629778276283, 2.6021329068379107, -0.0496078415815007, 2.6101934702431184, 1.4788288955633433, -1.27375639052641, 1.5410115280011594, -0.4804539979278281, 2.156459999720464, 1.7147883034939606, 2.1425570647026095, -0.7989004328376926, 1.2453581017724558, -0.3096804047777832, 2.459150129096537, 3.011040017090564, 2.351855805488239, 3.151217910681175, 2.2177423715989213, -0.6307944642326413, 2.7033910243895725, 2.5806414858605162, 4.181268819536945, 1.0140517537850249, 0.7371619902820428, -0.2049158391593595, 3.454869656045815, 2.4123090907864198, 2.950052089513033, 0.5261063978433379, 1.758723068741339, 2.751644587952415, 3.1242349879291766, 3.506998920430912, 3.3950457533287475, 1.564988185584409, 0.9213101681615551, -0.2444420404293348]|797.0993599373030065|      4.00000000|[490, 160, 10, 50]                                                         |  | used linear model with 65 points | iterate success | actual_k=4
      11|[0.9151130864706332, 3.72789890586229, 5.445167005821981, 0.994027484584209, 2.930587031798745, 0.072129757171127, 2.6890439291486445, 3.017461271501937, 0.9940243987578279, 3.252925578185333, 4.234353194411189, 2.9304964041616595, 1.793491877546825, 2.9972215677071405, -1.350516086030707, 2.1501160049421184, 1.2240630162063506, -1.7051813922605767, 0.8214158127835423, 0.2236659981288038, 3.044441715718307, 2.6463873969056317, 1.2842147395308516, -1.0955459208810463, 1.5619381113019304, 0.5467205255985066, 1.4208647834792043, 3.600214237569793, 2.590627604244202, 3.6635980980896146, 2.5391531298624526, -0.8112497105849785, 3.040462055476342, 2.1541325991328666, 4.587903918461085, 1.780063729224786, 0.9776073528065948, 0.1452135649936756, 3.4683786285102447, 1.9541626015170028, 2.912483650925969, 1.0964064056433138, 1.8482892694564133, 3.064941354758732, 2.9982819302807617, 4.149229357135464, 3.04115087499168, 2.0306001614993674, 1.5735228853662302, -0.2869450212698229]|757.7895444702970735|      8.00000000|[539, 176, 11, 55]                                                         |  | used linear model with 65 points | iterate success | actual_k=4
