k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[25, 8, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=4
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[50, 16, 2, 6]                                                             |  | used linear model with 33 points | iterate failure | actual_k=4
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[75, 24, 3, 9]                                                             |  | used linear model with 33 points | iterate failure | actual_k=4
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[100, 32, 4, 12]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[125, 40, 5, 15]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[150, 48, 6, 18]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[175, 56, 7, 21]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[200, 64, 8, 24]                                                           |  | used linear model with 33 points | iterate failure | actual_k=4
       9|[-0.0023179651579107, -0.0004732785352803, 0.0006319045382002, 0.0008184339131128, 0.0011427103353784, 0.0009227087134274, -0.0009080672276148, -2.88776382244e-05, 0.0010151882313751, 0.0002652790525709, -0.0004377529459538, -0.0011153630043655, -0.0017074841152851, -0.0002320336949215, 1.0003226674446966]|2115.3537676422542972|      0.00781250|[225, 72, 9, 27]                                                           |  | used linear model with 33 points | iterate success | actual_k=4
      10|[-0.0023179651579107, -0.0004732785352803, 0.0006319045382002, 0.0008184339131128, 0.0011427103353784, 0.0009227087134274, -0.0009080672276148, -2.88776382244e-05, 0.0010151882313751, 0.0002652790525709, -0.0004377529459538, -0.0011153630043655, -0.0017074841152851, -0.0002320336949215, 1.0003226674446966]|2115.3537676422542972|      0.00390625|[250, 80, 10, 30]                                                          |  | used linear model with 33 points | iterate failure | actual_k=4
      11|[-0.0023179651579107, -0.0004732785352803, 0.0006319045382002, 0.0008184339131128, 0.0011427103353784, 0.0009227087134274, -0.0009080672276148, -2.88776382244e-05, 0.0010151882313751, 0.0002652790525709, -0.0004377529459538, -0.0011153630043655, -0.0017074841152851, -0.0002320336949215, 1.0003226674446966]|2115.3537676422542972|      0.00195312|[275, 88, 11, 33]                                                          |  | used linear model with 33 points | iterate failure | actual_k=4
