k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[33, 0, 0, 2]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[65, 0, 0, 4]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[97, 0, 0, 6]                                                              |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-3.9959871611432467, -0.008323030688891, 3.9972452923843056, 0.0225928883074738, -1.9982327172222687, -0.0653350641253146]|  6.5760459899902344|      0.25000000|[129, 0, 0, 8]                                                             |  | trying linear partial model with 17 points | iterate success | actual_k=0
       5|[-3.9959871611432467, -0.008323030688891, 3.9972452923843056, 0.0225928883074738, -1.9982327172222687, -0.0653350641253146]|  6.5760459899902344|      0.12500000|[161, 0, 0, 10]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[-3.9959871611432467, -0.008323030688891, 3.9972452923843056, 0.0225928883074738, -1.9982327172222687, -0.0653350641253146]|  6.5760459899902344|      0.06250000|[193, 0, 0, 12]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[-3.995987676569071, -0.0592944676766879, 3.9973921195285276, 0.0542839245558019, -1.9990352967199432, -0.0827469893657978]|  0.7415316700935364|      0.12500000|[225, 0, 0, 14]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
       8|[-3.995987676569071, -0.0592944676766879, 3.9973921195285276, 0.0542839245558019, -1.9990352967199432, -0.0827469893657978]|  0.7415316700935364|      0.06250000|[257, 0, 0, 16]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[-3.995987676569071, -0.0592944676766879, 3.9973921195285276, 0.0542839245558019, -1.9990352967199432, -0.0827469893657978]|  0.7415316700935364|      0.03125000|[289, 0, 0, 18]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[-3.995987676569071, -0.0592944676766879, 3.9973921195285276, 0.0542839245558019, -1.9990352967199432, -0.0827469893657978]|  0.7415316700935364|      0.01562500|[321, 0, 0, 20]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[-3.99589284642405, -0.0525879116660815, 3.9970937655765164, 0.0406799699085628, -1.9989022034873014, -0.0790080820672946]|  0.6408446431159973|      0.03125000|[353, 0, 0, 22]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      12|[-3.99589284642405, -0.0525879116660815, 3.9970937655765164, 0.0406799699085628, -1.9989022034873014, -0.0790080820672946]|  0.6408446431159973|      0.01562500|[385, 0, 0, 24]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[-3.99589284642405, -0.0525879116660815, 3.9970937655765164, 0.0406799699085628, -1.9989022034873014, -0.0790080820672946]|  0.6408446431159973|      0.00781250|[417, 0, 0, 26]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[-3.9961101346203076, -0.0599526214044106, 3.997106912619581, 0.0422498607420301, -1.999027229426901, -0.0810741486200971]|  0.5200158357620239|      0.01562500|[449, 0, 0, 28]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      15|[-3.9964540351031244, -0.0670199826484325, 3.996815691944483, 0.0283269154795645, -1.999131219531307, -0.0807125766364181]|  0.4198769927024841|      0.03125000|[481, 0, 0, 30]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      16|[-3.9964540351031244, -0.0670199826484325, 3.996815691944483, 0.0283269154795645, -1.999131219531307, -0.0807125766364181]|  0.4198769927024841|      0.01562500|[513, 0, 0, 32]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[-3.9964540351031244, -0.0670199826484325, 3.996815691944483, 0.0283269154795645, -1.999131219531307, -0.0807125766364181]|  0.4198769927024841|      0.00781250|[545, 0, 0, 34]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      18|[-3.9964540351031244, -0.0670199826484325, 3.996815691944483, 0.0283269154795645, -1.999131219531307, -0.0807125766364181]|  0.4198769927024841|      0.00390625|[577, 0, 0, 36]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      19|[-3.996590461964847, -0.0707391137707278, 3.996820600035264, 0.0289175885473942, -1.9991971018816739, -0.0817396994248764]|  0.4087224304676056|      0.00781250|[609, 0, 0, 38]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      20|[-3.996590461964847, -0.0707391137707278, 3.996820600035264, 0.0289175885473942, -1.9991971018816739, -0.0817396994248764]|  0.4087224304676056|      0.00390625|[641, 0, 0, 40]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      21|[-3.9965679407478225, -0.0693610387764761, 3.9967835354587433, 0.0253654521844578, -1.9991707962502479, -0.0808797850933701]|  0.4061145484447479|      0.00781250|[673, 0, 0, 42]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      22|[-3.9965679407478225, -0.0693610387764761, 3.9967835354587433, 0.0253654521844578, -1.9991707962502479, -0.0808797850933701]|  0.4061145484447479|      0.00390625|[705, 0, 0, 44]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      23|[-3.9966938949350768, -0.0729548258704555, 3.9967940380878133, 0.0264444471466093, -1.9992346242006511, -0.0819564486840716]|  0.4021393656730652|      0.00781250|[737, 0, 0, 46]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      24|[-3.9966938949350768, -0.0729548258704555, 3.9967940380878133, 0.0264444471466093, -1.9992346242006511, -0.0819564486840716]|  0.4021393656730652|      0.00390625|[769, 0, 0, 48]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      25|[-3.9966938949350768, -0.0729548258704555, 3.9967940380878133, 0.0264444471466093, -1.9992346242006511, -0.0819564486840716]|  0.4021393656730652|      0.00195312|[801, 0, 0, 50]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      26|[-3.9966594668214896, -0.0718283057966223, 3.9967808209375955, 0.0249294175855321, -1.9992147955109147, -0.0814578686474311]|  0.3950168788433075|      0.00390625|[833, 0, 0, 52]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      27|[-3.996771065566844, -0.0746721636455603, 3.9967696484736503, 0.0222840087989289, -1.999273008372807, -0.0818542347762713]|  0.3918941020965576|      0.00781250|[865, 0, 0, 54]                                                            |  | trying linear partial model with 17 points | iterate success | actual_k=0
      28|[-3.996771065566844, -0.0746721636455603, 3.9967696484736503, 0.0222840087989289, -1.999273008372807, -0.0818542347762713]|  0.3918941020965576|      0.00390625|[897, 0, 0, 56]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      29|[-3.996771065566844, -0.0746721636455603, 3.9967696484736503, 0.0222840087989289, -1.999273008372807, -0.0818542347762713]|  0.3918941020965576|      0.00195312|[929, 0, 0, 58]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      30|[-3.996771065566844, -0.0746721636455603, 3.9967696484736503, 0.0222840087989289, -1.999273008372807, -0.0818542347762713]|  0.3918941020965576|      0.00097656|[961, 0, 0, 60]                                                            |  | trying linear partial model with 17 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
