k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[65, 0, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=0
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[130, 0, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       3|[99.96082455027029, 0.0970565069402862, 0.2069741457235145, 0.8935336977836231, 100.02009531511915, 0.0823880734006276, 0.1727121512747132, 0.7549318807868389, 100.00652587441678, 0.0229303612558702, 0.2498747760527579, 0.7958416721997876, 100.02031445244492, 0.2146447489608616, 0.3106536825236883, 0.5956565087113965, 99.98704010120628, 0.2233996827403609, 0.385769273150934, 0.2640946575122932, 99.98743836009868, 0.5907726541729204, 0.6275646439061322, -0.0038431888257487, 300.0180414825248, 300.0050485536251, 299.99766984518226, 300.0089493153847, 300.0516372208197]|455.4362421778380394|      0.50000000|[195, 0, 3, 6]                                                             |  | used linear model with 65 points | iterate success | actual_k=0
       4|[99.96082455027029, 0.0970565069402862, 0.2069741457235145, 0.8935336977836231, 100.02009531511915, 0.0823880734006276, 0.1727121512747132, 0.7549318807868389, 100.00652587441678, 0.0229303612558702, 0.2498747760527579, 0.7958416721997876, 100.02031445244492, 0.2146447489608616, 0.3106536825236883, 0.5956565087113965, 99.98704010120628, 0.2233996827403609, 0.385769273150934, 0.2640946575122932, 99.98743836009868, 0.5907726541729204, 0.6275646439061322, -0.0038431888257487, 300.0180414825248, 300.0050485536251, 299.99766984518226, 300.0089493153847, 300.0516372208197]|455.4362421778380394|      0.25000000|[260, 0, 4, 8]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       5|[99.96082455027029, 0.0970565069402862, 0.2069741457235145, 0.8935336977836231, 100.02009531511915, 0.0823880734006276, 0.1727121512747132, 0.7549318807868389, 100.00652587441678, 0.0229303612558702, 0.2498747760527579, 0.7958416721997876, 100.02031445244492, 0.2146447489608616, 0.3106536825236883, 0.5956565087113965, 99.98704010120628, 0.2233996827403609, 0.385769273150934, 0.2640946575122932, 99.98743836009868, 0.5907726541729204, 0.6275646439061322, -0.0038431888257487, 300.0180414825248, 300.0050485536251, 299.99766984518226, 300.0089493153847, 300.0516372208197]|455.4362421778380394|      0.12500000|[325, 0, 5, 10]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       6|[99.95368206956725, 0.1226987492174806, 0.2353186754647675, 0.911858607394604, 100.0306395380692, 0.0811238209383685, 0.1809313457507762, 0.7460724302924412, 100.00664346841207, 0.0824836144737984, 0.2581288456857411, 0.8087252666161745, 100.00765698822839, 0.1393568186478726, 0.2707073969572598, 0.5769643578037924, 99.9979766162292, 0.2467425147236284, 0.3992798667270736, 0.2901610140045403, 99.97362279796634, 0.5847945710769502, 0.6254935422311395, -0.0056517196378376, 300.02065199276734, 300.00822679127793, 299.9992772186076, 300.00426142383554, 300.0643645729955]|282.1678389457608773|      0.25000000|[390, 0, 6, 12]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       7|[100.00500572241202, 0.2290858163639911, 0.2788686250148441, 0.957695416862842, 99.94657466527083, 0.1976497134700922, 0.2266424544567121, 0.8088737829729543, 99.99584932343238, 0.0693222702707496, 0.2085530638647812, 0.7760435382229462, 100.0434565042933, 0.1050117264023539, 0.2796618538009376, 0.5913237974740058, 99.93852489112865, 0.2341348990424209, 0.3413609934600646, 0.2705410991237223, 99.95790758564796, 0.5919298113593309, 0.6445050212311636, -0.0372992093499053, 300.0231526905832, 300.0005133505164, 299.9573392710948, 300.0142377423715, 300.04732749762604]|133.7778043711195721|      0.50000000|[455, 0, 7, 14]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       8|[100.00500572241202, 0.2290858163639911, 0.2788686250148441, 0.957695416862842, 99.94657466527083, 0.1976497134700922, 0.2266424544567121, 0.8088737829729543, 99.99584932343238, 0.0693222702707496, 0.2085530638647812, 0.7760435382229462, 100.0434565042933, 0.1050117264023539, 0.2796618538009376, 0.5913237974740058, 99.93852489112865, 0.2341348990424209, 0.3413609934600646, 0.2705410991237223, 99.95790758564796, 0.5919298113593309, 0.6445050212311636, -0.0372992093499053, 300.0231526905832, 300.0005133505164, 299.9573392710948, 300.0142377423715, 300.04732749762604]|133.7778043711195721|      0.25000000|[520, 0, 8, 16]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       9|[100.00500572241202, 0.2290858163639911, 0.2788686250148441, 0.957695416862842, 99.94657466527083, 0.1976497134700922, 0.2266424544567121, 0.8088737829729543, 99.99584932343238, 0.0693222702707496, 0.2085530638647812, 0.7760435382229462, 100.0434565042933, 0.1050117264023539, 0.2796618538009376, 0.5913237974740058, 99.93852489112865, 0.2341348990424209, 0.3413609934600646, 0.2705410991237223, 99.95790758564796, 0.5919298113593309, 0.6445050212311636, -0.0372992093499053, 300.0231526905832, 300.0005133505164, 299.9573392710948, 300.0142377423715, 300.04732749762604]|133.7778043711195721|      0.12500000|[585, 0, 9, 18]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
      10|[100.00500572241202, 0.2290858163639911, 0.2788686250148441, 0.957695416862842, 99.94657466527083, 0.1976497134700922, 0.2266424544567121, 0.8088737829729543, 99.99584932343238, 0.0693222702707496, 0.2085530638647812, 0.7760435382229462, 100.0434565042933, 0.1050117264023539, 0.2796618538009376, 0.5913237974740058, 99.93852489112865, 0.2341348990424209, 0.3413609934600646, 0.2705410991237223, 99.95790758564796, 0.5919298113593309, 0.6445050212311636, -0.0372992093499053, 300.0231526905832, 300.0005133505164, 299.9573392710948, 300.0142377423715, 300.04732749762604]|133.7778043711195721|      0.06250000|[650, 0, 10, 20]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
      11|[100.00858672239679, 0.2508259063847058, 0.2863217441489408, 0.9648217943388075, 99.93698810987239, 0.1815837239857466, 0.2141491640415649, 0.8071299959678293, 99.99541887766792, 0.1088923712199141, 0.2310603508900557, 0.7899678158288399, 100.0449702373075, 0.0924505251058372, 0.2685511166760072, 0.5846872596105814, 99.94175707378116, 0.2309386646456574, 0.3360940996436747, 0.2786209830670531, 99.95651189040392, 0.5897687453287563, 0.6393988292654738, -0.0400666099053329, 300.0253934352604, 300.0021997815466, 299.9554332308848, 300.0132196547932, 300.0406388035281]| 97.5604598719006617|      0.12500000|[715, 0, 11, 22]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
      12|[100.00858672239679, 0.2508259063847058, 0.2863217441489408, 0.9648217943388075, 99.93698810987239, 0.1815837239857466, 0.2141491640415649, 0.8071299959678293, 99.99541887766792, 0.1088923712199141, 0.2310603508900557, 0.7899678158288399, 100.0449702373075, 0.0924505251058372, 0.2685511166760072, 0.5846872596105814, 99.94175707378116, 0.2309386646456574, 0.3360940996436747, 0.2786209830670531, 99.95651189040392, 0.5897687453287563, 0.6393988292654738, -0.0400666099053329, 300.0253934352604, 300.0021997815466, 299.9554332308848, 300.0132196547932, 300.0406388035281]| 97.5604598719006617|      0.06250000|[780, 0, 12, 24]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
