k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.50000000|[97, 32, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=16
       2|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.25000000|[194, 64, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       3|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.12500000|[291, 96, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=16
       4|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.06250000|[388, 128, 4, 12]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       5|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.03125000|[485, 160, 5, 15]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       6|[0.6855663739821932, 0.0184075466137456, 0.6645101452758297, 0.0232966959083083, 0.6194751152277153, 0.0223624038555408, 1.3259239495856072, 0.0209858661941251, 0.004957648397512, 0.0240912313143645, 1.2526274539311564, 0.023357477573952, 0.2277081584087366, 0.0180538685256084, 1.228692942596904, 0.0239710011588826, 4.594476152495826, 0.0404405735038257, 4.4514052494173715, 0.039883423418061, 0.0797777780118508, 0.0204672762849398, 0.2445681173084072, 0.022950109364386, 0.715414309588865, 0.0194284928583365, 0.204248742726763, 0.0209638296611183, -0.063457825474597, 0.0193973684058962, 1.4013582458344473, 0.0228895029577082, 0.2416331798971176, 0.0229666843767828, 0.0643037255084611, 0.020830018610301, 0.022345214786027, 0.0209452696123529, 0.4223591550760339, 0.020927834653208, 0.265950521914927, 0.0181211196227807, 0.8378465673181251, 0.0193160515367397, 1.027084989702274, 0.0188693766719833, 0.7979532120918879, 0.0207059227525488, 0.246733998941548, 0.0206497373500527, 0.5037649666263385, 0.0187068376144223, 0.2717140344437948, 0.0195438451190084, 0.3861464273955084, 0.0195497195838051, 0.1668261295203316, 0.0206749307294726, 0.2968850392374793, 0.0198609153295559, 0.1841033999436049, 0.0207036541280024, 0.0064579826632296, 0.0204348657846813, 0.1623707421243723, 0.0213146371491205]|336657.6154891242622398|      0.06250000|[582, 192, 6, 18]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
       7|[0.6855663739821932, 0.0184075466137456, 0.6645101452758297, 0.0232966959083083, 0.6194751152277153, 0.0223624038555408, 1.3259239495856072, 0.0209858661941251, 0.004957648397512, 0.0240912313143645, 1.2526274539311564, 0.023357477573952, 0.2277081584087366, 0.0180538685256084, 1.228692942596904, 0.0239710011588826, 4.594476152495826, 0.0404405735038257, 4.4514052494173715, 0.039883423418061, 0.0797777780118508, 0.0204672762849398, 0.2445681173084072, 0.022950109364386, 0.715414309588865, 0.0194284928583365, 0.204248742726763, 0.0209638296611183, -0.063457825474597, 0.0193973684058962, 1.4013582458344473, 0.0228895029577082, 0.2416331798971176, 0.0229666843767828, 0.0643037255084611, 0.020830018610301, 0.022345214786027, 0.0209452696123529, 0.4223591550760339, 0.020927834653208, 0.265950521914927, 0.0181211196227807, 0.8378465673181251, 0.0193160515367397, 1.027084989702274, 0.0188693766719833, 0.7979532120918879, 0.0207059227525488, 0.246733998941548, 0.0206497373500527, 0.5037649666263385, 0.0187068376144223, 0.2717140344437948, 0.0195438451190084, 0.3861464273955084, 0.0195497195838051, 0.1668261295203316, 0.0206749307294726, 0.2968850392374793, 0.0198609153295559, 0.1841033999436049, 0.0207036541280024, 0.0064579826632296, 0.0204348657846813, 0.1623707421243723, 0.0213146371491205]|336657.6154891242622398|      0.03125000|[679, 224, 7, 21]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
       8|[0.6847636588127384, 0.0212002408014814, 0.6668510364750739, 0.0199949969738139, 0.6174699139997816, 0.0258369654480869, 1.3232821852808245, 0.0267179159590549, 0.0058650559571131, 0.0217726687308325, 1.2492928209307876, 0.0270037595660246, 0.227098123298794, 0.0180288569462708, 1.2283796708489385, 0.0250644533303366, 4.594831981567868, 0.0601645943889436, 4.453754935855548, 0.0563877094193472, 0.0797765169048229, 0.0192476165200533, 0.2442876790363163, 0.023869274851573, 0.7164127452175192, 0.0238602425062649, 0.2053795817084001, 0.0192884009085218, -0.0650604825414529, 0.0187414094653069, 1.4028641864136084, 0.030095682520925, 0.2438889629597991, 0.0226732440780156, 0.0633433157539386, 0.0187635370912308, 0.0210704629621457, 0.0168079166240987, 0.4198966185412493, 0.0235547739040829, 0.2640790232081711, 0.018825991162793, 0.8369938719037566, 0.0236292191853231, 1.0273358813748978, 0.0217779809529362, 0.7963384720396681, 0.022094010587588, 0.2469121883091928, 0.0211131154106008, 0.5010522380636618, 0.0198241332814328, 0.2705217378377097, 0.0207574649143513, 0.3862702909989217, 0.0195781524492802, 0.1700046086375168, 0.0210666889119234, 0.2954585451639975, 0.0211509353360331, 0.1837599984148996, 0.0217138235461708, 0.0046741632541699, 0.0215000506680095, 0.1608498870442072, 0.0208986898480387]|288681.6829739593085833|      0.06250000|[776, 256, 8, 24]                                                          |  | used linear model with 129 points | iterate success | actual_k=16
       9|[0.6847636588127384, 0.0212002408014814, 0.6668510364750739, 0.0199949969738139, 0.6174699139997816, 0.0258369654480869, 1.3232821852808245, 0.0267179159590549, 0.0058650559571131, 0.0217726687308325, 1.2492928209307876, 0.0270037595660246, 0.227098123298794, 0.0180288569462708, 1.2283796708489385, 0.0250644533303366, 4.594831981567868, 0.0601645943889436, 4.453754935855548, 0.0563877094193472, 0.0797765169048229, 0.0192476165200533, 0.2442876790363163, 0.023869274851573, 0.7164127452175192, 0.0238602425062649, 0.2053795817084001, 0.0192884009085218, -0.0650604825414529, 0.0187414094653069, 1.4028641864136084, 0.030095682520925, 0.2438889629597991, 0.0226732440780156, 0.0633433157539386, 0.0187635370912308, 0.0210704629621457, 0.0168079166240987, 0.4198966185412493, 0.0235547739040829, 0.2640790232081711, 0.018825991162793, 0.8369938719037566, 0.0236292191853231, 1.0273358813748978, 0.0217779809529362, 0.7963384720396681, 0.022094010587588, 0.2469121883091928, 0.0211131154106008, 0.5010522380636618, 0.0198241332814328, 0.2705217378377097, 0.0207574649143513, 0.3862702909989217, 0.0195781524492802, 0.1700046086375168, 0.0210666889119234, 0.2954585451639975, 0.0211509353360331, 0.1837599984148996, 0.0217138235461708, 0.0046741632541699, 0.0215000506680095, 0.1608498870442072, 0.0208986898480387]|288681.6829739593085833|      0.03125000|[873, 288, 9, 27]                                                          |  | used linear model with 129 points | iterate failure | actual_k=16
      10|[0.6850204566645387, 0.0262231286226572, 0.664122992990686, 0.0237640846508076, 0.6155773466059984, 0.0238227950934446, 1.3262590495107063, 0.0340593578189118, 0.0068913631134621, 0.0197630962801995, 1.2467983805106757, 0.0279407370686592, 0.224103732384209, 0.0193378394485007, 1.227926644209768, 0.0341142524984844, 4.59215304817259, 0.0742078340523784, 4.454454802944836, 0.0730093400048288, 0.0818857840521407, 0.0207783733808136, 0.2441905162709184, 0.0247401993775747, 0.716012253603319, 0.0275880031011728, 0.2036386419267041, 0.0191381428953068, -0.0608363172084208, 0.019799075449646, 1.4014352322047705, 0.0379063044194579, 0.2434280000324249, 0.0216728532937787, 0.062444790853467, 0.0157713979940839, 0.0197049595351636, 0.015076946000717, 0.4203718348034835, 0.0256182865333215, 0.2616373585517229, 0.0191907534989763, 0.839188292759101, 0.0270545793169609, 1.028224717575817, 0.0297255057331786, 0.7936341735371806, 0.0250688022690653, 0.2467299955677967, 0.0211262205619953, 0.4999940524940923, 0.0228737169469275, 0.2701776729171882, 0.0216391878500687, 0.3876236584513096, 0.0217503042061576, 0.1686316213226792, 0.0237100252398022, 0.2960732868601547, 0.0228582358692572, 0.1833723745634706, 0.0241130202804839, 0.0060387736199978, 0.02129391343794, 0.1619909195155176, 0.0188605960065917]|262857.6134255859651603|      0.06250000|[970, 320, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=16
      11|[0.6850204566645387, 0.0262231286226572, 0.664122992990686, 0.0237640846508076, 0.6155773466059984, 0.0238227950934446, 1.3262590495107063, 0.0340593578189118, 0.0068913631134621, 0.0197630962801995, 1.2467983805106757, 0.0279407370686592, 0.224103732384209, 0.0193378394485007, 1.227926644209768, 0.0341142524984844, 4.59215304817259, 0.0742078340523784, 4.454454802944836, 0.0730093400048288, 0.0818857840521407, 0.0207783733808136, 0.2441905162709184, 0.0247401993775747, 0.716012253603319, 0.0275880031011728, 0.2036386419267041, 0.0191381428953068, -0.0608363172084208, 0.019799075449646, 1.4014352322047705, 0.0379063044194579, 0.2434280000324249, 0.0216728532937787, 0.062444790853467, 0.0157713979940839, 0.0197049595351636, 0.015076946000717, 0.4203718348034835, 0.0256182865333215, 0.2616373585517229, 0.0191907534989763, 0.839188292759101, 0.0270545793169609, 1.028224717575817, 0.0297255057331786, 0.7936341735371806, 0.0250688022690653, 0.2467299955677967, 0.0211262205619953, 0.4999940524940923, 0.0228737169469275, 0.2701776729171882, 0.0216391878500687, 0.3876236584513096, 0.0217503042061576, 0.1686316213226792, 0.0237100252398022, 0.2960732868601547, 0.0228582358692572, 0.1833723745634706, 0.0241130202804839, 0.0060387736199978, 0.02129391343794, 0.1619909195155176, 0.0188605960065917]|262857.6134255859651603|      0.03125000|[1067, 352, 11, 33]                                                        |  | used linear model with 129 points | iterate failure | actual_k=16
