k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[55, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[109, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[120.04398159652251, 0.0227960179374002, 0.8253012676464834, 109.95183389456459, 0.152702249723558, 0.777054616191405, 100.02253290355239, 0.2566367443825544, 0.7621036736921236, 88.04850385139062, 0.3476743198977097, 0.7246024627800141, 86.04040502123173, 0.3953392693755036, 0.6186214301863557, 83.92669883446263, 0.5344979972049562, 0.473294406949633, 79.97896573233136, 0.6859274636756951, 0.3221152846218406, 76.00812676773472, 0.9453527632554699, 0.1804781493963212, 886.378602113169, 910.0677656593965, 922.5449323698709, 926.4989428198588, 935.5488826258801, 952.7926953826715, 975.6863177012744]|931.6558227539062500|      0.50000000|[137, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       4|[120.04398159652251, 0.0227960179374002, 0.8253012676464834, 109.95183389456459, 0.152702249723558, 0.777054616191405, 100.02253290355239, 0.2566367443825544, 0.7621036736921236, 88.04850385139062, 0.3476743198977097, 0.7246024627800141, 86.04040502123173, 0.3953392693755036, 0.6186214301863557, 83.92669883446263, 0.5344979972049562, 0.473294406949633, 79.97896573233136, 0.6859274636756951, 0.3221152846218406, 76.00812676773472, 0.9453527632554699, 0.1804781493963212, 886.378602113169, 910.0677656593965, 922.5449323698709, 926.4989428198588, 935.5488826258801, 952.7926953826715, 975.6863177012744]|931.6558227539062500|      0.25000000|[193, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 44 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[120.04398159652251, 0.0227960179374002, 0.8253012676464834, 109.95183389456459, 0.152702249723558, 0.777054616191405, 100.02253290355239, 0.2566367443825544, 0.7621036736921236, 88.04850385139062, 0.3476743198977097, 0.7246024627800141, 86.04040502123173, 0.3953392693755036, 0.6186214301863557, 83.92669883446263, 0.5344979972049562, 0.473294406949633, 79.97896573233136, 0.6859274636756951, 0.3221152846218406, 76.00812676773472, 0.9453527632554699, 0.1804781493963212, 886.378602113169, 910.0677656593965, 922.5449323698709, 926.4989428198588, 935.5488826258801, 952.7926953826715, 975.6863177012744]|931.6558227539062500|      0.12500000|[247, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[120.031058100075, -0.0342808009715357, 0.8214086867331776, 109.92296788520618, 0.1280580459669214, 0.73938263796446, 100.04074481674934, 0.2029309151947694, 0.7543300521424011, 88.06066683011484, 0.3775910033524817, 0.7169812077874793, 86.05327508227855, 0.4227076263617129, 0.6334817663685777, 83.9131909005874, 0.5136662237598176, 0.4722379202909444, 79.98897992548703, 0.6921914797511877, 0.3273987650345427, 76.02227480775416, 0.965452077104666, 0.1666381700519956, 886.3742253777413, 910.0371646164474, 922.5324008407923, 926.5154906227637, 935.5321674608568, 952.8114898305437, 975.7008989038061]|413.6300964355468750|      0.25000000|[301, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | iterate success | actual_k=1
       7|[120.031058100075, -0.0342808009715357, 0.8214086867331776, 109.92296788520618, 0.1280580459669214, 0.73938263796446, 100.04074481674934, 0.2029309151947694, 0.7543300521424011, 88.06066683011484, 0.3775910033524817, 0.7169812077874793, 86.05327508227855, 0.4227076263617129, 0.6334817663685777, 83.9131909005874, 0.5136662237598176, 0.4722379202909444, 79.98897992548703, 0.6921914797511877, 0.3273987650345427, 76.02227480775416, 0.965452077104666, 0.1666381700519956, 886.3742253777413, 910.0371646164474, 922.5324008407923, 926.5154906227637, 935.5321674608568, 952.8114898305437, 975.7008989038061]|413.6300964355468750|      0.12500000|[356, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[120.031058100075, -0.0342808009715357, 0.8214086867331776, 109.92296788520618, 0.1280580459669214, 0.73938263796446, 100.04074481674934, 0.2029309151947694, 0.7543300521424011, 88.06066683011484, 0.3775910033524817, 0.7169812077874793, 86.05327508227855, 0.4227076263617129, 0.6334817663685777, 83.9131909005874, 0.5136662237598176, 0.4722379202909444, 79.98897992548703, 0.6921914797511877, 0.3273987650345427, 76.02227480775416, 0.965452077104666, 0.1666381700519956, 886.3742253777413, 910.0371646164474, 922.5324008407923, 926.5154906227637, 935.5321674608568, 952.8114898305437, 975.7008989038061]|413.6300964355468750|      0.06250000|[411, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 30 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[120.02511716956194, -0.0087156503099376, 0.8158319118959992, 109.92661146475932, 0.1064206587616656, 0.7297075845967032, 100.02381944716034, 0.2144834555665194, 0.7566440648201944, 88.07638181166699, 0.3892752890773178, 0.7192133511755144, 86.06485159229388, 0.4179027514759278, 0.6169960803163387, 83.8982737643888, 0.510664010257417, 0.477724227312938, 79.9964504901963, 0.6818963868345487, 0.330905801778768, 76.02150383399594, 0.9747332225341698, 0.1724199159174166, 886.3624904135031, 910.0487086363437, 922.5312872897114, 926.5037284212328, 935.5365151945275, 952.8055234911778, 975.6822540094834]|237.5377960205078125|      0.12500000|[440, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      10|[120.02511716956194, -0.0087156503099376, 0.8158319118959992, 109.92661146475932, 0.1064206587616656, 0.7297075845967032, 100.02381944716034, 0.2144834555665194, 0.7566440648201944, 88.07638181166699, 0.3892752890773178, 0.7192133511755144, 86.06485159229388, 0.4179027514759278, 0.6169960803163387, 83.8982737643888, 0.510664010257417, 0.477724227312938, 79.9964504901963, 0.6818963868345487, 0.330905801778768, 76.02150383399594, 0.9747332225341698, 0.1724199159174166, 886.3624904135031, 910.0487086363437, 922.5312872897114, 926.5037284212328, 935.5365151945275, 952.8055234911778, 975.6822540094834]|237.5377960205078125|      0.06250000|[496, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 43 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[120.01952739640569, -0.0325782712688013, 0.8044528130754125, 109.9234281983496, 0.0898527900515577, 0.7391134425528286, 100.0298733455398, 0.2171098820509934, 0.7332639852112343, 88.04329956396822, 0.3845923553673308, 0.7172229727172791, 86.07859164521581, 0.4241352549727559, 0.6074905873447559, 83.89229916408999, 0.513790783009762, 0.4683667718455325, 80.00804827158731, 0.6822347780504445, 0.3300103033696727, 76.02705675432686, 0.9639139785092495, 0.1755760532711196, 886.3561650146011, 910.0437785100168, 922.5283452653446, 926.4990160363282, 935.533184195924, 952.8006023488914, 975.6674991988666]|179.0955963134765625|      0.12500000|[524, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[120.01952739640569, -0.0325782712688013, 0.8044528130754125, 109.9234281983496, 0.0898527900515577, 0.7391134425528286, 100.0298733455398, 0.2171098820509934, 0.7332639852112343, 88.04329956396822, 0.3845923553673308, 0.7172229727172791, 86.07859164521581, 0.4241352549727559, 0.6074905873447559, 83.89229916408999, 0.513790783009762, 0.4683667718455325, 80.00804827158731, 0.6822347780504445, 0.3300103033696727, 76.02705675432686, 0.9639139785092495, 0.1755760532711196, 886.3561650146011, 910.0437785100168, 922.5283452653446, 926.4990160363282, 935.533184195924, 952.8006023488914, 975.6674991988666]|179.0955963134765625|      0.06250000|[578, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 42 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
