k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-0.00440890672258, 0.0028631388490745, -0.0008040037392403, -0.0010903067488663, 0.0006679765759456, 0.0034721224123345, 0.0009332632935625, 3.93315723486e-05, -0.0001081595510931, 0.0020985006423395, 0.0007381364917094, -0.0018053823430356, -0.0006304874600028, 8.89452478093e-05, 0.9969073460006698]|2134.8465370186381733|      0.01562500|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[-0.00440890672258, 0.0028631388490745, -0.0008040037392403, -0.0010903067488663, 0.0006679765759456, 0.0034721224123345, 0.0009332632935625, 3.93315723486e-05, -0.0001081595510931, 0.0020985006423395, 0.0007381364917094, -0.0018053823430356, -0.0006304874600028, 8.89452478093e-05, 0.9969073460006698]|2134.8465370186381733|      0.00781250|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[-0.00440890672258, 0.0028631388490745, -0.0008040037392403, -0.0010903067488663, 0.0006679765759456, 0.0034721224123345, 0.0009332632935625, 3.93315723486e-05, -0.0001081595510931, 0.0020985006423395, 0.0007381364917094, -0.0018053823430356, -0.0006304874600028, 8.89452478093e-05, 0.9969073460006698]|2134.8465370186381733|      0.00390625|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-0.0012711147171288, 0.0027981230429263, -0.0017219285964331, -0.000144249983379, 0.0009629633322562, 0.0023804119802086, 0.000281785920061, -0.0004986986830126, 0.000764296152541, 0.0021944581495294, 0.0003149253206401, -0.0020626324969159, -0.0012932366661556, -0.0003838601368355, 0.9969038623048213]|2123.6258752444628044|      0.00781250|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
