k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 5.0]                                                                      |  4.0997369887712187|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.473318300312039, 5.850062578410437]                                          |  1.8259007930755615|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.473318300312039, 5.850062578410437]                                          |  1.8259007930755615|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.7149492233768037, 6.820430805950307]                                         |  0.9068884849548340|      2.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[0.7149492233768037, 6.820430805950307]                                         |  0.9068884849548340|      1.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[1.2905109623031852, 7.63818913497181]                                          |  0.6951301693916321|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[1.2905109623031852, 7.63818913497181]                                          |  0.6951301693916321|      1.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
       7|[0.7037474427965134, 8.447947476809759]                                         |  0.1746291518211365|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.7037474427965134, 8.447947476809759]                                         |  0.1746291518211365|      1.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.7037474427965134, 8.447947476809759]                                         |  0.1746291518211365|      0.50000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.7037474427965134, 8.447947476809759]                                         |  0.1746291518211365|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
