k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]|1827.7085714285710765|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3165185323767452, 0.0719402850292479, 0.275929785603752, -0.0605771601049204, 0.1147272189278594, 0.2765755826888903, 0.1289519058643624, -0.1334616958483961, 0.1297767166446288, -0.0382273049785704, 0.1798925354309551, 0.1524872283996202, 0.0243710040217152, 0.1343172964459214, 0.2006848640511697, 0.1306467777519977, 0.1401339874153007, 0.1031895074187821, 0.0465398048668324, 0.1615653937573844, 0.0880012440550657, -0.039292425619406, 0.2459284395249146, 0.0739878921432009, 0.2299943070499793, 0.1086706513113448, 0.1309939600211478, 0.0731321379806967, 0.1175509501193931, 0.065217231991396, 0.1181860207585549, -0.0370573922361149, 0.129084528864177, 0.1731935027071087, -0.0092019645021534, 0.1608096261392234, 0.0683725481896133, 0.0936108894550654, 0.068763296583671, 0.0503959592841114, 0.061166705337098, 0.0446148715328259, -0.0340145960074279, -0.0272330625855491, 0.1300033910678946, 0.2025558873821739, 0.3194234578593533, -0.0137009707745335, 0.1320420405905694, 0.0888421776493632]|1750.4231589119674481|      2.00000000|[57, 8, 1, 5]                                                              |  | used linear model with 65 points | iterate success | actual_k=2
       2|[0.4743786365902347, 0.403076907241957, 0.5904934556563516, 0.1779033232935453, 0.3913923868642983, 0.2871026356864516, 0.3319553928913465, 0.0908182724099879, 0.3353217180422139, 0.3908103864422359, 0.226174674660803, 0.4218692362976434, 0.3457599596784312, 0.0802620760456216, 0.2864945488242187, 0.2578814176549451, 0.6844544499486954, 0.051494737663349, 0.0525698072126861, 0.1595575012368373, 0.4449526705658261, 0.2720792120920139, 0.5391122574221807, 0.1807341322164523, 0.2824772182008492, 0.4912890607700977, 0.2054686428323667, 0.4139157251587474, 0.4607247072372149, 0.6564599661177142, 0.4003357518814009, -0.0300571224106575, 0.3547788027954697, 0.449284843060573, 0.2160475333038059, 0.3113030264015838, -0.2378019271978168, 0.007707335289409, 0.4572721066025289, 0.1553219157578679, 0.7248829367254637, 0.2845915741909086, 0.2059455764458584, 0.0846483339201007, 0.6101967920060983, 0.5196624914845864, 0.349595611096236, 0.4833854969816038, 0.0137408212456976, 0.3059438016743829]|1584.9626838020674313|      4.00000000|[114, 16, 2, 10]                                                           |  | used linear model with 65 points | iterate success | actual_k=2
       3|[0.3875591227416564, 1.3415425677934962, 1.2628196781467673, 0.6946944565794996, 0.9727846546596263, -0.0688121307199774, 0.2827292916995057, 0.8163946517381385, 0.2503987794650687, 0.7003921961444686, 0.8823240600996701, 1.0910336171974726, 0.9108848835208183, 0.4380243895959323, 0.5539213810764211, 0.706625736140752, 1.1688017045935384, -0.1375071048837334, -0.0612377383156677, 0.8969887849652675, 1.19113577718174, 0.4539840795498702, 1.208481802368992, 0.9377427788052334, 1.26559801608502, 1.011335721030491, 0.7790910327222124, 1.6927859792115694, 0.9530745722187415, 1.017921094732162, 0.6010619216111963, 0.1430944389155845, 0.2217785523485689, 1.2088877554665927, 0.5976805446338855, 0.8689242804776515, 0.3948507449287588, 0.6058987852460467, 1.032062216487632, 0.1075533732845595, 1.6748662742944183, 0.4358285873761535, 0.6183108097782479, 0.5270703901962839, 0.6220493465824848, 1.3268174300800444, 1.1956184466016566, 0.9126867019204794, 0.1124118617846063, 1.0933172913594456]|1284.0858065572679152|      8.00000000|[171, 24, 3, 15]                                                           |  | used linear model with 65 points | iterate success | actual_k=2
       4|[1.487392236682387, 2.633570220069548, 3.4682865231926225, 0.9617614218408191, 1.3154765532699892, 0.8622670660939917, 0.7474253319309171, 1.2803726157584139, 0.6727378446429959, 1.741221891041863, 1.9661253532442173, 2.876863098968788, 0.5548588139669302, 1.092780970625344, -1.5764934999847653, 1.697941055294022, -0.5964896656937573, 0.2653916653987589, 0.1231459861720226, 1.8259147998335772, 2.5643003859662485, 0.3179195616879312, 0.6625919532970457, -0.3195407337080428, 1.6687183523657536, 0.066701093766003, 1.951710448035262, 2.4408617297770725, 0.9609539321272463, 4.001074493443255, 1.6080823171130463, 0.1523261653739367, 1.305484445547913, 2.7727703241568875, 3.559462523805726, 0.8718798018430063, 0.5689061328143584, 1.4479000274723837, 2.185723781058262, 0.5102509501849787, 2.6308814903418574, -1.1901035973791854, 1.0251458149459038, 1.08346572454182, 0.9414281779514303, 2.517729596196654, 0.1311566843339265, 1.726686908874306, -0.3425962662817629, 0.9318174307054494]|1047.2918197209005484|     16.00000000|[228, 32, 4, 20]                                                           |  | used linear model with 65 points | iterate success | actual_k=2
       5|[1.487392236682387, 2.633570220069548, 3.4682865231926225, 0.9617614218408191, 1.3154765532699892, 0.8622670660939917, 0.7474253319309171, 1.2803726157584139, 0.6727378446429959, 1.741221891041863, 1.9661253532442173, 2.876863098968788, 0.5548588139669302, 1.092780970625344, -1.5764934999847653, 1.697941055294022, -0.5964896656937573, 0.2653916653987589, 0.1231459861720226, 1.8259147998335772, 2.5643003859662485, 0.3179195616879312, 0.6625919532970457, -0.3195407337080428, 1.6687183523657536, 0.066701093766003, 1.951710448035262, 2.4408617297770725, 0.9609539321272463, 4.001074493443255, 1.6080823171130463, 0.1523261653739367, 1.305484445547913, 2.7727703241568875, 3.559462523805726, 0.8718798018430063, 0.5689061328143584, 1.4479000274723837, 2.185723781058262, 0.5102509501849787, 2.6308814903418574, -1.1901035973791854, 1.0251458149459038, 1.08346572454182, 0.9414281779514303, 2.517729596196654, 0.1311566843339265, 1.726686908874306, -0.3425962662817629, 0.9318174307054494]|1047.2918197209005484|      8.00000000|[285, 40, 5, 25]                                                           |  | used linear model with 65 points | iterate failure | actual_k=2
       6|[1.0061761570408503, 3.5544939656088252, 5.20105416783132, 2.1533539159232387, 3.3291103875880994, 1.1196506882444783, 2.2852374260726585, 2.6459524343804386, 1.37300199245486, 3.1098905903612506, 2.2735827431023186, 1.521571067340373, 0.7421037965188628, 2.308007562188403, 0.8786393654241911, 2.8523867597075707, 1.054314049990624, -0.0006263858879865, 1.8660576844939973, 0.5312607713136406, 3.95960420101249, 1.0595106182043945, 2.796005399626339, -0.1194087641614684, 2.466941762168953, -0.1021301092327514, 1.4329931203053219, 2.679643285784329, 2.3564253242613034, 3.5189179134940587, 3.076526792347523, 0.2168462473518049, 0.8370887984563591, 2.478054250050355, 4.355699642325308, 1.6757483460020621, 0.5174989283583602, 1.8166237897358328, 3.0837004005986373, 2.2167298895605425, 2.2002122185784336, -0.2432482474292103, 1.7339108807969197, 2.3985999128033146, 1.1162797490426413, 3.2847724072380062, 2.302861582803911, 1.8027868384303771, 1.300244058673798, 0.4292862477809521]|752.2280253429754566|     16.00000000|[342, 48, 6, 30]                                                           |  | used linear model with 65 points | iterate success | actual_k=2
       7|[1.0061761570408503, 3.5544939656088252, 5.20105416783132, 2.1533539159232387, 3.3291103875880994, 1.1196506882444783, 2.2852374260726585, 2.6459524343804386, 1.37300199245486, 3.1098905903612506, 2.2735827431023186, 1.521571067340373, 0.7421037965188628, 2.308007562188403, 0.8786393654241911, 2.8523867597075707, 1.054314049990624, -0.0006263858879865, 1.8660576844939973, 0.5312607713136406, 3.95960420101249, 1.0595106182043945, 2.796005399626339, -0.1194087641614684, 2.466941762168953, -0.1021301092327514, 1.4329931203053219, 2.679643285784329, 2.3564253242613034, 3.5189179134940587, 3.076526792347523, 0.2168462473518049, 0.8370887984563591, 2.478054250050355, 4.355699642325308, 1.6757483460020621, 0.5174989283583602, 1.8166237897358328, 3.0837004005986373, 2.2167298895605425, 2.2002122185784336, -0.2432482474292103, 1.7339108807969197, 2.3985999128033146, 1.1162797490426413, 3.2847724072380062, 2.302861582803911, 1.8027868384303771, 1.300244058673798, 0.4292862477809521]|752.2280253429754566|      8.00000000|[399, 56, 7, 35]                                                           |  | used linear model with 65 points | iterate failure | actual_k=2
       8|[1.0061761570408503, 3.5544939656088252, 5.20105416783132, 2.1533539159232387, 3.3291103875880994, 1.1196506882444783, 2.2852374260726585, 2.6459524343804386, 1.37300199245486, 3.1098905903612506, 2.2735827431023186, 1.521571067340373, 0.7421037965188628, 2.308007562188403, 0.8786393654241911, 2.8523867597075707, 1.054314049990624, -0.0006263858879865, 1.8660576844939973, 0.5312607713136406, 3.95960420101249, 1.0595106182043945, 2.796005399626339, -0.1194087641614684, 2.466941762168953, -0.1021301092327514, 1.4329931203053219, 2.679643285784329, 2.3564253242613034, 3.5189179134940587, 3.076526792347523, 0.2168462473518049, 0.8370887984563591, 2.478054250050355, 4.355699642325308, 1.6757483460020621, 0.5174989283583602, 1.8166237897358328, 3.0837004005986373, 2.2167298895605425, 2.2002122185784336, -0.2432482474292103, 1.7339108807969197, 2.3985999128033146, 1.1162797490426413, 3.2847724072380062, 2.302861582803911, 1.8027868384303771, 1.300244058673798, 0.4292862477809521]|752.2280253429754566|      4.00000000|[456, 64, 8, 40]                                                           |  | used linear model with 65 points | iterate failure | actual_k=2
       9|[1.0061761570408503, 3.5544939656088252, 5.20105416783132, 2.1533539159232387, 3.3291103875880994, 1.1196506882444783, 2.2852374260726585, 2.6459524343804386, 1.37300199245486, 3.1098905903612506, 2.2735827431023186, 1.521571067340373, 0.7421037965188628, 2.308007562188403, 0.8786393654241911, 2.8523867597075707, 1.054314049990624, -0.0006263858879865, 1.8660576844939973, 0.5312607713136406, 3.95960420101249, 1.0595106182043945, 2.796005399626339, -0.1194087641614684, 2.466941762168953, -0.1021301092327514, 1.4329931203053219, 2.679643285784329, 2.3564253242613034, 3.5189179134940587, 3.076526792347523, 0.2168462473518049, 0.8370887984563591, 2.478054250050355, 4.355699642325308, 1.6757483460020621, 0.5174989283583602, 1.8166237897358328, 3.0837004005986373, 2.2167298895605425, 2.2002122185784336, -0.2432482474292103, 1.7339108807969197, 2.3985999128033146, 1.1162797490426413, 3.2847724072380062, 2.302861582803911, 1.8027868384303771, 1.300244058673798, 0.4292862477809521]|752.2280253429754566|      2.00000000|[513, 72, 9, 45]                                                           |  | used linear model with 65 points | iterate failure | actual_k=2
      10|[1.0861065247446176, 3.0411613593226363, 5.302564230090237, 2.3280645335792904, 3.16228672551583, 1.2143288744419256, 2.509143335824988, 2.767017353988134, 1.3472193044611307, 2.9849265161520666, 1.9720639802529942, 1.7320014358162057, 0.9500218716973003, 2.164729000352299, 0.8764874937187581, 2.8784313510587562, 1.2440250278126819, 0.1287028661134892, 1.8455087797307512, 0.6687220641915781, 3.9200270045317622, 1.5314704691579037, 2.5853882981914187, -0.1953153635535715, 2.2661328074857736, -0.1286005580216323, 1.2601986767614568, 2.8707132687255186, 2.72751515489741, 3.7590427348461932, 3.4172357637546806, 0.1679690772956021, 1.4133991007835376, 2.7690958868925253, 4.1888885374687375, 2.1972438016624602, 0.792722597274648, 1.5747334762488816, 3.0461602612795287, 2.8556465372749553, 2.3361344761606326, -0.047041144534273, 1.4694499944460833, 2.7051301901105544, 1.6522087151893072, 3.717812076979592, 1.7438370025546612, 1.7455265776319795, 1.7398409862982769, 0.8020060125418373]|701.9322456917366253|      4.00000000|[570, 80, 10, 50]                                                          |  | used linear model with 65 points | iterate success | actual_k=2
      11|[0.5391404589271086, 3.763324414714685, 5.509444910206081, 2.2654750767158847, 2.3530644773901, 1.799823060837911, 2.9418476278794863, 4.016131072259445, 1.7507482895249535, 3.5435528981955624, 1.941987406031842, 2.3136327405005193, 2.1043049888366436, 2.244008642330374, 0.0130464124076295, 3.0582069210723164, 0.9390195087155047, -0.0267779353998082, 0.7228521708002364, 0.555049297030736, 3.8315061822427365, 2.278044281078593, 1.9634916900280173, -0.1148127634975566, 3.227263288275803, 0.7845230240236883, 1.2388502553139171, 3.407488405998443, 3.2939902818320403, 4.948333286856565, 3.336533296764759, 0.3527147856926974, 1.8468443864304775, 2.9100785777328393, 4.605659016327311, 2.5173881889860663, 0.8812568504658064, 1.5117229665478822, 3.5162776252505736, 3.005079026314317, 2.030588420074965, 0.2649497075833918, 1.4296294650096755, 2.808231042578191, 1.6150670819569095, 4.70291214481701, 1.6767883445171858, 1.112632236496398, 2.5167637566033556, 1.404779976159701]|640.8352919365232765|      8.00000000|[627, 88, 11, 55]                                                          |  | used linear model with 65 points | iterate success | actual_k=2
      12|[0.5391404589271086, 3.763324414714685, 5.509444910206081, 2.2654750767158847, 2.3530644773901, 1.799823060837911, 2.9418476278794863, 4.016131072259445, 1.7507482895249535, 3.5435528981955624, 1.941987406031842, 2.3136327405005193, 2.1043049888366436, 2.244008642330374, 0.0130464124076295, 3.0582069210723164, 0.9390195087155047, -0.0267779353998082, 0.7228521708002364, 0.555049297030736, 3.8315061822427365, 2.278044281078593, 1.9634916900280173, -0.1148127634975566, 3.227263288275803, 0.7845230240236883, 1.2388502553139171, 3.407488405998443, 3.2939902818320403, 4.948333286856565, 3.336533296764759, 0.3527147856926974, 1.8468443864304775, 2.9100785777328393, 4.605659016327311, 2.5173881889860663, 0.8812568504658064, 1.5117229665478822, 3.5162776252505736, 3.005079026314317, 2.030588420074965, 0.2649497075833918, 1.4296294650096755, 2.808231042578191, 1.6150670819569095, 4.70291214481701, 1.6767883445171858, 1.112632236496398, 2.5167637566033556, 1.404779976159701]|640.8352919365232765|      4.00000000|[684, 96, 12, 60]                                                          |  | used linear model with 65 points | iterate failure | actual_k=2
      13|[0.5391404589271086, 3.763324414714685, 5.509444910206081, 2.2654750767158847, 2.3530644773901, 1.799823060837911, 2.9418476278794863, 4.016131072259445, 1.7507482895249535, 3.5435528981955624, 1.941987406031842, 2.3136327405005193, 2.1043049888366436, 2.244008642330374, 0.0130464124076295, 3.0582069210723164, 0.9390195087155047, -0.0267779353998082, 0.7228521708002364, 0.555049297030736, 3.8315061822427365, 2.278044281078593, 1.9634916900280173, -0.1148127634975566, 3.227263288275803, 0.7845230240236883, 1.2388502553139171, 3.407488405998443, 3.2939902818320403, 4.948333286856565, 3.336533296764759, 0.3527147856926974, 1.8468443864304775, 2.9100785777328393, 4.605659016327311, 2.5173881889860663, 0.8812568504658064, 1.5117229665478822, 3.5162776252505736, 3.005079026314317, 2.030588420074965, 0.2649497075833918, 1.4296294650096755, 2.808231042578191, 1.6150670819569095, 4.70291214481701, 1.6767883445171858, 1.112632236496398, 2.5167637566033556, 1.404779976159701]|640.8352919365232765|      2.00000000|[741, 104, 13, 65]                                                         |  | used linear model with 65 points | iterate failure | actual_k=2
      14|[0.4431073937571156, 3.8097234641263293, 5.741285767075683, 1.9540508408991515, 2.457331582055542, 1.9710323046994223, 3.397781097531916, 4.008016931116516, 1.8306701330753246, 3.57670123675053, 2.235920145397282, 2.2884110275700396, 2.1608109129735107, 2.2059655770611317, 0.3180557937513618, 3.1109178112963862, 1.2201097169889858, 0.2555491647247028, 0.9422985941562932, 0.6623979393375745, 3.9829307410401937, 2.6166194772201496, 2.333130548007552, 0.1974457657033326, 3.9184406574198856, 0.8242721027564246, 1.4573045678352499, 3.8620703376773906, 3.41688305548707, 5.002842870110199, 3.5648036637137013, 0.6180692961413807, 2.2633322653496597, 2.7122618507886505, 4.508476553165299, 2.899430298949295, 0.9897472908608168, 1.9058670504543898, 3.602387144646709, 2.89882577913669, 2.5841286185167167, 0.8080910212401595, 1.0375293256476708, 2.786528581454312, 2.0274963266515744, 4.945885018392085, 1.643480026109463, 1.6622953508851364, 2.466465598366145, 1.6981788896159005]|577.1467731162051678|      4.00000000|[798, 112, 14, 70]                                                         |  | used linear model with 65 points | iterate success | actual_k=2
