k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.01562500|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[0.5, 1.5, -1.0, 0.01, 0.02]                                                    |  0.8790262935446401|      0.00781250|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[0.5005946408854016, 1.4965656942914412, -0.99942708272585, 0.0168250291811735, 0.0185936411408605]|  0.2944572530992625|      0.01562500|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[0.5005946408854016, 1.4965656942914412, -0.99942708272585, 0.0168250291811735, 0.0185936411408605]|  0.2944572530992625|      0.00781250|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[0.5005946408854016, 1.4965656942914412, -0.99942708272585, 0.0168250291811735, 0.0185936411408605]|  0.2944572530992625|      0.00390625|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[0.4997937072674109, 1.4955143848677648, -1.0000816350030817, 0.0148855265398521, 0.021646825334197]|  0.1442939935913127|      0.00781250|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[0.4997937072674109, 1.4955143848677648, -1.0000816350030817, 0.0148855265398521, 0.021646825334197]|  0.1442939935913127|      0.00390625|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[0.4997937072674109, 1.4955143848677648, -1.0000816350030817, 0.0148855265398521, 0.021646825334197]|  0.1442939935913127|      0.00195312|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[0.4997937072674109, 1.4955143848677648, -1.0000816350030817, 0.0148855265398521, 0.021646825334197]|  0.1442939935913127|      0.00097656|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[0.4997961124940354, 1.4952642694584966, -1.0001326140780598, 0.015130645857489, 0.0225570057928827]|  0.1402946553139023|      0.00195312|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[0.4997961124940354, 1.4952642694584966, -1.0001326140780598, 0.015130645857489, 0.0225570057928827]|  0.1402946553139023|      0.00097656|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[0.4997961124940354, 1.4952642694584966, -1.0001326140780598, 0.015130645857489, 0.0225570057928827]|  0.1402946553139023|      0.00048828|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
