k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[-3.50053069239032, 0.9998841209456341, -0.0004469678450523, -0.000575978138299, 1.6998533261801103, -0.0002542416135398, 0.0001756676417505, -0.0001003481432741]|2329.1915460856607751|      0.00195312|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      12|[-3.50053069239032, 0.9998841209456341, -0.0004469678450523, -0.000575978138299, 1.6998533261801103, -0.0002542416135398, 0.0001756676417505, -0.0001003481432741]|2329.1915460856607751|      0.00097656|[180, 24, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      13|[-3.50053069239032, 0.9998841209456341, -0.0004469678450523, -0.000575978138299, 1.6998533261801103, -0.0002542416135398, 0.0001756676417505, -0.0001003481432741]|2329.1915460856607751|      0.00048828|[195, 26, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      14|[-3.50053069239032, 0.9998841209456341, -0.0004469678450523, -0.000575978138299, 1.6998533261801103, -0.0002542416135398, 0.0001756676417505, -0.0001003481432741]|2329.1915460856607751|      0.00024414|[210, 28, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      15|[-3.50053069239032, 0.9998841209456341, -0.0004469678450523, -0.000575978138299, 1.6998533261801103, -0.0002542416135398, 0.0001756676417505, -0.0001003481432741]|2329.1915460856607751|      0.00012207|[225, 30, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      16|[-3.500506886408657, 0.9999034516566596, -0.0004461704616671, -0.0004963069753766, 1.699870482530739, -0.000236131470786, 0.0002529404008485, -6.84227132155e-05]|1447.9124511716031520|      0.00024414|[240, 32, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
      17|[-3.500568377960839, 0.99971101146317, -0.0005050052502707, -0.0004897828099439, 1.6998791314301178, -0.0003309504251908, 0.0003194048480842, -0.0001108862070598]|1287.4193491016601456|      0.00048828|[255, 34, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=2
