k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.2651446916288143, -0.0235240982982834, 0.7936956128467698, 0.4379604478260344, 1.250504677453711, 0.2872992510825148]|499.2555721502166080|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[-0.2651446916288143, -0.0235240982982834, 0.7936956128467698, 0.4379604478260344, 1.250504677453711, 0.2872992510825148]|499.2555721502166080|      1.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.6074580070169064, -0.2390080262496511, 0.5197113463137564, 0.5029958203596094, 1.3145526651175135, -0.0424462331911269]|426.8832484373049283|      2.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[0.6074580070169064, -0.2390080262496511, 0.5197113463137564, 0.5029958203596094, 1.3145526651175135, -0.0424462331911269]|426.8832484373049283|      1.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.6074580070169064, -0.2390080262496511, 0.5197113463137564, 0.5029958203596094, 1.3145526651175135, -0.0424462331911269]|426.8832484373049283|      0.50000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.5607404023420367, -0.4963810532547686, 0.9068531583782428, 0.6717829131959451, 1.3473987333138242, -0.0885966484762906]|358.4640951702706388|      1.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[0.9630650296299241, -0.8925958578342885, 1.484616453194497, 0.9226902206709615, 1.8806395176698263, -0.094768117326951]|228.0938932203155218|      2.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       8|[0.9630650296299241, -0.8925958578342885, 1.484616453194497, 0.9226902206709615, 1.8806395176698263, -0.094768117326951]|228.0938932203155218|      1.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[0.9630650296299241, -0.8925958578342885, 1.484616453194497, 0.9226902206709615, 1.8806395176698263, -0.094768117326951]|228.0938932203155218|      0.50000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
      10|[1.020927845589263, -0.6848578081973258, 1.1324042004434505, 0.8406527373225738, 1.664094525870633, 0.0659224055014649]|202.3505291220593278|      1.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      11|[1.020927845589263, -0.6848578081973258, 1.1324042004434505, 0.8406527373225738, 1.664094525870633, 0.0659224055014649]|202.3505291220593278|      0.50000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
