k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[37, 12, 0, 3]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       3|[119.97549564243086, 0.0263982234333262, 0.8304027855767292, 109.96383132773347, 0.1888825040667422, 0.7645971233079364, 99.99948875598898, 0.2068404747997664, 0.6602532331401307, 87.95205576186568, 0.3332104987214992, 0.7195069430990407, 86.04811889008354, 0.3414879193272586, 0.6329880207699117, 83.99322765536552, 0.502909591088618, 0.4957243333681214, 79.90372384911508, 0.5801257609667795, 0.385564787193811, 75.9540809352714, 0.8773306140267548, 0.1129762326196708, 886.4116486806633, 910.045813867234, 922.5383804375012, 926.4185159081704, 935.5105380509078, 952.8359309470989, 975.7787153923434]|2166.3515625000000000|      0.50000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       4|[119.97549564243086, 0.0263982234333262, 0.8304027855767292, 109.96383132773347, 0.1888825040667422, 0.7645971233079364, 99.99948875598898, 0.2068404747997664, 0.6602532331401307, 87.95205576186568, 0.3332104987214992, 0.7195069430990407, 86.04811889008354, 0.3414879193272586, 0.6329880207699117, 83.99322765536552, 0.502909591088618, 0.4957243333681214, 79.90372384911508, 0.5801257609667795, 0.385564787193811, 75.9540809352714, 0.8773306140267548, 0.1129762326196708, 886.4116486806633, 910.045813867234, 922.5383804375012, 926.4185159081704, 935.5105380509078, 952.8359309470989, 975.7787153923434]|2166.3515625000000000|      0.25000000|[133, 44, 1, 12]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[119.97549564243086, 0.0263982234333262, 0.8304027855767292, 109.96383132773347, 0.1888825040667422, 0.7645971233079364, 99.99948875598898, 0.2068404747997664, 0.6602532331401307, 87.95205576186568, 0.3332104987214992, 0.7195069430990407, 86.04811889008354, 0.3414879193272586, 0.6329880207699117, 83.99322765536552, 0.502909591088618, 0.4957243333681214, 79.90372384911508, 0.5801257609667795, 0.385564787193811, 75.9540809352714, 0.8773306140267548, 0.1129762326196708, 886.4116486806633, 910.045813867234, 922.5383804375012, 926.4185159081704, 935.5105380509078, 952.8359309470989, 975.7787153923434]|2166.3515625000000000|      0.12500000|[171, 56, 3, 17]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[119.99269399968676, 0.0121642690444236, 0.7959519856473948, 109.95369418792943, 0.1631104428812639, 0.7607655761532981, 99.99951169812286, 0.2400968126702911, 0.6632657827014321, 87.9348396076313, 0.3094187315869836, 0.6953660521400029, 86.02696044547316, 0.3441957094589053, 0.6632929772956889, 84.03689226667905, 0.4914616934535107, 0.4883941492719018, 79.8764657056165, 0.6297832272798456, 0.3437078870895627, 75.94273310190906, 0.8792462850943478, 0.0974139169210983, 886.4241319247884, 910.042691253795, 922.563255607169, 926.4358735592612, 935.5120597676547, 952.8568838372428, 975.7622668063015]|1220.9001464843750000|      0.25000000|[196, 64, 3, 19]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[119.99269399968676, 0.0121642690444236, 0.7959519856473948, 109.95369418792943, 0.1631104428812639, 0.7607655761532981, 99.99951169812286, 0.2400968126702911, 0.6632657827014321, 87.9348396076313, 0.3094187315869836, 0.6953660521400029, 86.02696044547316, 0.3441957094589053, 0.6632929772956889, 84.03689226667905, 0.4914616934535107, 0.4883941492719018, 79.8764657056165, 0.6297832272798456, 0.3437078870895627, 75.94273310190906, 0.8792462850943478, 0.0974139169210983, 886.4241319247884, 910.042691253795, 922.563255607169, 926.4358735592612, 935.5120597676547, 952.8568838372428, 975.7622668063015]|1220.9001464843750000|      0.12500000|[232, 76, 3, 22]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[120.00876557555593, -0.0318258291944453, 0.7889882546134837, 109.93890304380389, 0.1346824308390392, 0.7422300629339977, 99.98710088974276, 0.2350848304916481, 0.6959982473317641, 87.94101364864261, 0.3029578120592405, 0.7150365458314855, 86.01156675400418, 0.3504042120487006, 0.6582232562537479, 84.027072732888, 0.4600540120883287, 0.5081440567036126, 79.87277778066179, 0.5946739063151201, 0.2975357057155217, 75.96838799355004, 0.8812610683478113, 0.125698563370176, 886.4038394749059, 910.0021992996698, 922.575739236952, 926.444519795608, 935.5089150986482, 952.8622021555358, 975.7991524805466]|1026.5025634765625000|      0.25000000|[256, 84, 3, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       9|[120.00876557555593, -0.0318258291944453, 0.7889882546134837, 109.93890304380389, 0.1346824308390392, 0.7422300629339977, 99.98710088974276, 0.2350848304916481, 0.6959982473317641, 87.94101364864261, 0.3029578120592405, 0.7150365458314855, 86.01156675400418, 0.3504042120487006, 0.6582232562537479, 84.027072732888, 0.4600540120883287, 0.5081440567036126, 79.87277778066179, 0.5946739063151201, 0.2975357057155217, 75.96838799355004, 0.8812610683478113, 0.125698563370176, 886.4038394749059, 910.0021992996698, 922.575739236952, 926.444519795608, 935.5089150986482, 952.8622021555358, 975.7991524805466]|1026.5025634765625000|      0.12500000|[292, 96, 4, 28]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[120.00876557555593, -0.0318258291944453, 0.7889882546134837, 109.93890304380389, 0.1346824308390392, 0.7422300629339977, 99.98710088974276, 0.2350848304916481, 0.6959982473317641, 87.94101364864261, 0.3029578120592405, 0.7150365458314855, 86.01156675400418, 0.3504042120487006, 0.6582232562537479, 84.027072732888, 0.4600540120883287, 0.5081440567036126, 79.87277778066179, 0.5946739063151201, 0.2975357057155217, 75.96838799355004, 0.8812610683478113, 0.125698563370176, 886.4038394749059, 910.0021992996698, 922.575739236952, 926.444519795608, 935.5089150986482, 952.8622021555358, 975.7991524805466]|1026.5025634765625000|      0.06250000|[329, 108, 4, 31]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
