k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5868309630594876, 10.306599859509044, 1.7494170714253237]                    |  0.8700838685035706|      2.00000000|[10, 3, 0, 3]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       2|[0.5868309630594876, 10.306599859509044, 1.7494170714253237]                    |  0.8700838685035706|      1.00000000|[19, 6, 0, 6]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.6963091435817398, 11.240784534586398, 1.4098386256426803]                    |  0.1768562495708466|      2.00000000|[28, 9, 0, 9]                                                              |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       4|[0.6963091435817398, 11.240784534586398, 1.4098386256426803]                    |  0.1768562495708466|      1.00000000|[37, 12, 0, 12]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.6963091435817398, 11.240784534586398, 1.4098386256426803]                    |  0.1768562495708466|      0.50000000|[46, 15, 0, 15]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.027981864359735, 11.217115247752021, 1.0364313799278284]                     |  0.0053463089279830|      1.00000000|[55, 18, 0, 18]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | iterate success | actual_k=1
       7|[1.027981864359735, 11.217115247752021, 1.0364313799278284]                     |  0.0053463089279830|      0.50000000|[64, 21, 1, 22]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.027981864359735, 11.217115247752021, 1.0364313799278284]                     |  0.0053463089279830|      0.25000000|[74, 24, 1, 25]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.027981864359735, 11.217115247752021, 1.0364313799278284]                     |  0.0053463089279830|      0.12500000|[83, 27, 1, 28]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.027981864359735, 11.217115247752021, 1.0364313799278284]                     |  0.0053463089279830|      0.06250000|[92, 30, 1, 31]                                                            |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
