k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.7, 90.0, 1500.0, 10.0]                                                       |29053.0023566288800794|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.1289855315215007, 90.09200983256535, 1499.9268729467706, 10.812483293111615] |22775.7096256432632799|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[2.1289855315215007, 90.09200983256535, 1499.9268729467706, 10.812483293111615] |22775.7096256432632799|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[1.7002618267771286, 89.69247178373826, 1500.2464783822118, 11.557075596433435] |21006.4504770884814207|      2.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[1.2319632183581757, 90.24634724418233, 1500.0941486121567, 13.414685358688601] |18574.9076786273617472|      4.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[1.2319632183581757, 90.24634724418233, 1500.0941486121567, 13.414685358688601] |18574.9076786273617472|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[2.507055331842907, 89.9815231873015, 1501.499200363238, 13.989000514164639]    |9466.3714512463866413|      4.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[2.507055331842907, 89.9815231873015, 1501.499200363238, 13.989000514164639]    |9466.3714512463866413|      2.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[2.507055331842907, 89.9815231873015, 1501.499200363238, 13.989000514164639]    |9466.3714512463866413|      1.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[2.507055331842907, 89.9815231873015, 1501.499200363238, 13.989000514164639]    |9466.3714512463866413|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[2.507055331842907, 89.9815231873015, 1501.499200363238, 13.989000514164639]    |9466.3714512463866413|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[2.447887892657769, 89.94304249579271, 1501.5451597808972, 14.22438569307298]   |8861.4713672692487307|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[2.4749965512461727, 89.92343657281751, 1501.8375160317657, 14.628623928513319] |7775.9608653736195265|      1.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[2.7629824439358814, 89.80996531542783, 1502.0548284752247, 15.554347268003044] |5656.7677243864927732|      2.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[2.7629824439358814, 89.80996531542783, 1502.0548284752247, 15.554347268003044] |5656.7677243864927732|      1.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
