k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[29, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      1.00000000|[57, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.50000000|[85, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.25000000|[113, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.12500000|[142, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[19.980441749422177, 2.0235619875868416, 2.0026020946217185, 2.0075396176606195, 0.574274962573247]|4081.8427734375000000|      0.25000000|[170, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.50000000|[198, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.25000000|[226, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.12500000|[254, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.06250000|[283, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[20.018035795250835, 2.2320182928234287, 2.0976956559049085, 2.1087214740585907, 0.5405773208650535]|3480.8254394531250000|      0.12500000|[311, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      12|[20.018035795250835, 2.2320182928234287, 2.0976956559049085, 2.1087214740585907, 0.5405773208650535]|3480.8254394531250000|      0.06250000|[339, 24, 0, 24]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[20.027762213380875, 2.2904972047411984, 2.1100422996889057, 2.118101475166962, 0.528271240345595]|3353.6699218750000000|      0.12500000|[367, 26, 0, 26]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      14|[20.049829348410746, 2.408522980869826, 2.0999396035338873, 2.1214535977891975, 0.495185646424169]|3177.9240722656250000|      0.25000000|[395, 28, 0, 28]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      15|[20.049829348410746, 2.408522980869826, 2.0999396035338873, 2.1214535977891975, 0.495185646424169]|3177.9240722656250000|      0.12500000|[423, 30, 0, 30]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      16|[20.049829348410746, 2.408522980869826, 2.0999396035338873, 2.1214535977891975, 0.495185646424169]|3177.9240722656250000|      0.06250000|[452, 32, 0, 32]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      17|[20.049829348410746, 2.408522980869826, 2.0999396035338873, 2.1214535977891975, 0.495185646424169]|3177.9240722656250000|      0.03125000|[480, 34, 0, 34]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      18|[20.052226446114087, 2.4257076212087236, 2.1038601434468798, 2.121988981281062, 0.5208731393016499]|3131.4389648437500000|      0.06250000|[508, 36, 0, 36]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      19|[20.052226446114087, 2.4257076212087236, 2.1038601434468798, 2.121988981281062, 0.5208731393016499]|3131.4389648437500000|      0.03125000|[537, 38, 0, 38]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      20|[20.05816211643206, 2.4420796447599322, 2.1039041886626753, 2.126532826106323, 0.4953263450421367]|3112.5703125000000000|      0.06250000|[566, 40, 0, 40]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      21|[20.05816211643206, 2.4420796447599322, 2.1039041886626753, 2.126532826106323, 0.4953263450421367]|3112.5703125000000000|      0.03125000|[594, 42, 0, 42]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      22|[20.061311315113603, 2.4622492997347374, 2.10731606250844, 2.132377761156545, 0.5179984847069494]|3076.9357910156250000|      0.06250000|[623, 44, 0, 44]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      23|[20.061311315113603, 2.4622492997347374, 2.10731606250844, 2.132377761156545, 0.5179984847069494]|3076.9357910156250000|      0.03125000|[651, 46, 0, 46]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      24|[20.068117582011325, 2.479955005772452, 2.112250440212053, 2.1383791416176066, 0.4944107643028346]|3044.3366699218750000|      0.06250000|[679, 48, 0, 48]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
      25|[20.091862164289477, 2.5308229980221904, 2.103531901941194, 2.1365944617502897, 0.5204048825819262]|3019.2814941406250000|      0.12500000|[707, 50, 0, 50]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
