k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.50000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.25000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.12500000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       4|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.06250000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=0
       5|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.03125000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=0
       6|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.01562500|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       7|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00781250|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]     |2150.1261246091939938|      0.00390625|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[-0.0028029447829423, -0.0004828569313126, -0.0002859762068067, 0.0006731066117017, -0.0008098755187994, 0.0016402093172726, 0.0002696919076941, 0.0010956142030416, -0.0001591633495322, 0.0002768981746467, -0.0003296171072023, 0.0005491342419963, 0.0003716837470765, -0.0010798761300409, 0.9995544531079001]|2114.9909852852661061|      0.00781250|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[-0.0028029447829423, -0.0004828569313126, -0.0002859762068067, 0.0006731066117017, -0.0008098755187994, 0.0016402093172726, 0.0002696919076941, 0.0010956142030416, -0.0001591633495322, 0.0002768981746467, -0.0003296171072023, 0.0005491342419963, 0.0003716837470765, -0.0010798761300409, 0.9995544531079001]|2114.9909852852661061|      0.00390625|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[-0.0028029447829423, -0.0004828569313126, -0.0002859762068067, 0.0006731066117017, -0.0008098755187994, 0.0016402093172726, 0.0002696919076941, 0.0010956142030416, -0.0001591633495322, 0.0002768981746467, -0.0003296171072023, 0.0005491342419963, 0.0003716837470765, -0.0010798761300409, 0.9995544531079001]|2114.9909852852661061|      0.00195312|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[-0.0028029447829423, -0.0004828569313126, -0.0002859762068067, 0.0006731066117017, -0.0008098755187994, 0.0016402093172726, 0.0002696919076941, 0.0010956142030416, -0.0001591633495322, 0.0002768981746467, -0.0003296171072023, 0.0005491342419963, 0.0003716837470765, -0.0010798761300409, 0.9995544531079001]|2114.9909852852661061|      0.00097656|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      13|[-0.0028029447829423, -0.0004828569313126, -0.0002859762068067, 0.0006731066117017, -0.0008098755187994, 0.0016402093172726, 0.0002696919076941, 0.0010956142030416, -0.0001591633495322, 0.0002768981746467, -0.0003296171072023, 0.0005491342419963, 0.0003716837470765, -0.0010798761300409, 0.9995544531079001]|2114.9909852852661061|      0.00048828|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-0.0025193415200538, -0.0004011424535125, -0.0002715759401787, 0.0006152216606078, -0.0009009488403087, 0.0017779846801834, 0.0002286599354205, 0.0010708475379674, -0.0002403170817604, 0.0003527536441006, -0.0001747641869701, 0.0007216922685236, 0.0004803908892444, -0.0012435643877687, 0.9994383828796225]|2114.7050782035144039|      0.00097656|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      15|[-0.0025193415200538, -0.0004011424535125, -0.0002715759401787, 0.0006152216606078, -0.0009009488403087, 0.0017779846801834, 0.0002286599354205, 0.0010708475379674, -0.0002403170817604, 0.0003527536441006, -0.0001747641869701, 0.0007216922685236, 0.0004803908892444, -0.0012435643877687, 0.9994383828796225]|2114.7050782035144039|      0.00048828|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      16|[-0.0025193415200538, -0.0004011424535125, -0.0002715759401787, 0.0006152216606078, -0.0009009488403087, 0.0017779846801834, 0.0002286599354205, 0.0010708475379674, -0.0002403170817604, 0.0003527536441006, -0.0001747641869701, 0.0007216922685236, 0.0004803908892444, -0.0012435643877687, 0.9994383828796225]|2114.7050782035144039|      0.00024414|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      17|[-0.002469810653987, -0.0005733999638467, -0.0002828985504127, 0.0006630677822245, -0.000845017815641, 0.0018318030190615, 0.0002664163594272, 0.001125111826808, -0.0002008249123014, 0.0003565874280132, -0.000131170935416, 0.0007352900219678, 0.0004293230927807, -0.0012913424629956, 0.9995165884900772]|2114.5856664927800921|      0.00048828|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
