k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |2648.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.5515268833108125, 2.3127868551725053, 2.77090309814478, 2.06075272411617]    |1416.2328254245126118|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[2.5515268833108125, 2.3127868551725053, 2.77090309814478, 2.06075272411617]    |1416.2328254245126118|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[2.5515268833108125, 2.3127868551725053, 2.77090309814478, 2.06075272411617]    |1416.2328254245126118|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[2.35269846295257, 2.0800244290752135, 2.38894606624541, 1.9587834246296463]    |304.3357266953731255|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[2.35269846295257, 2.0800244290752135, 2.38894606624541, 1.9587834246296463]    |304.3357266953731255|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[2.35269846295257, 2.0800244290752135, 2.38894606624541, 1.9587834246296463]    |304.3357266953731255|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[2.487342429944996, 2.1766065123927265, 2.560376870974941, 2.0339790529891255]  |108.6917010811031190|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       8|[2.487342429944996, 2.1766065123927265, 2.560376870974941, 2.0339790529891255]  |108.6917010811031190|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[2.487342429944996, 2.1766065123927265, 2.560376870974941, 2.0339790529891255]  |108.6917010811031190|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[2.4321523067824473, 2.10977739680941, 2.4774412918110293, 1.9988420450857616]  | 47.0313571047224883|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      11|[2.4321523067824473, 2.10977739680941, 2.4774412918110293, 1.9988420450857616]  | 47.0313571047224883|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[2.4321523067824473, 2.10977739680941, 2.4774412918110293, 1.9988420450857616]  | 47.0313571047224883|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[2.4675590869506245, 2.1378284930155176, 2.519702339206624, 2.0077723190337107] | 34.6650694452750301|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[2.4675590869506245, 2.1378284930155176, 2.519702339206624, 2.0077723190337107] | 34.6650694452750301|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
