k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[25, 8, 0, 2]                                                              |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[20.031779847073146, 1.9502200806673609, 1.9701391783606792, 1.9181100427541027, 0.6887886733390343]|4969.8911132812500000|      1.00000000|[49, 16, 0, 4]                                                             |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[20.031779847073146, 1.9502200806673609, 1.9701391783606792, 1.9181100427541027, 0.6887886733390343]|4969.8911132812500000|      0.50000000|[73, 24, 0, 6]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[20.031779847073146, 1.9502200806673609, 1.9701391783606792, 1.9181100427541027, 0.6887886733390343]|4969.8911132812500000|      0.25000000|[97, 32, 0, 8]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[20.031779847073146, 1.9502200806673609, 1.9701391783606792, 1.9181100427541027, 0.6887886733390343]|4969.8911132812500000|      0.12500000|[121, 40, 0, 10]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[20.042330866494634, 1.9814125990057858, 1.9665090583420153, 1.9156487382861893, 0.5682836236612686]|4227.3232421875000000|      0.25000000|[145, 48, 0, 12]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       7|[20.042330866494634, 1.9814125990057858, 1.9665090583420153, 1.9156487382861893, 0.5682836236612686]|4227.3232421875000000|      0.12500000|[169, 56, 0, 14]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       8|[20.042330866494634, 1.9814125990057858, 1.9665090583420153, 1.9156487382861893, 0.5682836236612686]|4227.3232421875000000|      0.06250000|[193, 64, 0, 16]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       9|[20.067814529801787, 2.037451019068737, 1.9718660824418959, 1.9206792166840243, 0.5761908963376101]|4061.6577601771800801|      0.12500000|[217, 72, 1, 19]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
      10|[20.067814529801787, 2.037451019068737, 1.9718660824418959, 1.9206792166840243, 0.5761908963376101]|4061.6577601771800801|      0.06250000|[242, 80, 2, 22]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      11|[20.091865464948153, 2.089460443982784, 1.9914457917290183, 1.9360135131655327, 0.5782685330585775]|3919.5527343750000000|      0.12500000|[267, 88, 2, 24]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
      12|[20.091865464948153, 2.089460443982784, 1.9914457917290183, 1.9360135131655327, 0.5782685330585775]|3919.5527343750000000|      0.06250000|[291, 96, 2, 26]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      13|[20.100869856101838, 2.132154174647257, 2.014677131513045, 1.9478319266277562, 0.5418948302366775]|3769.3225097656250000|      0.12500000|[315, 104, 2, 28]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      14|[20.032964422541347, 2.2186734840021565, 2.0035124908429536, 2.0032722177474414, 0.5600603503499373]|3609.6115722656250000|      0.25000000|[339, 112, 2, 30]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      15|[20.032964422541347, 2.2186734840021565, 2.0035124908429536, 2.0032722177474414, 0.5600603503499373]|3609.6115722656250000|      0.12500000|[363, 120, 2, 32]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      16|[20.032964422541347, 2.2186734840021565, 2.0035124908429536, 2.0032722177474414, 0.5600603503499373]|3609.6115722656250000|      0.06250000|[387, 128, 2, 34]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      17|[20.032964422541347, 2.2186734840021565, 2.0035124908429536, 2.0032722177474414, 0.5600603503499373]|3609.6115722656250000|      0.03125000|[411, 136, 2, 36]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      18|[20.03965459400462, 2.2356231026218865, 2.0084327340595736, 2.0067865766526074, 0.5354036063918902]|3539.5529785156250000|      0.06250000|[435, 144, 2, 38]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      19|[20.03965459400462, 2.2356231026218865, 2.0084327340595736, 2.0067865766526074, 0.5354036063918902]|3539.5529785156250000|      0.03125000|[459, 152, 3, 41]                                                          |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      20|[20.041601496538775, 2.2646718746971874, 2.0189215685827064, 2.010987361844082, 0.5342728254400056]|3474.5639648437500000|      0.06250000|[484, 160, 3, 43]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
      21|[20.041601496538775, 2.2646718746971874, 2.0189215685827064, 2.010987361844082, 0.5342728254400056]|3474.5639648437500000|      0.03125000|[508, 168, 3, 45]                                                          |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      22|[20.051741108526226, 2.2911392708893583, 2.028340360998632, 2.020107844509027, 0.5354264514343161]|3416.0446777343750000|      0.06250000|[532, 176, 3, 47]                                                          |  | trying linear partial model with 13 points | iterate success | actual_k=4
