k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-3.4999774780662403, 1.000037975557261, -7.85119471659e-05, -0.0003265382565788, 1.699888052977047, -7.70583789948e-05, 6.35263827112e-05, 0.0003180756337304]|2969.3678079686555975|      0.00097656|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      13|[-3.4999774780662403, 1.000037975557261, -7.85119471659e-05, -0.0003265382565788, 1.699888052977047, -7.70583789948e-05, 6.35263827112e-05, 0.0003180756337304]|2969.3678079686555975|      0.00048828|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00097656|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00048828|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00024414|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00012207|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00006104|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00003052|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00001526|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      21|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000763|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      22|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000381|[198, 0, 22, 66]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      23|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000191|[207, 0, 23, 69]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      24|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000095|[216, 0, 24, 72]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      25|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000048|[225, 0, 25, 75]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      26|[-3.4999907065084837, 1.0001495673399798, -0.000229857758539, -0.0005849719264873, 1.7001226502083424, -0.0002474109768441, -9.93519764002e-05, 0.0004778007622863]|1459.6708472440579953|      0.00000024|[234, 0, 26, 78]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      27|[-3.499990732759028, 1.000149565120932, -0.0002298942877284, -0.0005849724145562, 1.7001225700251794, -0.0002474338395815, -9.94142464965e-05, 0.0004780104887139]|1457.1343775723337330|      0.00000048|[243, 0, 27, 81]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
