k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[11.162396497097301, 3.03200836164052, 0.5129789901913985, 39.850864209409565, -0.6716624587333508, -1.3396618962158788, 25.47056712345043, -0.3878834975374908, 0.5522618946715443]|983.7289816762879582|      2.00000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate success | actual_k=0
       2|[11.162396497097301, 3.03200836164052, 0.5129789901913985, 39.850864209409565, -0.6716624587333508, -1.3396618962158788, 25.47056712345043, -0.3878834975374908, 0.5522618946715443]|983.7289816762879582|      1.00000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[10.969215886433165, 3.0958326334084165, 0.6512321029747966, 40.05281182709221, -0.5818519359742292, -1.2308795793077232, 26.182959309429503, -0.9849756461523682, 0.4306487068053118]|937.6017702772254552|      2.00000000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       4|[10.969215886433165, 3.0958326334084165, 0.6512321029747966, 40.05281182709221, -0.5818519359742292, -1.2308795793077232, 26.182959309429503, -0.9849756461523682, 0.4306487068053118]|937.6017702772254552|      1.00000000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[10.969215886433165, 3.0958326334084165, 0.6512321029747966, 40.05281182709221, -0.5818519359742292, -1.2308795793077232, 26.182959309429503, -0.9849756461523682, 0.4306487068053118]|937.6017702772254552|      0.50000000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[10.867410017170723, 3.1238030561860746, 0.8001074740358297, 40.01849459977395, -0.5432264049453885, -1.2913012364457448, 25.868215908801794, -0.8252426549405464, 0.723549589725198]|890.5385505207322012|      1.00000000|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate success | actual_k=0
       7|[10.867410017170723, 3.1238030561860746, 0.8001074740358297, 40.01849459977395, -0.5432264049453885, -1.2913012364457448, 25.868215908801794, -0.8252426549405464, 0.723549589725198]|890.5385505207322012|      0.50000000|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[10.849794844802268, 3.1111614395860845, 0.4543925604721903, 40.293370165509224, -0.5053458621383035, -1.3930315508412328, 26.00440694510039, -0.728088733156786, 0.8447256676331427]|867.4780987841336355|      1.00000000|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate success | actual_k=0
       9|[10.849794844802268, 3.1111614395860845, 0.4543925604721903, 40.293370165509224, -0.5053458621383035, -1.3930315508412328, 26.00440694510039, -0.728088733156786, 0.8447256676331427]|867.4780987841336355|      0.50000000|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[10.849794844802268, 3.1111614395860845, 0.4543925604721903, 40.293370165509224, -0.5053458621383035, -1.3930315508412328, 26.00440694510039, -0.728088733156786, 0.8447256676331427]|867.4780987841336355|      0.25000000|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[10.7810031016076, 3.0356837544538178, 0.4259030478951634, 40.38997860774112, -0.6156788945116262, -1.3296898875012313, 26.0223386076592, -0.7992615945476969, 0.9873906830009574]|858.1351641766935927|      0.50000000|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
