k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-2000.000255071038, 49.997333481994815, 1.0499856488290749]                    |8274.5783062979771785|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[-2000.000255071038, 49.997333481994815, 1.0499856488290749]                    |8274.5783062979771785|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-2000.000255071038, 49.997333481994815, 1.0499856488290749]                    |8274.5783062979771785|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-2000.000255071038, 49.997333481994815, 1.0499856488290749]                    |8274.5783062979771785|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-1999.9980769040799, 49.99756052954017, 0.9875240283080358]                    |296.9427911999388243|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[-1999.9980769040799, 49.99756052954017, 0.9875240283080358]                    |296.9427911999388243|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-1999.9980769040799, 49.99756052954017, 0.9875240283080358]                    |296.9427911999388243|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-1999.9980769040799, 49.99756052954017, 0.9875240283080358]                    |296.9427911999388243|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-2000.0060774336987, 49.98571622578658, 0.9938362877617385]                    | 47.2105666337123608|      0.03125000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[-2000.0060774336987, 49.98571622578658, 0.9938362877617385]                    | 47.2105666337123608|      0.01562500|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-2000.0060774336987, 49.98571622578658, 0.9938362877617385]                    | 47.2105666337123608|      0.00781250|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-2000.0060774336987, 49.98571622578658, 0.9938362877617385]                    | 47.2105666337123608|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-2000.0059862625171, 49.98615986751507, 0.9977161922573299]                    |  0.8535753045849354|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
