k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[5.0, 2.5, 0.15]                                                                | 12.1107057543610033|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.03125000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.01562500|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[5.034241237317588, 2.40416972301747, 0.3783508171222781]                       |  6.6242496952684009|      0.00781250|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[5.035821785088866, 2.4029995802108135, 0.3707898786352423]                     |  6.6164554310817900|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[5.035821785088866, 2.4029995802108135, 0.3707898786352423]                     |  6.6164554310817900|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[5.035821785088866, 2.4029995802108135, 0.3707898786352423]                     |  6.6164554310817900|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[5.035821785088866, 2.4029995802108135, 0.3707898786352423]                     |  6.6164554310817900|      0.00195312|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[5.036807274243663, 2.403175915147019, 0.3724669040917206]                      |  6.6162676019958377|      0.00390625|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[5.040525922439777, 2.402801414274358, 0.3713310371310167]                      |  6.6153956382071399|      0.00781250|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
